ref;value;footprint;Campo1;Campo2;Campo3;Campo4;Campo5;Campo6;Campo7;Campo8
BT1;BK-913;BK-913-ND;Soporte batería CR2032;MPD (Memory Protection Devices);BK-913;../PCB/EDU-NXP/Datasheets;BK-913-ND;~;;
J3;ZX62D-AB-5P8;USB_microAB_ZX62-AB-5P8;CONN RCPT MCR USB AB SMD TH SHLL;Hirose Electric Co Ltd;ZX62D-AB-5P8;..PCB/EDU-NXP/Datasheets;H11494CT-ND;~;;
JP1;JUMPER-2;~;;;;;;;;
JP2;JUMPER-2;~;;;;;;;;
JP3;JUMPER-2;~;;;;;;;;
JP4;JUMPER-2;~;;;;;;;;
JP5;ISP;~;;;;;;;;
LED1;LED_ARBG;PLCC-4;LED RGB 605/525/470NM DIFF SMD;Lite-On Inc;LTST-C19FD1WT;..PCB/EDU-NXP/Datasheets;160-2022-1-ND;PLCC-4;;
P1;CONN_20X2;;;;;;;;;
P2;CONN_20X2;;;;;;;;;
P3;Cortex-Debug;Pin_Array_5x2_1.27mm_SMD;CONN HDR 1.27MM SMD AU 10POS;Harwin Inc;M50-3600542;..PCB/EDU-NXP/Datasheets;952-1389-ND;~;;
P4;5Vcc Input;Con_2P;CONN HEADER 2POS .100 VERT TIN;Molex Inc;0022232021;..PCB/EDU-NXP/Datasheet;WM4200-ND;~;;
PS1;USMF020;SM1210;FUSE RESETTABLE .20A 30V HLD SMD;Bourns Inc.;MF-USMF020-2;..PCB/EDU-NXP/Datasheets;MF-USMF020-2CT-ND;1210;;
PS2;USMF020;SM1210;FUSE RESETTABLE .20A 30V HLD SMD;Bourns Inc.;MF-USMF020-2;..PCB/EDU-NXP/Datasheets;MF-USMF020-2CT-ND;1210;;
Q1;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-NXP/Datasheets;2N7002NCT-ND;SOT-23;;
Q3;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-NXP/Datasheets;2N7002NCT-ND;SOT-23;;
Q4;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-NXP/Datasheets;2N7002NCT-ND;SOT-23;;
Q5;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-NXP/Datasheets;2N7002NCT-ND;SOT-23;;
Q9;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-NXP/Datasheets;2N7002NCT-ND;SOT-23;;
Q10;2N7002;SOT23GDS;MOSFET N-CH 60V 115MA SOT-23;Fairchild Semiconductor;2N7002;..PCB/EDU-NXP/Datasheets;2N7002NCT-ND;SOT-23;;
R1;4K7;SM0805;RES 4.7K OHM 1/8W 5% 0805 SMD;Samsung;RC2012J472CS;..PCB/EDU-NXP/Datasheets;1276-5544-1-ND;0805;;
R2;4K7;SM0805;RES 4.7K ohm 1/8W 5% 0805 SMD;Samsung;RC2012J472CS;..PCB/EDU-NXP/Datasheets;1276-5544-1-ND;0805;;
R3;4K7;SM0805;RES 4.7K ohm 1/8 W 5% 0805 SMD;Samsung;RC2012J472CS;..PCB/EDU-NXP/Datasheets;1276-5544-1-ND;0805;;
R4;100K;SM0805;RES 100K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ104V;..PCB/EDU-NXP/Datasheets;P100KACT-ND;0805;;
R5;100K;SM0805;RES 100K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ104V;..PCB/EDU-NXP/Datasheets;P100KACT-ND;0805;;
R6;390;SM0805;RES 390 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-391-D;..PCB/EDU-NXP/Datasheets;RR12P390DCT-ND;0805;;
R7;200;SM0805;RES 200 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-201-D;..PCB/EDU-NXP/Datasheets;RR12P200DCT-ND;0805;;
R8;390;SM0805;RES 390 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-391-D;..PCB/EDU-NXP/Datasheets;RR12P390DCT-ND;0805;;
R9;100;SM0805;RES 100 OHM 1/2W 1% 0805 SMD;Panasonic Electronic Components;ERJ-P06F1000V;..PCB/EDU-NXP/Datasheets;P16057CT-ND;0805;;
R10;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-NXP/Datasheets;RMCF0805JT330KCT-ND;0805;;
R11;0;SM0805;RES 0.0 OHM 1/8W JUMP 0805 SMD;Yageo;RC0805JR-070RL;..PCB/EDU-NXP/Datasheets;311-0.0ARCT-ND;0805;;
R12;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-NXP/Datasheets;RMCF0805JT330KCT-ND;0805;;
R13;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-NXP/Datasheets;RMCF0805JT330KCT-ND;0805;;
R14;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-NXP/Datasheets;RMCF0805JT330KCT-ND;0805;;
R15;0;SM0805;RES 0.0 OHM 1/8W JUMP 0805 SMD;Yageo;RC0805JR-070RL;..PCB/EDU-NXP/Datasheets;311-0.0ARCT-ND;0805;;
R16;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R17;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R18;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-NXP/Datasheets;RMCF0805JT330KCT-ND;0805;;
R19;330k;SM0805;RES 330K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT330K;..PCB/EDU-NXP/Datasheets;RMCF0805JT330KCT-ND;0805;;
R20;470;SM0805;RES 470 OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ471V;..PCB/EDU-NXP/Datasheets;P470ACT-ND;0805;;
R21;1k2;SM0805;RES 1.2K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT1K20;..PCB/EDU-NXP/Datasheets;RMCF0805JT1K20CT-ND;0805;;
R22;1k2;SM0805;RES 1.2K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT1K20;..PCB/EDU-NXP/Datasheets;RMCF0805JT1K20CT-ND;0805;;
R23;1k2;SM0805;RES 1.2K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT1K20;..PCB/EDU-NXP/Datasheets;RMCF0805JT1K20CT-ND;0805;;
R57;1k;SM0805;RES 1K OHM 1/8W 5% 0805 SMD;Yageo;RC0805JR-071KL;..PCB/EDU-NXP/Datasheets;311-1.0KARCT-ND;0805;;
R58;1k;SM0805;RES 1K OHM 1/8W 5% 0805 SMD;Yageo;RC0805JR-071KL;..PCB/EDU-NXP/Datasheets;311-1.0KARCT-ND;0805;;
R59;1k;SM0805;RES 1K OHM 1/8W 5% 0805 SMD;Yageo;RC0805JR-071KL;..PCB/EDU-NXP/Datasheets;311-1.0KARCT-ND;0805;;
R60;1k;SM0805;RES 1K OHM 1/8W 5% 0805 SMD;Yageo;RC0805JR-071KL;..PCB/EDU-NXP/Datasheets;311-1.0KARCT-ND;0805;;
R61;1k;SM0805;RES 1K OHM 1/8W 5% 0805 SMD;Yageo;RC0805JR-071KL;..PCB/EDU-NXP/Datasheets;311-1.0KARCT-ND;0805;;
R62;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R63;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R64;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R65;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R66;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R68;680;SM0805;RES 680 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-681-D;..PCB/EDU-NXP/Datasheets;RR12P680DCT-ND;0805;;
R70;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R71;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R72;680;SM0805;RES 680 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-681-D;..PCB/EDU-NXP/Datasheets;RR12P680DCT-ND;0805;;
R73;680;SM0805;RES 680 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-681-D;..PCB/EDU-NXP/Datasheets;RR12P680DCT-ND;0805;;
R74;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R76;680;SM0805;RES 680 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-681-D;..PCB/EDU-NXP/Datasheets;RR12P680DCT-ND;0805;;
R82;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R83;10k;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R84;680;SM0805;RES 680 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-681-D;..PCB/EDU-NXP/Datasheets;RR12P680DCT-ND;0805;;
R85;680;SM0805;RES 680 OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-681-D;..PCB/EDU-NXP/Datasheets;RR12P680DCT-ND;0805;;
R90;100K;SM0805;RES 100K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ104V;..PCB/EDU-NXP/Datasheets;P100KACT-ND;0805;;
R91;10M;SM0805;RES 10M OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT10M0;..PCB/EDU-NXP/Datasheets;RMCF0805JT10M0CT-ND;0805;;
R92;12K;SM0805;RES 12K OHM 1/8W 1% 0805 SMD;Yageo;RC0805FR-0712KL;..PCB/EDU-NXP/Datasheets;311-12.0KCRCT-ND;0805;;
R93;10K;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R94;10K;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R95;2.2k;SM0805;RES 2.2K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT2K20;..PCB/EDU-NXP/Datasheets;RMCF0805JT2K20CT-ND;0805;;
R96;15K;SM0805;RES 15.0K OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-153-D;..PCB/EDU-NXP/Datasheets;RR12P15.0KDCT-ND;0805;;
R97;2.2k;SM0805;RES 2.2K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT2K20;..PCB/EDU-NXP/Datasheets;RMCF0805JT2K20CT-ND;0805;;
R98;15K;SM0805;RES 15.0K OHM 1/10W .5% 0805 SMD;Susumu;RR1220P-153-D;..PCB/EDU-NXP/Datasheets;RR12P15.0KDCT-ND;0805;;
R99;10K;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R100;10K;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
R101;2.2K;SM0805;RES 2.2K OHM 1/8W 5% 0805;Stackpole Electronics Inc;RMCF0805JT2K20;..PCB/EDU-NXP/Datasheets;RMCF0805JT2K20CT-ND;0805;;
R102;10K;SM0805;RES 10K OHM 1/8W 5% 0805 SMD;Panasonic Electronic Components;ERJ-6GEYJ103V;..PCB/EDU-NXP/Datasheets;P10KACT-ND;0805;;
