.HEADER
..NAMES
Time,V U2.K9
.DATA
3.26067e-008,1.2266
3.26527e-008,1.2269
3.26986e-008,1.2262
3.27445e-008,1.2248
3.27904e-008,1.2238
3.28364e-008,1.2234
3.28823e-008,1.2237
3.29282e-008,1.2245
3.29741e-008,1.2252
3.30201e-008,1.2256
3.30660e-008,1.2257
3.31119e-008,1.2256
3.31578e-008,1.2253
3.32038e-008,1.2249
3.32497e-008,1.2245
3.32956e-008,1.2242
3.33415e-008,1.2242
3.33875e-008,1.2245
3.34334e-008,1.2252
3.34793e-008,1.2258
3.35253e-008,1.2260
3.35712e-008,1.2258
3.36171e-008,1.2252
3.36630e-008,1.2245
3.37090e-008,1.2242
3.37549e-008,1.2244
3.38008e-008,1.2250
3.38467e-008,1.2255
3.38927e-008,1.2258
3.39386e-008,1.2257
3.39845e-008,1.2254
3.40304e-008,1.2251
3.40764e-008,1.2249
3.41223e-008,1.2249
3.41682e-008,1.2250
3.42141e-008,1.2252
3.42601e-008,1.2253
3.43060e-008,1.2254
3.43519e-008,1.2255
3.43978e-008,1.2255
3.44438e-008,1.2255
3.44897e-008,1.2254
3.45356e-008,1.2252
3.45815e-008,1.2250
3.46275e-008,1.2250
3.46734e-008,1.2252
3.47193e-008,1.2254
3.47652e-008,1.2256
3.48112e-008,1.2257
3.48571e-008,1.2255
3.49030e-008,1.2253
3.49489e-008,1.2251
3.49949e-008,1.2251
3.50408e-008,1.2253
3.50867e-008,1.2254
3.51326e-008,1.2256
3.51786e-008,1.2256
3.52245e-008,1.2255
3.52704e-008,1.2254
3.53163e-008,1.2254
3.53622e-008,1.2254
3.54082e-008,1.2254
3.54541e-008,1.2254
3.55000e-008,1.2254
3.55459e-008,1.2254
3.55919e-008,1.2255
3.56378e-008,1.2256
3.56837e-008,1.2256
3.57296e-008,1.2256
3.57756e-008,1.2255
3.58215e-008,1.2254
3.58674e-008,1.2254
3.59133e-008,1.2254
3.59593e-008,1.2255
3.60052e-008,1.2256
3.60511e-008,1.2256
3.60970e-008,1.2256
3.61430e-008,1.2256
3.61889e-008,1.2255
3.62348e-008,1.2255
3.62807e-008,1.2255
3.63267e-008,1.2255
3.63726e-008,1.2253
3.64185e-008,1.2121
3.64644e-008,1.1478
3.65104e-008,1.0464
3.65563e-008,0.9313
3.66022e-008,0.7825
3.66481e-008,0.6285
3.66941e-008,0.5005
3.67400e-008,0.4106
3.67859e-008,0.3584
3.68318e-008,0.3322
3.68778e-008,0.3202
3.69237e-008,0.3156
3.69696e-008,0.3082
3.70155e-008,0.2897
3.70615e-008,0.2669
3.71074e-008,0.2467
3.71533e-008,0.2349
3.71992e-008,0.2345
3.72452e-008,0.2421
3.72911e-008,0.2557
3.73370e-008,0.2704
3.73830e-008,0.2802
3.74289e-008,0.2792
3.74748e-008,0.2671
3.75207e-008,0.2523
3.75667e-008,0.2389
3.76126e-008,0.2307
3.76585e-008,0.2298
3.77044e-008,0.2349
3.77504e-008,0.2440
3.77963e-008,0.2515
3.78422e-008,0.2544
3.78881e-008,0.2530
3.79341e-008,0.2495
3.79800e-008,0.2472
3.80259e-008,0.2484
3.80718e-008,0.2515
3.81178e-008,0.2551
3.81637e-008,0.2594
3.82096e-008,0.2623
3.82555e-008,0.2627
3.83015e-008,0.2750
3.83474e-008,0.3454
3.83933e-008,0.4555
3.84392e-008,0.5893
3.84852e-008,0.7636
3.85311e-008,0.9266
3.85770e-008,1.0450
3.86229e-008,1.1192
3.86689e-008,1.1481
3.87148e-008,1.1502
3.87607e-008,1.1481
3.88066e-008,1.1497
3.88526e-008,1.1643
3.88985e-008,1.1923
3.89444e-008,1.2201
3.89903e-008,1.2416
3.90363e-008,1.2522
3.90822e-008,1.2479
3.91281e-008,1.2343
3.91740e-008,1.2150
3.92199e-008,1.1971
3.92659e-008,1.1884
3.93118e-008,1.1941
3.93577e-008,1.2129
3.94036e-008,1.2340
3.94496e-008,1.2511
3.94955e-008,1.2574
3.95414e-008,1.2509
3.95873e-008,1.2374
3.96333e-008,1.2231
3.96792e-008,1.2155
3.97251e-008,1.2165
3.97710e-008,1.2227
3.98170e-008,1.2298
3.98629e-008,1.2329
3.99088e-008,1.2298
3.99547e-008,1.2237
4.00007e-008,1.2179
4.00466e-008,1.2133
4.00925e-008,1.2124
4.01384e-008,1.2134
4.01844e-008,1.1926
4.02303e-008,1.1172
4.02762e-008,1.0177
4.03221e-008,0.8935
4.03681e-008,0.7360
4.04140e-008,0.5831
4.04599e-008,0.4602
4.05058e-008,0.3791
4.05518e-008,0.3359
4.05977e-008,0.3194
4.06436e-008,0.3168
4.06895e-008,0.3183
4.07355e-008,0.3096
4.07814e-008,0.2870
4.08273e-008,0.2601
4.08732e-008,0.2369
4.09192e-008,0.2256
4.09651e-008,0.2280
4.10110e-008,0.2405
4.10569e-008,0.2588
4.11029e-008,0.2757
4.11488e-008,0.2843
4.11947e-008,0.2789
4.12407e-008,0.2636
4.12866e-008,0.2468
4.13325e-008,0.2325
4.13784e-008,0.2254
4.14244e-008,0.2266
4.14703e-008,0.2347
4.15162e-008,0.2459
4.15621e-008,0.2538
4.16081e-008,0.2563
4.16540e-008,0.2536
4.16999e-008,0.2485
4.17458e-008,0.2451
4.17918e-008,0.2458
4.18377e-008,0.2490
4.18836e-008,0.2540
4.19295e-008,0.2600
4.19755e-008,0.2634
4.20214e-008,0.2650
4.20673e-008,0.2924
4.21132e-008,0.3818
4.21592e-008,0.4958
4.22051e-008,0.6448
4.22510e-008,0.8229
4.22969e-008,0.9713
4.23429e-008,1.0758
4.23888e-008,1.1340
4.24347e-008,1.1510
4.24806e-008,1.1498
4.25266e-008,1.1478
4.25725e-008,1.1522
4.26184e-008,1.1720
4.26643e-008,1.2010
4.27103e-008,1.2268
4.27562e-008,1.2459
4.28021e-008,1.2518
4.28480e-008,1.2443
4.28940e-008,1.2284
4.29399e-008,1.2084
4.29858e-008,1.1923
4.30317e-008,1.1874
4.30777e-008,1.1982
4.31236e-008,1.2190
4.31695e-008,1.2399
4.32154e-008,1.2546
4.32613e-008,1.2564
4.33073e-008,1.2469
4.33532e-008,1.2320
4.33991e-008,1.2189
4.34450e-008,1.2143
4.34910e-008,1.2174
4.35369e-008,1.2245
4.35828e-008,1.2309
4.36287e-008,1.2320
4.36747e-008,1.2275
4.37206e-008,1.2215
4.37665e-008,1.2160
4.38124e-008,1.2123
4.38584e-008,1.2126
4.39043e-008,1.2158
4.39502e-008,1.2206
4.39961e-008,1.2256
4.40421e-008,1.2293
4.40880e-008,1.2310
4.41339e-008,1.2296
4.41798e-008,1.2253
4.42258e-008,1.2200
4.42717e-008,1.2163
4.43176e-008,1.2162
4.43635e-008,1.2198
4.44095e-008,1.2253
4.44554e-008,1.2298
4.45013e-008,1.2310
4.45472e-008,1.2287
4.45932e-008,1.2240
4.46391e-008,1.2195
4.46850e-008,1.2174
4.47309e-008,1.2186
4.47769e-008,1.2217
4.48228e-008,1.2252
4.48687e-008,1.2274
4.49146e-008,1.2280
4.49606e-008,1.2271
4.50065e-008,1.2254
4.50524e-008,1.2237
4.50983e-008,1.2224
4.51443e-008,1.2218
4.51902e-008,1.2221
4.52361e-008,1.2232
4.52821e-008,1.2248
4.53280e-008,1.2264
4.53739e-008,1.2272
4.54198e-008,1.2266
4.54658e-008,1.2249
4.55117e-008,1.2230
4.55576e-008,1.2219
4.56035e-008,1.2222
4.56495e-008,1.2236
4.56954e-008,1.2254
4.57413e-008,1.2265
4.57872e-008,1.2174
4.58332e-008,1.1603
4.58791e-008,1.0597
4.59250e-008,0.9474
4.59709e-008,0.8028
4.60169e-008,0.6476
4.60628e-008,0.5159
4.61087e-008,0.4208
4.61546e-008,0.3642
4.62006e-008,0.3348
4.62465e-008,0.3210
4.62924e-008,0.3155
4.63383e-008,0.3089
4.63843e-008,0.2915
4.64302e-008,0.2686
4.64761e-008,0.2478
4.65220e-008,0.2348
4.65680e-008,0.2336
4.66139e-008,0.2407
4.66598e-008,0.2538
4.67057e-008,0.2683
4.67517e-008,0.2786
4.67976e-008,0.2788
4.68435e-008,0.2676
4.68894e-008,0.2531
4.69354e-008,0.2399
4.69813e-008,0.2313
4.70272e-008,0.2296
4.70731e-008,0.2338
4.71190e-008,0.2422
4.71650e-008,0.2499
4.72109e-008,0.2533
4.72568e-008,0.2525
4.73027e-008,0.2493
4.73487e-008,0.2468
4.73946e-008,0.2476
4.74405e-008,0.2506
4.74864e-008,0.2541
4.75324e-008,0.2584
4.75783e-008,0.2616
4.76242e-008,0.2622
4.76701e-008,0.2704
4.77161e-008,0.3316
4.77620e-008,0.4395
4.78079e-008,0.5682
4.78538e-008,0.7391
4.78998e-008,0.9071
4.79457e-008,1.0312
4.79916e-008,1.1117
4.80375e-008,1.1458
4.80835e-008,1.1498
4.81294e-008,1.1477
4.81753e-008,1.1486
4.82212e-008,1.1611
4.82672e-008,1.1881
4.83131e-008,1.2164
4.83590e-008,1.2388
4.84049e-008,1.2513
4.84509e-008,1.2486
4.84968e-008,1.2361
4.85427e-008,1.2173
4.85886e-008,1.1988
4.86346e-008,1.1885
4.86805e-008,1.1920
4.87264e-008,1.2096
4.87723e-008,1.2310
