.HEADER
..NAMES
Time,V U3.H3
.DATA
3.41097e-008,0.2216
3.41521e-008,0.2216
3.41945e-008,0.2216
3.42370e-008,0.2219
3.42794e-008,0.2222
3.43218e-008,0.2214
3.43643e-008,0.2213
3.44067e-008,0.2223
3.44491e-008,0.2224
3.44915e-008,0.2211
3.45340e-008,0.2209
3.45764e-008,0.2219
3.46188e-008,0.2217
3.46612e-008,0.2215
3.47036e-008,0.2219
3.47461e-008,0.2215
3.47885e-008,0.2210
3.48309e-008,0.2213
3.48733e-008,0.2214
3.49158e-008,0.2213
3.49582e-008,0.2213
3.50006e-008,0.2213
3.50431e-008,0.2214
3.50855e-008,0.2213
3.51279e-008,0.2210
3.51703e-008,0.2211
3.52128e-008,0.2214
3.52552e-008,0.2211
3.52976e-008,0.2208
3.53400e-008,0.2210
3.53824e-008,0.2212
3.54249e-008,0.2210
3.54673e-008,0.2210
3.55097e-008,0.2211
3.55522e-008,0.2208
3.55946e-008,0.2208
3.56370e-008,0.2210
3.56794e-008,0.2209
3.57219e-008,0.2208
3.57643e-008,0.2208
3.58067e-008,0.2208
3.58491e-008,0.2208
3.58915e-008,0.2208
3.59340e-008,0.2207
3.59764e-008,0.2208
3.60188e-008,0.2208
3.60613e-008,0.2207
3.61037e-008,0.2206
3.61461e-008,0.2207
3.61885e-008,0.2207
3.62310e-008,0.2206
3.62734e-008,0.2207
3.63158e-008,0.2206
3.63582e-008,0.2206
3.64006e-008,0.2206
3.64431e-008,0.2206
3.64855e-008,0.2206
3.65279e-008,0.2205
3.65703e-008,0.2205
3.66128e-008,0.2205
3.66552e-008,0.2205
3.66976e-008,0.2205
3.67401e-008,0.2205
3.67825e-008,0.2205
3.68249e-008,0.2205
3.68673e-008,0.2204
3.69097e-008,0.2204
3.69522e-008,0.2204
3.69946e-008,0.2204
3.70370e-008,0.2204
3.70794e-008,0.2204
3.71219e-008,0.2204
3.71643e-008,0.2204
3.72067e-008,0.2204
3.72492e-008,0.2204
3.72916e-008,0.2203
3.73340e-008,0.2203
3.73764e-008,0.2203
3.74189e-008,0.2203
3.74613e-008,0.2203
3.75037e-008,0.2203
3.75461e-008,0.2203
3.75885e-008,0.2203
3.76310e-008,0.2203
3.76734e-008,0.2203
3.77158e-008,0.2457
3.77583e-008,0.3716
3.78007e-008,0.5104
3.78431e-008,0.6880
3.78855e-008,0.8542
3.79280e-008,0.9818
3.79704e-008,1.0789
3.80128e-008,1.1508
3.80552e-008,1.1983
3.80976e-008,1.2289
3.81401e-008,1.2468
3.81825e-008,1.2565
3.82249e-008,1.2631
3.82673e-008,1.2664
3.83098e-008,1.2661
3.83522e-008,1.2680
3.83946e-008,1.2680
3.84371e-008,1.2654
3.84795e-008,1.2583
3.85219e-008,1.2610
3.85643e-008,1.2725
3.86067e-008,1.2731
3.86492e-008,1.2322
3.86916e-008,1.0448
3.87340e-008,0.8639
3.87764e-008,0.6967
3.88189e-008,0.5283
3.88613e-008,0.4095
3.89037e-008,0.3326
3.89462e-008,0.2732
3.89886e-008,0.2383
3.90310e-008,0.2216
3.90734e-008,0.2106
3.91159e-008,0.2054
3.91583e-008,0.2038
3.92007e-008,0.2028
3.92431e-008,0.2046
3.92855e-008,0.2021
3.93280e-008,0.2037
3.93704e-008,0.2108
3.94128e-008,0.2201
3.94553e-008,0.2128
3.94977e-008,0.1909
3.95401e-008,0.1925
3.95825e-008,0.2134
3.96250e-008,0.3461
3.96674e-008,0.5127
3.97098e-008,0.6888
3.97522e-008,0.8631
3.97946e-008,0.9904
3.98371e-008,1.0882
3.98795e-008,1.1572
3.99219e-008,1.2046
3.99644e-008,1.2325
4.00068e-008,1.2503
4.00492e-008,1.2596
4.00916e-008,1.2638
4.01341e-008,1.2677
4.01765e-008,1.2695
4.02189e-008,1.2717
4.02613e-008,1.2681
4.03037e-008,1.2630
4.03462e-008,1.2589
4.03886e-008,1.2602
4.04310e-008,1.2758
4.04734e-008,1.2796
4.05159e-008,1.2512
4.05583e-008,1.0853
4.06007e-008,0.8893
4.06432e-008,0.7312
4.06856e-008,0.5553
4.07280e-008,0.4291
