.HEADER
..NAMES
Time,V U2.P3
.DATA
3.08616e-008,0.2522
3.09075e-008,0.2451
3.09535e-008,0.2418
3.09994e-008,0.2425
3.10453e-008,0.2467
3.10912e-008,0.2532
3.11372e-008,0.2591
3.11831e-008,0.2621
3.12290e-008,0.2609
3.12749e-008,0.2564
3.13209e-008,0.2503
3.13668e-008,0.2452
3.14127e-008,0.2431
3.14586e-008,0.2450
3.15045e-008,0.2498
3.15505e-008,0.2551
3.15964e-008,0.2588
3.16423e-008,0.2593
3.16882e-008,0.2567
3.17342e-008,0.2522
3.17801e-008,0.2477
3.18260e-008,0.2452
3.18719e-008,0.2454
3.19179e-008,0.2480
3.19638e-008,0.2516
3.20097e-008,0.2545
3.20556e-008,0.2559
3.21016e-008,0.2551
3.21475e-008,0.2529
3.21934e-008,0.2502
3.22393e-008,0.2481
3.22853e-008,0.2474
3.23312e-008,0.2482
3.23771e-008,0.2501
3.24230e-008,0.2523
3.24690e-008,0.2538
3.25149e-008,0.2540
3.25608e-008,0.2528
3.26067e-008,0.2507
3.26527e-008,0.2536
3.26986e-008,0.3030
3.27445e-008,0.4152
3.27904e-008,0.5371
3.28364e-008,0.7069
3.28823e-008,0.8892
3.29282e-008,1.0335
3.29741e-008,1.1318
3.30201e-008,1.1778
3.30660e-008,1.1792
3.31119e-008,1.1663
3.31578e-008,1.1531
3.32038e-008,1.1539
3.32497e-008,1.1781
3.32956e-008,1.2126
3.33415e-008,1.2447
3.33875e-008,1.2646
3.34334e-008,1.2673
3.34793e-008,1.2573
3.35253e-008,1.2357
3.35712e-008,1.2108
3.36171e-008,1.1949
3.36630e-008,1.1921
3.37090e-008,1.2037
3.37549e-008,1.2213
3.38008e-008,1.2428
3.38467e-008,1.2567
3.38927e-008,1.2565
3.39386e-008,1.2448
3.39845e-008,1.2266
3.40304e-008,1.2117
3.40764e-008,1.2052
3.41223e-008,1.2082
3.41682e-008,1.2186
3.42141e-008,1.2296
3.42601e-008,1.2332
3.43060e-008,1.2297
3.43519e-008,1.2206
3.43978e-008,1.2103
3.44438e-008,1.2050
3.44897e-008,1.2057
3.45356e-008,1.2127
3.45815e-008,1.2236
3.46275e-008,1.2328
3.46734e-008,1.2376
3.47193e-008,1.2367
3.47652e-008,1.2313
3.48112e-008,1.2232
3.48571e-008,1.2153
3.49030e-008,1.2109
3.49489e-008,1.2114
3.49949e-008,1.2167
3.50408e-008,1.2246
3.50867e-008,1.2321
3.51326e-008,1.2359
3.51786e-008,1.2344
3.52245e-008,1.2280
3.52704e-008,1.2200
3.53163e-008,1.2141
3.53622e-008,1.2128
3.54082e-008,1.2164
3.54541e-008,1.2230
3.55000e-008,1.2295
3.55459e-008,1.2331
3.55919e-008,1.2325
3.56378e-008,1.2286
3.56837e-008,1.2234
3.57296e-008,1.2193
3.57756e-008,1.2177
3.58215e-008,1.2189
3.58674e-008,1.2221
3.59133e-008,1.2258
3.59593e-008,1.2285
3.60052e-008,1.2293
3.60511e-008,1.2282
3.60970e-008,1.2257
3.61430e-008,1.2228
3.61889e-008,1.2206
3.62348e-008,1.2202
3.62807e-008,1.2217
3.63267e-008,1.2244
3.63726e-008,1.2268
