.HEADER
..NAMES
Time,V U3.A3
.DATA
2.74065e-008,1.2308
2.74490e-008,1.0334
2.74914e-008,0.8415
2.75338e-008,0.6872
2.75763e-008,0.5227
2.76187e-008,0.4117
2.76611e-008,0.3319
2.77035e-008,0.2757
2.77459e-008,0.2429
2.77884e-008,0.2301
2.78308e-008,0.2223
2.78732e-008,0.2148
2.79157e-008,0.2155
2.79581e-008,0.2068
2.80005e-008,0.2041
2.80429e-008,0.2004
2.80854e-008,0.1999
2.81278e-008,0.2072
2.81702e-008,0.2214
2.82126e-008,0.2239
2.82550e-008,0.1996
2.82975e-008,0.1870
2.83399e-008,0.1973
2.83823e-008,0.1997
2.84248e-008,0.2066
2.84672e-008,0.2151
2.85096e-008,0.2185
2.85520e-008,0.2228
2.85944e-008,0.2274
2.86369e-008,0.2277
2.86793e-008,0.2255
2.87217e-008,0.2259
2.87642e-008,0.2229
2.88066e-008,0.2222
2.88490e-008,0.2228
2.88914e-008,0.2216
2.89339e-008,0.2232
2.89763e-008,0.2271
2.90187e-008,0.2271
2.90611e-008,0.2200
2.91035e-008,0.2176
2.91460e-008,0.2225
2.91884e-008,0.2239
2.92308e-008,0.2238
2.92733e-008,0.2350
2.93157e-008,0.3374
2.93581e-008,0.4895
2.94005e-008,0.6480
2.94429e-008,0.8271
2.94854e-008,0.9516
2.95278e-008,1.0563
2.95702e-008,1.1316
2.96127e-008,1.1851
2.96551e-008,1.2192
2.96975e-008,1.2360
2.97399e-008,1.2499
2.97824e-008,1.2545
2.98248e-008,1.2647
2.98672e-008,1.2647
2.99096e-008,1.2681
2.99521e-008,1.2721
2.99945e-008,1.2721
3.00369e-008,1.2657
3.00793e-008,1.2571
3.01218e-008,1.2645
3.01642e-008,1.2755
3.02066e-008,1.2546
3.02490e-008,1.1033
3.02914e-008,0.8901
3.03339e-008,0.7394
3.03763e-008,0.5675
3.04187e-008,0.4415
3.04612e-008,0.3542
3.05036e-008,0.2903
3.05460e-008,0.2505
3.05884e-008,0.2309
