.HEADER
..NAMES
Time,V U2.C7&B7
.DATA
1.81155e-008,1.2653
1.81579e-008,1.2654
1.82003e-008,1.2722
1.82427e-008,1.2792
1.82852e-008,1.2805
1.83276e-008,1.2763
1.83700e-008,1.2811
1.84125e-008,1.2833
1.84549e-008,1.2659
1.84973e-008,1.1660
1.85397e-008,0.9458
1.85822e-008,0.7572
1.86246e-008,0.6078
1.86670e-008,0.4817
1.87094e-008,0.3895
1.87518e-008,0.3243
1.87943e-008,0.2749
1.88367e-008,0.2450
1.88791e-008,0.2275
1.89216e-008,0.2162
1.89640e-008,0.2105
1.90064e-008,0.2061
1.90488e-008,0.2056
1.90912e-008,0.2061
1.91337e-008,0.2016
1.91761e-008,0.1949
1.92185e-008,0.1909
1.92610e-008,0.1959
1.93034e-008,0.1947
1.93458e-008,0.1889
1.93882e-008,0.1982
1.94307e-008,0.2662
1.94731e-008,0.4396
1.95155e-008,0.6097
1.95579e-008,0.7757
1.96003e-008,0.9164
1.96428e-008,1.0127
1.96852e-008,1.0882
1.97276e-008,1.1531
1.97701e-008,1.1962
1.98125e-008,1.2243
1.98549e-008,1.2423
1.98973e-008,1.2532
1.99397e-008,1.2625
1.99822e-008,1.2653
2.00246e-008,1.2648
2.00670e-008,1.2704
2.01095e-008,1.2780
2.01519e-008,1.2809
2.01943e-008,1.2767
2.02367e-008,1.2795
2.02792e-008,1.2840
2.03216e-008,1.2722
2.03640e-008,1.1975
2.04064e-008,0.9908
2.04488e-008,0.7891
2.04913e-008,0.6354
2.05337e-008,0.5043
2.05761e-008,0.4044
2.06186e-008,0.3363
2.06610e-008,0.2826
2.07034e-008,0.2496
2.07458e-008,0.2302
2.07882e-008,0.2179
2.08307e-008,0.2123
2.08731e-008,0.2092
2.09155e-008,0.2079
2.09580e-008,0.2090
2.10004e-008,0.2052
2.10428e-008,0.1981
2.10852e-008,0.1922
2.11277e-008,0.1959
2.11701e-008,0.1969
2.12125e-008,0.1901
2.12549e-008,0.1950
2.12973e-008,0.2439
2.13398e-008,0.4025
2.13822e-008,0.5782
2.14246e-008,0.7431
2.14671e-008,0.8924
2.15095e-008,0.9964
2.15519e-008,1.0734
2.15943e-008,1.1423
2.16367e-008,1.1894
2.16792e-008,1.2201
2.17216e-008,1.2390
2.17640e-008,1.2489
2.18064e-008,1.2551
2.18489e-008,1.2596
2.18913e-008,1.2590
2.19337e-008,1.2636
2.19762e-008,1.2727
