.HEADER
..NAMES
Time,V U3.E7
.DATA
1.92610e-008,-0.0018
1.93034e-008,-0.0019
1.93458e-008,-0.0021
1.93882e-008,-0.0024
1.94307e-008,-0.0028
1.94731e-008,-0.0031
1.95155e-008,-0.0032
1.95579e-008,-0.0031
1.96003e-008,-0.0028
1.96428e-008,-0.0026
1.96852e-008,-0.0023
1.97276e-008,-0.0021
1.97701e-008,-0.0019
1.98125e-008,-0.0017
1.98549e-008,-0.0013
1.98973e-008,-0.0015
1.99397e-008,0.0065
1.99822e-008,0.0546
2.00246e-008,0.1507
2.00670e-008,0.3099
2.01095e-008,0.5084
2.01519e-008,0.7479
2.01943e-008,0.9904
2.02367e-008,1.2072
2.02792e-008,1.3830
2.03216e-008,1.5115
2.03640e-008,1.6023
2.04064e-008,1.6617
2.04488e-008,1.7067
2.04913e-008,1.7410
2.05337e-008,1.7702
2.05761e-008,1.7952
2.06186e-008,1.8144
2.06610e-008,1.8258
2.07034e-008,1.8278
2.07458e-008,1.8232
2.07882e-008,1.8171
2.08307e-008,1.7816
2.08731e-008,1.6117
2.09155e-008,1.3494
2.09580e-008,1.0559
2.10004e-008,0.6666
2.10428e-008,0.2889
2.10852e-008,-0.0276
2.11277e-008,-0.2460
2.11701e-008,-0.3778
2.12125e-008,-0.4272
2.12549e-008,-0.4221
2.12973e-008,-0.4217
2.13398e-008,-0.4281
2.13822e-008,-0.4380
2.14246e-008,-0.4412
2.14671e-008,-0.4385
2.15095e-008,-0.4269
2.15519e-008,-0.4069
2.15943e-008,-0.3823
2.16367e-008,-0.3559
2.16792e-008,-0.3425
2.17216e-008,-0.3188
2.17640e-008,-0.2500
2.18064e-008,-0.0840
2.18489e-008,0.1754
2.18913e-008,0.4505
2.19337e-008,0.8038
2.19762e-008,1.1120
2.20186e-008,1.3489
2.20610e-008,1.5023
2.21034e-008,1.5760
2.21458e-008,1.6042
2.21883e-008,1.6059
2.22307e-008,1.6257
2.22731e-008,1.6517
2.23156e-008,1.6869
2.23580e-008,1.7247
2.24004e-008,1.7560
2.24428e-008,1.7693
2.24852e-008,1.7588
2.25277e-008,1.7383
2.25701e-008,1.7183
2.26125e-008,1.7059
2.26549e-008,1.6901
2.26974e-008,1.6427
2.27398e-008,1.5886
2.27822e-008,1.5276
2.28247e-008,1.4554
2.28671e-008,1.3993
2.29095e-008,1.3697
2.29519e-008,1.3682
2.29943e-008,1.3835
2.30368e-008,1.4102
2.30792e-008,1.4350
2.31216e-008,1.4427
2.31641e-008,1.4379
2.32065e-008,1.4244
2.32489e-008,1.4072
2.32913e-008,1.3904
