.HEADER
..NAMES
Time,V U3.P8
.DATA
2.81980e-008,1.2248
2.82439e-008,1.2247
2.82898e-008,1.2247
2.83357e-008,1.2247
2.83817e-008,1.2248
2.84276e-008,1.2249
2.84735e-008,1.2250
2.85194e-008,1.2251
2.85653e-008,1.2251
2.86113e-008,1.2250
2.86572e-008,1.2249
2.87031e-008,1.2248
2.87490e-008,1.2248
2.87950e-008,1.2249
2.88409e-008,1.2250
2.88868e-008,1.2251
2.89327e-008,1.2249
2.89787e-008,1.2218
2.90246e-008,1.2035
2.90705e-008,1.1574
2.91164e-008,1.0892
2.91624e-008,1.0020
2.92083e-008,0.8830
2.92542e-008,0.7400
2.93001e-008,0.6024
2.93461e-008,0.4829
2.93920e-008,0.3852
2.94379e-008,0.3191
2.94839e-008,0.2859
2.95298e-008,0.2770
2.95757e-008,0.2847
2.96216e-008,0.2987
2.96676e-008,0.3079
2.97135e-008,0.3087
2.97594e-008,0.3023
2.98053e-008,0.2908
2.98513e-008,0.2785
2.98972e-008,0.2688
2.99431e-008,0.2620
2.99890e-008,0.2572
3.00350e-008,0.2537
3.00809e-008,0.2503
3.01268e-008,0.2460
3.01727e-008,0.2405
3.02187e-008,0.2342
3.02646e-008,0.2289
3.03105e-008,0.2264
3.03564e-008,0.2270
3.04024e-008,0.2302
3.04483e-008,0.2345
3.04942e-008,0.2385
3.05401e-008,0.2416
3.05861e-008,0.2439
3.06320e-008,0.2458
3.06779e-008,0.2477
3.07238e-008,0.2499
3.07698e-008,0.2527
3.08157e-008,0.2554
3.08616e-008,0.2573
3.09075e-008,0.2578
3.09535e-008,0.2565
3.09994e-008,0.2537
3.10453e-008,0.2503
3.10912e-008,0.2475
3.11372e-008,0.2459
3.11831e-008,0.2461
3.12290e-008,0.2477
3.12749e-008,0.2501
3.13209e-008,0.2523
3.13668e-008,0.2538
3.14127e-008,0.2542
3.14586e-008,0.2536
3.15045e-008,0.2525
3.15505e-008,0.2514
3.15964e-008,0.2508
3.16423e-008,0.2508
3.16882e-008,0.2514
3.17342e-008,0.2522
3.17801e-008,0.2529
3.18260e-008,0.2530
3.18719e-008,0.2525
3.19179e-008,0.2517
3.19638e-008,0.2508
3.20097e-008,0.2501
3.20556e-008,0.2500
3.21016e-008,0.2503
3.21475e-008,0.2507
3.21934e-008,0.2512
3.22393e-008,0.2514
3.22853e-008,0.2514
3.23312e-008,0.2511
3.23771e-008,0.2507
3.24230e-008,0.2504
3.24690e-008,0.2503
3.25149e-008,0.2504
3.25608e-008,0.2507
3.26067e-008,0.2510
3.26527e-008,0.2512
3.26986e-008,0.2515
3.27445e-008,0.2567
3.27904e-008,0.2834
3.28364e-008,0.3425
3.28823e-008,0.4251
3.29282e-008,0.5330
3.29741e-008,0.6743
3.30201e-008,0.8259
3.30660e-008,0.9603
3.31119e-008,1.0726
3.31578e-008,1.1528
3.32038e-008,1.1913
3.32497e-008,1.1994
3.32956e-008,1.1915
3.33415e-008,1.1753
3.33875e-008,1.1626
3.34334e-008,1.1608
3.34793e-008,1.1677
3.35253e-008,1.1810
3.35712e-008,1.1974
3.36171e-008,1.2103
3.36630e-008,1.2174
3.37090e-008,1.2207
3.37549e-008,1.2222
3.38008e-008,1.2242
3.38467e-008,1.2284
3.38927e-008,1.2343
3.39386e-008,1.2405
3.39845e-008,1.2457
3.40304e-008,1.2484
3.40764e-008,1.2477
3.41223e-008,1.2443
3.41682e-008,1.2391
3.42141e-008,1.2338
3.42601e-008,1.2301
3.43060e-008,1.2283
3.43519e-008,1.2275
3.43978e-008,1.2267
3.44438e-008,1.2250
3.44897e-008,1.2218
3.45356e-008,1.2183
3.45815e-008,1.2157
3.46275e-008,1.2150
3.46734e-008,1.2165
3.47193e-008,1.2200
3.47652e-008,1.2243
3.48112e-008,1.2280
3.48571e-008,1.2300
3.49030e-008,1.2298
3.49489e-008,1.2277
3.49949e-008,1.2245
3.50408e-008,1.2215
3.50867e-008,1.2197
3.51326e-008,1.2194
3.51786e-008,1.2206
3.52245e-008,1.2224
3.52704e-008,1.2240
3.53163e-008,1.2249
3.53622e-008,1.2248
3.54082e-008,1.2240
3.54541e-008,1.2229
3.55000e-008,1.2220
3.55459e-008,1.2218
3.55919e-008,1.2223
3.56378e-008,1.2234
3.56837e-008,1.2246
3.57296e-008,1.2255
3.57756e-008,1.2256
3.58215e-008,1.2251
3.58674e-008,1.2242
3.59133e-008,1.2235
3.59593e-008,1.2232
3.60052e-008,1.2234
3.60511e-008,1.2239
3.60970e-008,1.2245
3.61430e-008,1.2249
3.61889e-008,1.2249
3.62348e-008,1.2247
3.62807e-008,1.2242
3.63267e-008,1.2238
3.63726e-008,1.2236
3.64185e-008,1.2237
3.64644e-008,1.2226
3.65104e-008,1.2113
3.65563e-008,1.1744
3.66022e-008,1.1119
3.66481e-008,1.0314
3.66941e-008,0.9227
3.67400e-008,0.7838
3.67859e-008,0.6417
3.68318e-008,0.5164
3.68778e-008,0.4115
3.69237e-008,0.3353
3.69696e-008,0.2932
3.70155e-008,0.2779
3.70615e-008,0.2813
3.71074e-008,0.2945
3.71533e-008,0.3055
3.71992e-008,0.3085
3.72452e-008,0.3040
3.72911e-008,0.2938
3.73370e-008,0.2814
3.73830e-008,0.2710
3.74289e-008,0.2637
3.74748e-008,0.2585
3.75207e-008,0.2546
3.75667e-008,0.2512
3.76126e-008,0.2470
3.76585e-008,0.2418
3.77044e-008,0.2355
3.77504e-008,0.2298
3.77963e-008,0.2265
3.78422e-008,0.2263
3.78881e-008,0.2289
3.79341e-008,0.2330
3.79800e-008,0.2372
3.80259e-008,0.2404
3.80718e-008,0.2429
3.81178e-008,0.2448
3.81637e-008,0.2467
3.82096e-008,0.2489
3.82555e-008,0.2516
3.83015e-008,0.2545
3.83474e-008,0.2585
3.83933e-008,0.2733
3.84392e-008,0.3157
3.84852e-008,0.3856
3.85311e-008,0.4767
3.85770e-008,0.5999
3.86229e-008,0.7494
