.HEADER
..NAMES
Time,V U2.M2
.DATA
4.66598e-008,1.2204
4.67057e-008,1.2242
4.67517e-008,1.2274
4.67976e-008,1.2287
4.68435e-008,1.2272
4.68894e-008,1.2233
4.69354e-008,1.2188
4.69813e-008,1.2158
4.70272e-008,1.2160
4.70731e-008,1.2193
4.71190e-008,1.2240
4.71650e-008,1.2278
4.72109e-008,1.2285
4.72568e-008,1.2261
4.73027e-008,1.2220
4.73487e-008,1.2185
4.73946e-008,1.2173
4.74405e-008,1.2190
4.74864e-008,1.2224
4.75324e-008,1.2256
4.75783e-008,1.2271
4.76242e-008,1.2263
4.76701e-008,1.2163
4.77161e-008,1.1618
4.77620e-008,1.0662
4.78079e-008,0.9554
4.78538e-008,0.8006
4.78998e-008,0.6483
4.79457e-008,0.5257
4.79916e-008,0.4471
4.80375e-008,0.4103
4.80835e-008,0.4007
4.81294e-008,0.4106
4.81753e-008,0.4133
4.82212e-008,0.3961
4.82672e-008,0.3619
4.83131e-008,0.3207
4.83590e-008,0.2836
4.84049e-008,0.2592
4.84509e-008,0.2513
4.84968e-008,0.2554
4.85427e-008,0.2614
4.85886e-008,0.2651
4.86346e-008,0.2621
4.86805e-008,0.2514
4.87264e-008,0.2369
4.87723e-008,0.2239
4.88183e-008,0.2139
4.88642e-008,0.2091
4.89101e-008,0.2125
4.89560e-008,0.2210
4.90020e-008,0.2330
4.90479e-008,0.2421
4.90938e-008,0.2469
