.HEADER
..NAMES
Time,V U2.R3
.DATA
2.81061e-008,0.2317
2.81520e-008,0.2205
2.81980e-008,0.2120
2.82439e-008,0.2089
2.82898e-008,0.2120
2.83357e-008,0.2204
2.83817e-008,0.2308
2.84276e-008,0.2390
2.84735e-008,0.2423
2.85194e-008,0.2412
2.85653e-008,0.2381
2.86113e-008,0.2361
2.86572e-008,0.2373
2.87031e-008,0.2419
2.87490e-008,0.2484
2.87950e-008,0.2537
2.88409e-008,0.2552
2.88868e-008,0.2524
2.89327e-008,0.2466
2.89787e-008,0.2405
2.90246e-008,0.2368
2.90705e-008,0.2370
2.91164e-008,0.2409
2.91624e-008,0.2468
2.92083e-008,0.2526
2.92542e-008,0.2564
2.93001e-008,0.2573
2.93461e-008,0.2554
2.93920e-008,0.2516
2.94379e-008,0.2476
2.94839e-008,0.2448
2.95298e-008,0.2440
2.95757e-008,0.2454
2.96216e-008,0.2483
2.96676e-008,0.2515
2.97135e-008,0.2534
2.97594e-008,0.2534
2.98053e-008,0.2515
2.98513e-008,0.2486
2.98972e-008,0.2459
2.99431e-008,0.2448
2.99890e-008,0.2454
3.00350e-008,0.2475
3.00809e-008,0.2499
3.01268e-008,0.2514
3.01727e-008,0.2515
3.02187e-008,0.2504
3.02646e-008,0.2486
3.03105e-008,0.2470
3.03564e-008,0.2464
3.04024e-008,0.2468
3.04483e-008,0.2479
3.04942e-008,0.2490
3.05401e-008,0.2498
3.05861e-008,0.2498
3.06320e-008,0.2492
3.06779e-008,0.2483
3.07238e-008,0.2474
3.07698e-008,0.2469
3.08157e-008,0.2469
3.08616e-008,0.2474
3.09075e-008,0.2483
3.09535e-008,0.2491
3.09994e-008,0.2496
3.10453e-008,0.2495
3.10912e-008,0.2489
3.11372e-008,0.2480
3.11831e-008,0.2472
3.12290e-008,0.2469
3.12749e-008,0.2471
3.13209e-008,0.2478
3.13668e-008,0.2486
3.14127e-008,0.2492
3.14586e-008,0.2492
3.15045e-008,0.2488
3.15505e-008,0.2481
3.15964e-008,0.2475
3.16423e-008,0.2473
3.16882e-008,0.2474
3.17342e-008,0.2478
3.17801e-008,0.2483
3.18260e-008,0.2486
3.18719e-008,0.2487
3.19179e-008,0.2485
3.19638e-008,0.2482
3.20097e-008,0.2479
3.20556e-008,0.2477
3.21016e-008,0.2477
3.21475e-008,0.2478
3.21934e-008,0.2480
3.22393e-008,0.2482
3.22853e-008,0.2484
3.23312e-008,0.2484
3.23771e-008,0.2483
3.24230e-008,0.2480
3.24690e-008,0.2478
3.25149e-008,0.2477
3.25608e-008,0.2477
3.26067e-008,0.2479
3.26527e-008,0.2481
3.26986e-008,0.2483
3.27445e-008,0.2483
3.27904e-008,0.2482
3.28364e-008,0.2480
3.28823e-008,0.2478
3.29282e-008,0.2477
3.29741e-008,0.2478
3.30201e-008,0.2479
3.30660e-008,0.2481
3.31119e-008,0.2482
3.31578e-008,0.2482
3.32038e-008,0.2481
3.32497e-008,0.2480
3.32956e-008,0.2479
3.33415e-008,0.2478
3.33875e-008,0.2478
3.34334e-008,0.2479
3.34793e-008,0.2480
3.35253e-008,0.2480
3.35712e-008,0.2481
3.36171e-008,0.2481
3.36630e-008,0.2480
3.37090e-008,0.2480
3.37549e-008,0.2479
3.38008e-008,0.2478
3.38467e-008,0.2478
3.38927e-008,0.2479
3.39386e-008,0.2480
3.39845e-008,0.2480
3.40304e-008,0.2480
3.40764e-008,0.2480
3.41223e-008,0.2479
3.41682e-008,0.2479
3.42141e-008,0.2478
3.42601e-008,0.2478
3.43060e-008,0.2479
3.43519e-008,0.2479
3.43978e-008,0.2480
3.44438e-008,0.2481
3.44897e-008,0.2512
3.45356e-008,0.2738
3.45815e-008,0.3434
3.46275e-008,0.4539
3.46734e-008,0.5875
3.47193e-008,0.7494
3.47652e-008,0.9080
3.48112e-008,1.0221
3.48571e-008,1.0854
3.49030e-008,1.1035
3.49489e-008,1.0895
3.49949e-008,1.0653
3.50408e-008,1.0534
3.50867e-008,1.0672
3.51326e-008,1.1059
3.51786e-008,1.1536
3.52245e-008,1.1976
3.52704e-008,1.2302
3.53163e-008,1.2445
3.53622e-008,1.2434
3.54082e-008,1.2358
3.54541e-008,1.2282
3.55000e-008,1.2246
3.55459e-008,1.2284
3.55919e-008,1.2388
3.56378e-008,1.2514
3.56837e-008,1.2616
3.57296e-008,1.2654
3.57756e-008,1.2613
3.58215e-008,1.2505
3.58674e-008,1.2369
3.59133e-008,1.2263
3.59593e-008,1.2225
3.60052e-008,1.2256
3.60511e-008,1.2322
3.60970e-008,1.2373
3.61430e-008,1.2371
3.61889e-008,1.2311
3.62348e-008,1.2220
3.62807e-008,1.2144
3.63267e-008,1.2124
3.63726e-008,1.2171
3.64185e-008,1.2258
3.64644e-008,1.2345
3.65104e-008,1.2391
3.65563e-008,1.2380
3.66022e-008,1.2319
3.66481e-008,1.2236
3.66941e-008,1.2165
3.67400e-008,1.2129
3.67859e-008,1.2135
3.68318e-008,1.2173
3.68778e-008,1.2228
3.69237e-008,1.2278
3.69696e-008,1.2309
3.70155e-008,1.2312
3.70615e-008,1.2289
3.71074e-008,1.2250
3.71533e-008,1.2209
3.71992e-008,1.2186
3.72452e-008,1.2188
3.72911e-008,1.2216
3.73370e-008,1.2257
3.73830e-008,1.2292
3.74289e-008,1.2305
3.74748e-008,1.2291
3.75207e-008,1.2258
3.75667e-008,1.2224
3.76126e-008,1.2204
3.76585e-008,1.2208
3.77044e-008,1.2231
3.77504e-008,1.2260
3.77963e-008,1.2280
3.78422e-008,1.2284
3.78881e-008,1.2271
3.79341e-008,1.2251
3.79800e-008,1.2234
3.80259e-008,1.2228
3.80718e-008,1.2232
3.81178e-008,1.2245
3.81637e-008,1.2258
3.82096e-008,1.2261
3.82555e-008,1.2184
3.83015e-008,1.1808
3.83474e-008,1.0994
3.83933e-008,0.9933
3.84392e-008,0.8664
3.84852e-008,0.7158
3.85311e-008,0.5742
3.85770e-008,0.4704
3.86229e-008,0.4101
3.86689e-008,0.3849
3.87148e-008,0.3846
3.87607e-008,0.3956
3.88066e-008,0.4005
3.88526e-008,0.3872
3.88985e-008,0.3569
3.89444e-008,0.3203
3.89903e-008,0.2839
3.90363e-008,0.2551
3.90822e-008,0.2398
3.91281e-008,0.2366
3.91740e-008,0.2396
3.92199e-008,0.2438
3.92659e-008,0.2453
3.93118e-008,0.2409
3.93577e-008,0.2313
3.94036e-008,0.2201
3.94496e-008,0.2117
3.94955e-008,0.2087
3.95414e-008,0.2120
3.95873e-008,0.2205
3.96333e-008,0.2309
3.96792e-008,0.2390
3.97251e-008,0.2422
3.97710e-008,0.2411
3.98170e-008,0.2379
3.98629e-008,0.2360
3.99088e-008,0.2373
3.99547e-008,0.2419
4.00007e-008,0.2483
4.00466e-008,0.2536
4.00925e-008,0.2559
4.01384e-008,0.2627
4.01844e-008,0.3018
4.02303e-008,0.3916
4.02762e-008,0.5134
4.03221e-008,0.6655
4.03681e-008,0.8382
4.04140e-008,0.9828
4.04599e-008,1.0743
4.05058e-008,1.1138
4.05518e-008,1.1098
4.05977e-008,1.0823
4.06436e-008,1.0568
4.06895e-008,1.0539
4.07355e-008,1.0810
4.07814e-008,1.1281
4.08273e-008,1.1779
4.08732e-008,1.2204
4.09192e-008,1.2461
4.09651e-008,1.2519
4.10110e-008,1.2449
4.10569e-008,1.2339
4.11029e-008,1.2248
4.11488e-008,1.2227
4.11947e-008,1.2299
4.12407e-008,1.2434
4.12866e-008,1.2578
4.13325e-008,1.2673
4.13784e-008,1.2680
4.14244e-008,1.2594
4.14703e-008,1.2446
4.15162e-008,1.2297
4.15621e-008,1.2209
4.16081e-008,1.2210
4.16540e-008,1.2278
4.16999e-008,1.2360
4.17458e-008,1.2399
4.17918e-008,1.2367
4.18377e-008,1.2279
4.18836e-008,1.2177
4.19295e-008,1.2116
4.19755e-008,1.2110
4.20214e-008,1.2036
4.20673e-008,1.1606
4.21132e-008,1.0745
4.21592e-008,0.9617
4.22051e-008,0.8175
4.22510e-008,0.6549
4.22969e-008,0.5155
4.23429e-008,0.4225
4.23888e-008,0.3769
4.24347e-008,0.3683
4.24806e-008,0.3830
4.25266e-008,0.4020
4.25725e-008,0.4063
4.26184e-008,0.3866
4.26643e-008,0.3496
4.27103e-008,0.3067
4.27562e-008,0.2660
4.28021e-008,0.2377
4.28480e-008,0.2267
4.28940e-008,0.2295
4.29399e-008,0.2389
4.29858e-008,0.2484
4.30317e-008,0.2515
4.30777e-008,0.2448
4.31236e-008,0.2307
4.31695e-008,0.2151
4.32154e-008,0.2044
4.32613e-008,0.2025
4.33073e-008,0.2098
4.33532e-008,0.2234
4.33991e-008,0.2372
4.34450e-008,0.2456
4.34910e-008,0.2465
4.35369e-008,0.2417
4.35828e-008,0.2357
4.36287e-008,0.2329
4.36747e-008,0.2354
4.37206e-008,0.2423
4.37665e-008,0.2506
4.38124e-008,0.2564
4.38584e-008,0.2569
4.39043e-008,0.2524
4.39502e-008,0.2451
4.39961e-008,0.2384
4.40421e-008,0.2349
