.HEADER
..NAMES
Time,V U2.D3
.DATA
2.82550e-008,-0.3213
2.82975e-008,-0.2751
2.83399e-008,-0.2101
2.83823e-008,-0.1531
2.84248e-008,-0.0682
2.84672e-008,0.0280
2.85096e-008,0.1047
2.85520e-008,0.1544
2.85944e-008,0.1829
2.86369e-008,0.1859
2.86793e-008,0.1772
2.87217e-008,0.1657
2.87642e-008,0.1565
2.88066e-008,0.1471
2.88490e-008,0.1354
2.88914e-008,0.1281
2.89339e-008,0.1281
2.89763e-008,0.1281
2.90187e-008,0.1227
2.90611e-008,0.1214
2.91035e-008,0.1347
2.91460e-008,0.1378
2.91884e-008,0.1198
2.92308e-008,0.0971
2.92733e-008,0.0681
2.93157e-008,0.0274
2.93581e-008,-0.0139
2.94005e-008,-0.0468
2.94429e-008,-0.0709
2.94854e-008,-0.0822
2.95278e-008,-0.0812
2.95702e-008,-0.0741
2.96127e-008,-0.0674
2.96551e-008,-0.0631
2.96975e-008,-0.0582
2.97399e-008,-0.0525
2.97824e-008,-0.0506
2.98248e-008,-0.0526
2.98672e-008,-0.0530
2.99096e-008,-0.0504
2.99521e-008,-0.0528
2.99945e-008,-0.0592
3.00369e-008,-0.0595
3.00793e-008,-0.0536
3.01218e-008,-0.0444
3.01642e-008,-0.0297
3.02066e-008,-0.0118
3.02490e-008,0.0125
3.02914e-008,0.0777
3.03339e-008,0.1864
3.03763e-008,0.3444
3.04187e-008,0.5233
3.04612e-008,0.7438
3.05036e-008,0.9712
3.05460e-008,1.1819
3.05884e-008,1.3538
3.06309e-008,1.4835
3.06733e-008,1.5757
3.07157e-008,1.6375
3.07581e-008,1.6767
3.08005e-008,1.6991
3.08430e-008,1.7145
3.08854e-008,1.7246
3.09278e-008,1.7306
3.09702e-008,1.7348
3.10127e-008,1.7348
3.10551e-008,1.7344
3.10975e-008,1.7384
3.11400e-008,1.7403
3.11824e-008,1.7289
3.12248e-008,1.7006
3.12672e-008,1.6661
3.13096e-008,1.6228
3.13521e-008,1.5720
3.13945e-008,1.5212
3.14369e-008,1.4791
3.14793e-008,1.4502
3.15218e-008,1.4334
3.15642e-008,1.4250
3.16066e-008,1.4206
3.16491e-008,1.4189
3.16915e-008,1.4181
3.17339e-008,1.4177
3.17763e-008,1.4171
3.18188e-008,1.4151
3.18612e-008,1.4134
3.19036e-008,1.4137
3.19460e-008,1.4134
3.19884e-008,1.4103
3.20309e-008,1.4085
3.20733e-008,1.4299
3.21157e-008,1.4544
3.21582e-008,1.3840
3.22006e-008,1.3151
3.22430e-008,1.1766
3.22854e-008,0.9588
3.23279e-008,0.7091
3.23703e-008,0.4559
3.24127e-008,0.2086
3.24551e-008,0.0081
3.24975e-008,-0.1328
3.25400e-008,-0.2262
3.25824e-008,-0.2798
3.26248e-008,-0.3074
3.26672e-008,-0.3197
3.27097e-008,-0.3216
3.27521e-008,-0.3247
3.27945e-008,-0.3287
3.28370e-008,-0.3321
3.28794e-008,-0.3301
3.29218e-008,-0.3369
3.29642e-008,-0.3606
3.30066e-008,-0.3583
3.30491e-008,-0.2458
3.30915e-008,-0.0124
3.31339e-008,0.2235
3.31763e-008,0.5826
3.32188e-008,0.9452
3.32612e-008,1.2900
3.33036e-008,1.5542
3.33461e-008,1.7261
3.33885e-008,1.7995
3.34309e-008,1.8125
3.34733e-008,1.7951
3.35158e-008,1.7656
3.35582e-008,1.7347
3.36006e-008,1.7052
3.36430e-008,1.6858
3.36854e-008,1.6822
3.37279e-008,1.6780
3.37703e-008,1.6756
3.38127e-008,1.6818
3.38552e-008,1.7076
3.38976e-008,1.7150
3.39400e-008,1.6693
3.39824e-008,1.6158
3.40249e-008,1.5466
3.40673e-008,1.4622
3.41097e-008,1.3811
3.41521e-008,1.3207
3.41945e-008,1.2900
3.42370e-008,1.2919
3.42794e-008,1.3175
3.43218e-008,1.3495
3.43643e-008,1.3795
3.44067e-008,1.4017
3.44491e-008,1.4203
3.44915e-008,1.4354
3.45340e-008,1.4400
3.45764e-008,1.4374
3.46188e-008,1.4357
3.46612e-008,1.4364
3.47036e-008,1.4289
3.47461e-008,1.4139
3.47885e-008,1.4144
3.48309e-008,1.4299
3.48733e-008,1.4593
3.49158e-008,1.5032
3.49582e-008,1.4408
3.50006e-008,1.3507
3.50431e-008,1.1996
3.50855e-008,0.9502
3.51279e-008,0.6605
3.51703e-008,0.3769
3.52128e-008,0.1177
3.52552e-008,-0.0840
3.52976e-008,-0.2101
3.53400e-008,-0.2867
3.53824e-008,-0.3224
3.54249e-008,-0.3325
3.54673e-008,-0.3310
3.55097e-008,-0.3272
3.55522e-008,-0.3267
3.55946e-008,-0.3248
3.56370e-008,-0.3234
3.56794e-008,-0.3261
3.57219e-008,-0.3375
3.57643e-008,-0.3688
3.58067e-008,-0.3776
3.58491e-008,-0.3558
3.58915e-008,-0.3220
3.59340e-008,-0.2667
3.59764e-008,-0.1906
3.60188e-008,-0.1057
3.60613e-008,-0.0213
3.61037e-008,0.0528
3.61461e-008,0.0992
3.61885e-008,0.1247
3.62310e-008,0.1372
3.62734e-008,0.1404
3.63158e-008,0.1379
3.63582e-008,0.1327
3.64006e-008,0.1289
3.64431e-008,0.1283
3.64855e-008,0.1292
3.65279e-008,0.1299
3.65703e-008,0.1297
3.66128e-008,0.1381
3.66552e-008,0.1499
3.66976e-008,0.1547
3.67401e-008,0.1524
3.67825e-008,0.1304
3.68249e-008,0.0937
3.68673e-008,0.1201
3.69097e-008,0.1977
3.69522e-008,0.3197
3.69946e-008,0.5014
3.70370e-008,0.7432
3.70794e-008,0.9943
3.71219e-008,1.2276
3.71643e-008,1.4139
3.72067e-008,1.5487
3.72492e-008,1.6363
3.72916e-008,1.6896
3.73340e-008,1.7190
3.73764e-008,1.7333
3.74189e-008,1.7397
3.74613e-008,1.7430
3.75037e-008,1.7439
3.75461e-008,1.7458
3.75885e-008,1.7457
3.76310e-008,1.7522
3.76734e-008,1.7732
3.77158e-008,1.7225
3.77583e-008,1.4881
3.78007e-008,1.2481
3.78431e-008,0.9492
3.78855e-008,0.5599
3.79280e-008,0.1936
3.79704e-008,-0.1034
3.80128e-008,-0.3078
3.80552e-008,-0.4091
3.80976e-008,-0.4222
3.81401e-008,-0.4120
3.81825e-008,-0.3906
3.82249e-008,-0.3685
3.82673e-008,-0.3427
3.83098e-008,-0.3177
3.83522e-008,-0.3034
3.83946e-008,-0.2977
3.84371e-008,-0.2900
3.84795e-008,-0.2826
3.85219e-008,-0.2976
3.85643e-008,-0.3243
3.86067e-008,-0.2884
3.86492e-008,-0.2214
3.86916e-008,-0.1633
3.87340e-008,-0.0790
3.87764e-008,0.0231
3.88189e-008,0.1072
3.88613e-008,0.1616
3.89037e-008,0.1935
3.89462e-008,0.1966
3.89886e-008,0.1849
3.90310e-008,0.1698
3.90734e-008,0.1578
3.91159e-008,0.1468
3.91583e-008,0.1333
3.92007e-008,0.1233
3.92431e-008,0.1219
3.92855e-008,0.1228
3.93280e-008,0.1182
3.93704e-008,0.1162
3.94128e-008,0.1313
3.94553e-008,0.1399
3.94977e-008,0.1251
3.95401e-008,0.1026
3.95825e-008,0.0741
3.96250e-008,0.0323
3.96674e-008,-0.0121
3.97098e-008,-0.0478
3.97522e-008,-0.0743
3.97946e-008,-0.0874
3.98371e-008,-0.0864
3.98795e-008,-0.0778
3.99219e-008,-0.0690
3.99644e-008,-0.0634
4.00068e-008,-0.0579
4.00492e-008,-0.0512
4.00916e-008,-0.0479
4.01341e-008,-0.0496
4.01765e-008,-0.0507
4.02189e-008,-0.0482
4.02613e-008,-0.0503
4.03037e-008,-0.0580
4.03462e-008,-0.0605
4.03886e-008,-0.0559
4.04310e-008,-0.0473
4.04734e-008,-0.0327
4.05159e-008,-0.0137
4.05583e-008,0.0099
4.06007e-008,0.0719
4.06432e-008,0.1765
4.06856e-008,0.3322
4.07280e-008,0.5072
4.07704e-008,0.7242
4.08128e-008,0.9512
4.08553e-008,1.1637
4.08977e-008,1.3396
4.09401e-008,1.4727
4.09825e-008,1.5681
4.10250e-008,1.6327
4.10674e-008,1.6741
4.11098e-008,1.6977
4.11523e-008,1.7140
4.11947e-008,1.7250
4.12371e-008,1.7316
4.12795e-008,1.7362
4.13220e-008,1.7363
4.13644e-008,1.7350
4.14068e-008,1.7376
4.14492e-008,1.7105
4.14916e-008,1.5240
4.15341e-008,1.2605
4.15765e-008,1.0100
4.16189e-008,0.6446
4.16614e-008,0.2872
4.17038e-008,-0.0183
4.17462e-008,-0.2351
4.17886e-008,-0.3694
4.18311e-008,-0.4086
4.18735e-008,-0.4100
4.19159e-008,-0.3966
4.19583e-008,-0.3789
4.20007e-008,-0.3586
4.20432e-008,-0.3365
4.20856e-008,-0.3207
4.21280e-008,-0.3148
4.21704e-008,-0.3065
4.22129e-008,-0.2971
4.22553e-008,-0.2968
4.22977e-008,-0.3195
4.23402e-008,-0.3039
4.23826e-008,-0.2341
4.24250e-008,-0.0769
4.24674e-008,0.1784
4.25098e-008,0.4117
4.25523e-008,0.7322
4.25947e-008,1.0081
4.26371e-008,1.2425
4.26795e-008,1.3952
4.27220e-008,1.4863
4.27644e-008,1.5228
4.28068e-008,1.5445
4.28493e-008,1.5611
4.28917e-008,1.5709
4.29341e-008,1.5815
4.29765e-008,1.5954
4.30190e-008,1.6129
4.30614e-008,1.6317
4.31038e-008,1.6428
4.31462e-008,1.6654
4.31886e-008,1.6864
4.32311e-008,1.7007
4.32735e-008,1.6876
4.33159e-008,1.6138
4.33584e-008,1.4165
4.34008e-008,1.1319
4.34432e-008,0.8912
4.34856e-008,0.5638
4.35281e-008,0.2539
4.35705e-008,0.0158
4.36129e-008,-0.1353
4.36553e-008,-0.2330
4.36977e-008,-0.2826
4.37402e-008,-0.3071
4.37826e-008,-0.3190
4.38250e-008,-0.3226
4.38675e-008,-0.3232
4.39099e-008,-0.3239
4.39523e-008,-0.3247
4.39947e-008,-0.3311
4.40372e-008,-0.3337
4.40796e-008,-0.3356
