.HEADER
..NAMES
Time,V U2.L2
.DATA
3.11372e-008,0.2539
3.11831e-008,0.2580
3.12290e-008,0.2591
3.12749e-008,0.2578
3.13209e-008,0.2551
3.13668e-008,0.2519
3.14127e-008,0.2486
3.14586e-008,0.2462
3.15045e-008,0.2458
3.15505e-008,0.2477
3.15964e-008,0.2520
3.16423e-008,0.2569
3.16882e-008,0.2600
3.17342e-008,0.2596
3.17801e-008,0.2556
3.18260e-008,0.2498
3.18719e-008,0.2450
3.19179e-008,0.2436
3.19638e-008,0.2461
3.20097e-008,0.2510
3.20556e-008,0.2557
3.21016e-008,0.2577
3.21475e-008,0.2563
3.21934e-008,0.2526
3.22393e-008,0.2486
3.22853e-008,0.2462
3.23312e-008,0.2464
3.23771e-008,0.2485
3.24230e-008,0.2514
3.24690e-008,0.2535
3.25149e-008,0.2541
3.25608e-008,0.2533
3.26067e-008,0.2517
3.26527e-008,0.2505
3.26986e-008,0.2596
3.27445e-008,0.3244
3.27904e-008,0.4323
3.28364e-008,0.5690
3.28823e-008,0.7541
3.29282e-008,0.9202
3.29741e-008,1.0359
3.30201e-008,1.0996
3.30660e-008,1.1057
3.31119e-008,1.0859
3.31578e-008,1.0719
3.32038e-008,1.0731
3.32497e-008,1.1025
3.32956e-008,1.1507
3.33415e-008,1.1929
3.33875e-008,1.2237
3.34334e-008,1.2358
3.34793e-008,1.2308
3.35253e-008,1.2179
3.35712e-008,1.2074
3.36171e-008,1.1992
3.36630e-008,1.2030
3.37090e-008,1.2126
3.37549e-008,1.2254
3.38008e-008,1.2423
3.38467e-008,1.2539
3.38927e-008,1.2590
3.39386e-008,1.2580
3.39845e-008,1.2468
3.40304e-008,1.2319
3.40764e-008,1.2196
3.41223e-008,1.2140
3.41682e-008,1.2189
3.42141e-008,1.2315
3.42601e-008,1.2434
3.43060e-008,1.2468
3.43519e-008,1.2383
3.43978e-008,1.2219
3.44438e-008,1.2044
3.44897e-008,1.1947
3.45356e-008,1.1962
3.45815e-008,1.1905
3.46275e-008,1.1347
3.46734e-008,1.0477
3.47193e-008,0.9195
3.47652e-008,0.7502
3.48112e-008,0.5899
3.48571e-008,0.4663
3.49030e-008,0.3914
3.49489e-008,0.3666
3.49949e-008,0.3680
3.50408e-008,0.3786
3.50867e-008,0.3826
3.51326e-008,0.3648
3.51786e-008,0.3301
3.52245e-008,0.2928
3.52704e-008,0.2605
3.53163e-008,0.2420
3.53622e-008,0.2372
3.54082e-008,0.2422
3.54541e-008,0.2509
3.55000e-008,0.2613
3.55459e-008,0.2643
3.55919e-008,0.2635
3.56378e-008,0.2538
3.56837e-008,0.2374
3.57296e-008,0.2211
3.57756e-008,0.2087
3.58215e-008,0.2052
3.58674e-008,0.2140
3.59133e-008,0.2297
3.59593e-008,0.2453
3.60052e-008,0.2537
3.60511e-008,0.2509
3.60970e-008,0.2400
3.61430e-008,0.2281
3.61889e-008,0.2236
3.62348e-008,0.2290
3.62807e-008,0.2422
3.63267e-008,0.2579
3.63726e-008,0.2688
3.64185e-008,0.2710
3.64644e-008,0.2638
3.65104e-008,0.2523
3.65563e-008,0.2416
3.66022e-008,0.2364
3.66481e-008,0.2376
3.66941e-008,0.2434
3.67400e-008,0.2507
3.67859e-008,0.2566
3.68318e-008,0.2592
3.68778e-008,0.2588
3.69237e-008,0.2562
3.69696e-008,0.2526
3.70155e-008,0.2492
3.70615e-008,0.2463
3.71074e-008,0.2451
3.71533e-008,0.2462
