.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
3.11400e-008,1.2594
3.11824e-008,1.2728
3.12248e-008,1.2762
3.12672e-008,1.2759
3.13096e-008,1.2751
3.13521e-008,1.2725
3.13945e-008,1.2668
3.14369e-008,1.2642
3.14793e-008,1.2639
3.15218e-008,1.2545
3.15642e-008,1.2052
3.16066e-008,1.0546
3.16491e-008,0.8917
3.16915e-008,0.7214
3.17339e-008,0.5424
3.17763e-008,0.4070
3.18188e-008,0.3247
3.18612e-008,0.2701
3.19036e-008,0.2368
3.19460e-008,0.2288
3.19884e-008,0.2258
3.20309e-008,0.2184
3.20733e-008,0.2064
3.21157e-008,0.1932
3.21582e-008,0.1915
3.22006e-008,0.1964
3.22430e-008,0.1988
3.22854e-008,0.1992
3.23279e-008,0.2031
3.23703e-008,0.2077
3.24127e-008,0.2086
3.24551e-008,0.2159
3.24975e-008,0.2471
3.25400e-008,0.3596
3.25824e-008,0.4943
3.26248e-008,0.6552
3.26672e-008,0.8346
3.27097e-008,0.9717
3.27521e-008,1.0699
3.27945e-008,1.1423
3.28370e-008,1.1904
3.28794e-008,1.2147
3.29218e-008,1.2319
3.29642e-008,1.2446
3.30066e-008,1.2566
3.30491e-008,1.2707
3.30915e-008,1.2763
3.31339e-008,1.2758
3.31763e-008,1.2755
3.32188e-008,1.2732
3.32612e-008,1.2680
3.33036e-008,1.2642
3.33461e-008,1.2645
3.33885e-008,1.2574
3.34309e-008,1.2223
3.34733e-008,1.0890
3.35158e-008,0.9215
3.35582e-008,0.7577
3.36006e-008,0.5750
3.36430e-008,0.4287
3.36854e-008,0.3378
3.37279e-008,0.2795
3.37703e-008,0.2409
3.38127e-008,0.2293
3.38552e-008,0.2267
3.38976e-008,0.2202
3.39400e-008,0.2091
3.39824e-008,0.1953
3.40249e-008,0.1908
3.40673e-008,0.1956
3.41097e-008,0.1985
3.41521e-008,0.1991
3.41945e-008,0.2019
3.42370e-008,0.2072
3.42794e-008,0.2081
3.43218e-008,0.2137
3.43643e-008,0.2359
3.44067e-008,0.3326
3.44491e-008,0.4683
3.44915e-008,0.6192
3.45340e-008,0.8024
3.45764e-008,0.9483
3.46188e-008,1.0531
3.46612e-008,1.1299
3.47036e-008,1.1832
3.47461e-008,1.2110
3.47885e-008,1.2287
3.48309e-008,1.2425
3.48733e-008,1.2539
3.49158e-008,1.2682
3.49582e-008,1.2761
3.50006e-008,1.2758
3.50431e-008,1.2758
3.50855e-008,1.2737
3.51279e-008,1.2693
3.51703e-008,1.2643
3.52128e-008,1.2647
3.52552e-008,1.2596
3.52976e-008,1.2349
3.53400e-008,1.1223
3.53824e-008,0.9519
3.54249e-008,0.7928
3.54673e-008,0.6090
3.55097e-008,0.4529
3.55522e-008,0.3522
3.55946e-008,0.2894
3.56370e-008,0.2463
3.56794e-008,0.2301
3.57219e-008,0.2274
3.57643e-008,0.2218
3.58067e-008,0.2117
3.58491e-008,0.1977
3.58915e-008,0.1905
3.59340e-008,0.1947
3.59764e-008,0.1981
3.60188e-008,0.1991
3.60613e-008,0.2008
3.61037e-008,0.2066
3.61461e-008,0.2079
3.61885e-008,0.2119
3.62310e-008,0.2281
3.62734e-008,0.3069
3.63158e-008,0.4425
3.63582e-008,0.5851
3.64006e-008,0.7684
3.64431e-008,0.9232
3.64855e-008,1.0351
3.65279e-008,1.1166
3.65703e-008,1.1748
3.66128e-008,1.2070
3.66552e-008,1.2254
3.66976e-008,1.2402
3.67401e-008,1.2514
3.67825e-008,1.2655
3.68249e-008,1.2755
3.68673e-008,1.2758
3.69097e-008,1.2759
3.69522e-008,1.2742
