.HEADER
..NAMES
Time,V U3.C3
.DATA
3.44915e-008,0.2239
3.45340e-008,0.2266
3.45764e-008,0.2272
3.46188e-008,0.2224
3.46612e-008,0.2217
3.47036e-008,0.2246
3.47461e-008,0.2244
3.47885e-008,0.2241
3.48309e-008,0.2250
3.48733e-008,0.2264
3.49158e-008,0.2884
3.49582e-008,0.4293
3.50006e-008,0.5689
3.50431e-008,0.7586
3.50855e-008,0.9040
3.51279e-008,1.0244
3.51703e-008,1.1121
3.52128e-008,1.1722
3.52552e-008,1.2075
3.52976e-008,1.2304
3.53400e-008,1.2449
3.53824e-008,1.2488
3.54249e-008,1.2590
3.54673e-008,1.2621
3.55097e-008,1.2683
3.55522e-008,1.2702
3.55946e-008,1.2709
3.56370e-008,1.2645
3.56794e-008,1.2619
3.57219e-008,1.2723
3.57643e-008,1.2765
3.58067e-008,1.2696
3.58491e-008,1.1708
3.58915e-008,0.9580
3.59340e-008,0.8051
3.59764e-008,0.6244
3.60188e-008,0.4740
3.60613e-008,0.3689
3.61037e-008,0.3025
3.61461e-008,0.2578
3.61885e-008,0.2388
3.62310e-008,0.2276
3.62734e-008,0.2176
3.63158e-008,0.2198
3.63582e-008,0.2101
3.64006e-008,0.2071
3.64431e-008,0.2023
3.64855e-008,0.2028
3.65279e-008,0.2056
3.65703e-008,0.2154
3.66128e-008,0.2165
3.66552e-008,0.1956
3.66976e-008,0.1902
3.67401e-008,0.2005
3.67825e-008,0.2547
3.68249e-008,0.4221
3.68673e-008,0.5757
3.69097e-008,0.7660
3.69522e-008,0.9183
3.69946e-008,1.0371
3.70370e-008,1.1199
3.70794e-008,1.1779
3.71219e-008,1.2119
3.71643e-008,1.2287
3.72067e-008,1.2456
3.72492e-008,1.2483
3.72916e-008,1.2607
3.73340e-008,1.2651
3.73764e-008,1.2720
3.74189e-008,1.2699
3.74613e-008,1.2678
3.75037e-008,1.2651
3.75461e-008,1.2615
3.75885e-008,1.2732
3.76310e-008,1.2812
3.76734e-008,1.2791
3.77158e-008,1.2781
3.77583e-008,1.2695
3.78007e-008,1.2607
3.78431e-008,1.2554
3.78855e-008,1.2520
3.79280e-008,1.2493
3.79704e-008,1.2514
3.80128e-008,1.2522
3.80552e-008,1.2536
3.80976e-008,1.2566
3.81401e-008,1.2567
3.81825e-008,1.2569
3.82249e-008,1.2558
3.82673e-008,1.2557
3.83098e-008,1.2545
3.83522e-008,1.2565
3.83946e-008,1.2591
3.84371e-008,1.2581
3.84795e-008,1.2571
3.85219e-008,1.2566
3.85643e-008,1.2557
3.86067e-008,1.2562
3.86492e-008,1.2574
3.86916e-008,1.2575
3.87340e-008,1.2582
3.87764e-008,1.2587
3.88189e-008,1.2581
3.88613e-008,1.2584
3.89037e-008,1.2583
3.89462e-008,1.2578
3.89886e-008,1.2577
3.90310e-008,1.2577
3.90734e-008,1.2576
3.91159e-008,1.2579
3.91583e-008,1.2587
3.92007e-008,1.2584
3.92431e-008,1.2579
3.92855e-008,1.2579
3.93280e-008,1.2579
3.93704e-008,1.2580
3.94128e-008,1.2584
3.94553e-008,1.2584
3.94977e-008,1.2583
3.95401e-008,1.2575
3.95825e-008,1.2218
3.96250e-008,1.0588
3.96674e-008,0.8991
3.97098e-008,0.7428
3.97522e-008,0.5676
