.HEADER
..NAMES
Time,V U2.E7
.DATA
3.47036e-008,1.4923
3.47461e-008,1.5138
3.47885e-008,1.5284
3.48309e-008,1.5405
3.48733e-008,1.5468
3.49158e-008,1.4539
3.49582e-008,1.3398
3.50006e-008,1.1653
3.50431e-008,0.9175
3.50855e-008,0.6456
3.51279e-008,0.3854
3.51703e-008,0.1547
3.52128e-008,-0.0315
3.52552e-008,-0.1554
3.52976e-008,-0.2396
3.53400e-008,-0.2917
3.53824e-008,-0.3174
3.54249e-008,-0.3393
3.54673e-008,-0.3566
3.55097e-008,-0.3710
3.55522e-008,-0.3731
3.55946e-008,-0.3711
3.56370e-008,-0.3780
3.56794e-008,-0.3606
3.57219e-008,-0.3262
3.57643e-008,-0.2886
3.58067e-008,-0.2341
3.58491e-008,-0.1656
3.58915e-008,-0.0947
3.59340e-008,-0.0293
3.59764e-008,0.0301
3.60188e-008,0.0706
3.60613e-008,0.0978
3.61037e-008,0.1195
3.61461e-008,0.1293
3.61885e-008,0.1352
3.62310e-008,0.1401
3.62734e-008,0.1477
3.63158e-008,0.1524
3.63582e-008,0.1531
3.64006e-008,0.1571
3.64431e-008,0.1585
3.64855e-008,0.1520
3.65279e-008,0.1408
3.65703e-008,0.1243
3.66128e-008,0.0999
3.66552e-008,0.0706
3.66976e-008,0.0406
3.67401e-008,0.0096
3.67825e-008,-0.0156
3.68249e-008,-0.0318
3.68673e-008,-0.0440
3.69097e-008,-0.0516
3.69522e-008,-0.0549
3.69946e-008,-0.0562
3.70370e-008,-0.0589
3.70794e-008,-0.0624
3.71219e-008,-0.0643
3.71643e-008,-0.0662
3.72067e-008,-0.0682
3.72492e-008,-0.0682
3.72916e-008,-0.0657
3.73340e-008,-0.0611
3.73764e-008,-0.0533
3.74189e-008,-0.0423
3.74613e-008,-0.0302
3.75037e-008,-0.0165
3.75461e-008,-0.0026
3.75885e-008,0.0078
3.76310e-008,0.0150
3.76734e-008,0.0184
3.77158e-008,0.0303
3.77583e-008,0.0855
3.78007e-008,0.1917
3.78431e-008,0.3560
3.78855e-008,0.5614
3.79280e-008,0.8029
3.79704e-008,1.0398
3.80128e-008,1.2463
3.80552e-008,1.4070
3.80976e-008,1.5197
3.81401e-008,1.5975
3.81825e-008,1.6462
3.82249e-008,1.6822
3.82673e-008,1.7040
3.83098e-008,1.7233
3.83522e-008,1.7383
3.83946e-008,1.7487
3.84371e-008,1.7566
3.84795e-008,1.7635
3.85219e-008,1.7638
3.85643e-008,1.7474
3.86067e-008,1.6715
3.86492e-008,1.4487
3.86916e-008,1.1883
3.87340e-008,0.8764
3.87764e-008,0.5019
3.88189e-008,0.1771
3.88613e-008,-0.0674
3.89037e-008,-0.2240
3.89462e-008,-0.3096
3.89886e-008,-0.3368
3.90310e-008,-0.3493
3.90734e-008,-0.3548
3.91159e-008,-0.3465
3.91583e-008,-0.3498
3.92007e-008,-0.3476
3.92431e-008,-0.3424
3.92855e-008,-0.3280
3.93280e-008,-0.3180
3.93704e-008,-0.3127
3.94128e-008,-0.2663
3.94553e-008,-0.1997
3.94977e-008,-0.1362
3.95401e-008,-0.0526
3.95825e-008,0.0341
3.96250e-008,0.1020
3.96674e-008,0.1425
3.97098e-008,0.1626
3.97522e-008,0.1603
3.97946e-008,0.1536
3.98371e-008,0.1526
3.98795e-008,0.1452
3.99219e-008,0.1423
3.99644e-008,0.1447
4.00068e-008,0.1491
4.00492e-008,0.1466
4.00916e-008,0.1396
4.01341e-008,0.1391
4.01765e-008,0.1327
4.02189e-008,0.1130
4.02613e-008,0.0884
4.03037e-008,0.0583
4.03462e-008,0.0209
4.03886e-008,-0.0164
4.04310e-008,-0.0459
4.04734e-008,-0.0666
4.05159e-008,-0.0532
4.05583e-008,0.0204
4.06007e-008,0.1355
4.06432e-008,0.3290
4.06856e-008,0.5538
4.07280e-008,0.8150
4.07704e-008,1.0620
4.08128e-008,1.2766
4.08553e-008,1.4455
4.08977e-008,1.5612
4.09401e-008,1.6400
4.09825e-008,1.6887
4.10250e-008,1.7289
4.10674e-008,1.7556
4.11098e-008,1.7814
4.11523e-008,1.8013
4.11947e-008,1.8113
4.12371e-008,1.8162
4.12795e-008,1.8118
4.13220e-008,1.7905
4.13644e-008,1.7570
4.14068e-008,1.6889
4.14492e-008,1.4963
4.14916e-008,1.2281
4.15341e-008,0.9538
4.15765e-008,0.5939
4.16189e-008,0.2681
4.16614e-008,0.0096
4.17038e-008,-0.1635
4.17462e-008,-0.2678
4.17886e-008,-0.3115
4.18311e-008,-0.3279
4.18735e-008,-0.3418
4.19159e-008,-0.3358
4.19583e-008,-0.3353
4.20007e-008,-0.3321
4.20432e-008,-0.3256
4.20856e-008,-0.3066
4.21280e-008,-0.2852
4.21704e-008,-0.2783
4.22129e-008,-0.2475
4.22553e-008,-0.1863
4.22977e-008,-0.1334
4.23402e-008,-0.0662
4.23826e-008,0.0109
4.24250e-008,0.0768
4.24674e-008,0.1203
4.25098e-008,0.1462
4.25523e-008,0.1519
4.25947e-008,0.1460
4.26371e-008,0.1470
4.26795e-008,0.1432
4.27220e-008,0.1386
4.27644e-008,0.1387
4.28068e-008,0.1420
4.28493e-008,0.1407
4.28917e-008,0.1306
4.29341e-008,0.1252
4.29765e-008,0.1203
4.30190e-008,0.1035
4.30614e-008,0.0822
4.31038e-008,0.0579
4.31462e-008,0.0272
4.31886e-008,-0.0060
4.32311e-008,-0.0336
4.32735e-008,-0.0555
4.33159e-008,-0.0669
4.33584e-008,-0.0654
4.34008e-008,-0.0629
4.34432e-008,-0.0615
4.34856e-008,-0.0586
4.35281e-008,-0.0566
4.35705e-008,-0.0582
4.36129e-008,-0.0615
4.36553e-008,-0.0605
4.36977e-008,-0.0575
4.37402e-008,-0.0553
4.37826e-008,-0.0510
4.38250e-008,-0.0441
4.38675e-008,-0.0355
4.39099e-008,-0.0244
4.39523e-008,-0.0105
4.39947e-008,0.0027
4.40372e-008,0.0153
4.40796e-008,0.0261
4.41220e-008,0.0301
4.41644e-008,0.0292
4.42068e-008,0.0277
4.42493e-008,0.0261
4.42917e-008,0.0242
