.HEADER
..NAMES
Time,V U3.L3
.DATA
2.35595e-008,1.0135
2.36055e-008,0.8849
2.36514e-008,0.7296
2.36973e-008,0.5753
2.37432e-008,0.4365
2.37892e-008,0.3273
2.38351e-008,0.2604
2.38810e-008,0.2398
2.39269e-008,0.2521
2.39729e-008,0.2787
2.40188e-008,0.3061
2.40647e-008,0.3243
2.41106e-008,0.3287
2.41566e-008,0.3190
2.42025e-008,0.3003
2.42484e-008,0.2802
2.42943e-008,0.2656
2.43403e-008,0.2578
2.43862e-008,0.2566
2.44321e-008,0.2604
2.44780e-008,0.2648
2.45239e-008,0.2660
2.45699e-008,0.2630
2.46158e-008,0.2553
2.46617e-008,0.2449
2.47076e-008,0.2356
2.47536e-008,0.2315
2.47995e-008,0.2343
2.48454e-008,0.2417
2.48913e-008,0.2509
2.49373e-008,0.2590
2.49832e-008,0.2634
2.50291e-008,0.2638
2.50750e-008,0.2608
2.51210e-008,0.2574
2.51669e-008,0.2562
2.52128e-008,0.2570
2.52587e-008,0.2593
2.53047e-008,0.2724
2.53506e-008,0.3216
2.53965e-008,0.3954
2.54424e-008,0.4988
2.54884e-008,0.6509
2.55343e-008,0.8178
2.55802e-008,0.9725
2.56262e-008,1.1052
2.56721e-008,1.1951
2.57180e-008,1.2345
2.57639e-008,1.2304
2.58099e-008,1.2022
2.58558e-008,1.1698
2.59017e-008,1.1458
2.59476e-008,1.1375
2.59936e-008,1.1452
2.60395e-008,1.1637
2.60854e-008,1.1860
2.61313e-008,1.2047
2.61773e-008,1.2154
2.62232e-008,1.2188
2.62691e-008,1.2160
2.63150e-008,1.2098
2.63610e-008,1.2058
2.64069e-008,1.2067
2.64528e-008,1.2122
2.64987e-008,1.2215
2.65446e-008,1.2314
2.65906e-008,1.2383
2.66365e-008,1.2388
2.66824e-008,1.2323
2.67283e-008,1.2223
2.67743e-008,1.2120
2.68202e-008,1.2052
2.68661e-008,1.2038
2.69120e-008,1.2067
2.69580e-008,1.2117
2.70039e-008,1.2151
2.70498e-008,1.2149
2.70957e-008,1.2127
2.71417e-008,1.2088
2.71876e-008,1.1903
2.72335e-008,1.1406
2.72794e-008,1.0732
2.73254e-008,0.9742
2.73713e-008,0.8325
2.74172e-008,0.6754
2.74631e-008,0.5254
2.75091e-008,0.3956
2.75550e-008,0.3004
2.76009e-008,0.2501
2.76469e-008,0.2431
2.76928e-008,0.2617
2.77387e-008,0.2893
2.77846e-008,0.3138
2.78306e-008,0.3273
2.78765e-008,0.3268
2.79224e-008,0.3138
2.79683e-008,0.2942
2.80143e-008,0.2759
2.80602e-008,0.2637
2.81061e-008,0.2579
2.81520e-008,0.2582
2.81980e-008,0.2623
2.82439e-008,0.2657
2.82898e-008,0.2656
2.83357e-008,0.2613
2.83817e-008,0.2526
2.84276e-008,0.2424
2.84735e-008,0.2344
2.85194e-008,0.2326
2.85653e-008,0.2371
2.86113e-008,0.2452
2.86572e-008,0.2544
2.87031e-008,0.2614
2.87490e-008,0.2644
2.87950e-008,0.2635
2.88409e-008,0.2600
2.88868e-008,0.2573
2.89327e-008,0.2570
2.89787e-008,0.2583
2.90246e-008,0.2601
2.90705e-008,0.2613
2.91164e-008,0.2606
2.91624e-008,0.2577
2.92083e-008,0.2534
2.92542e-008,0.2495
2.93001e-008,0.2474
2.93461e-008,0.2475
2.93920e-008,0.2493
2.94379e-008,0.2521
2.94839e-008,0.2551
2.95298e-008,0.2575
2.95757e-008,0.2586
2.96216e-008,0.2583
2.96676e-008,0.2567
2.97135e-008,0.2543
2.97594e-008,0.2519
2.98053e-008,0.2504
2.98513e-008,0.2501
2.98972e-008,0.2512
2.99431e-008,0.2533
2.99890e-008,0.2553
3.00350e-008,0.2563
3.00809e-008,0.2557
3.01268e-008,0.2539
3.01727e-008,0.2518
3.02187e-008,0.2502
3.02646e-008,0.2497
3.03105e-008,0.2505
3.03564e-008,0.2522
3.04024e-008,0.2538
3.04483e-008,0.2547
3.04942e-008,0.2545
3.05401e-008,0.2536
3.05861e-008,0.2525
3.06320e-008,0.2517
3.06779e-008,0.2513
3.07238e-008,0.2515
3.07698e-008,0.2519
3.08157e-008,0.2524
3.08616e-008,0.2527
3.09075e-008,0.2563
3.09535e-008,0.2869
3.09994e-008,0.3546
3.10453e-008,0.4432
3.10912e-008,0.5783
3.11372e-008,0.7477
3.11831e-008,0.9099
3.12290e-008,1.0528
3.12749e-008,1.1616
3.13209e-008,1.2206
3.13668e-008,1.2318
3.14127e-008,1.2098
3.14586e-008,1.1771
3.15045e-008,1.1492
3.15505e-008,1.1354
3.15964e-008,1.1387
3.16423e-008,1.1555
3.16882e-008,1.1783
3.17342e-008,1.1995
3.17801e-008,1.2124
3.18260e-008,1.2163
3.18719e-008,1.2141
3.19179e-008,1.2081
3.19638e-008,1.2034
3.20097e-008,1.2042
3.20556e-008,1.2099
3.21016e-008,1.2192
3.21475e-008,1.2295
3.21934e-008,1.2369
3.22393e-008,1.2387
3.22853e-008,1.2334
3.23312e-008,1.2238
3.23771e-008,1.2138
3.24230e-008,1.2061
3.24690e-008,1.2035
3.25149e-008,1.2054
3.25608e-008,1.2099
3.26067e-008,1.2142
3.26527e-008,1.2150
3.26986e-008,1.2130
3.27445e-008,1.2101
3.27904e-008,1.2017
3.28364e-008,1.1673
3.28823e-008,1.1074
3.29282e-008,1.0280
3.29741e-008,0.9054
3.30201e-008,0.7520
3.30660e-008,0.5966
3.31119e-008,0.4548
3.31578e-008,0.3406
3.32038e-008,0.2671
3.32497e-008,0.2404
3.32956e-008,0.2493
3.33415e-008,0.2748
3.33875e-008,0.3030
3.34334e-008,0.3231
3.34793e-008,0.3296
3.35253e-008,0.3217
3.35712e-008,0.3037
3.36171e-008,0.2832
3.36630e-008,0.2675
3.37090e-008,0.2588
3.37549e-008,0.2568
3.38008e-008,0.2601
3.38467e-008,0.2647
3.38927e-008,0.2665
3.39386e-008,0.2640
3.39845e-008,0.2570
3.40304e-008,0.2468
3.40764e-008,0.2371
3.41223e-008,0.2320
3.41682e-008,0.2339
3.42141e-008,0.2407
3.42601e-008,0.2499
3.43060e-008,0.2584
3.43519e-008,0.2634
3.43978e-008,0.2644
3.44438e-008,0.2618
3.44897e-008,0.2582
3.45356e-008,0.2566
3.45815e-008,0.2571
3.46275e-008,0.2590
3.46734e-008,0.2692
3.47193e-008,0.3132
3.47652e-008,0.3847
3.48112e-008,0.4820
3.48571e-008,0.6285
3.49030e-008,0.7957
3.49489e-008,0.9523
3.49949e-008,1.0892
3.50408e-008,1.1859
3.50867e-008,1.2320
3.51326e-008,1.2331
3.51786e-008,1.2070
3.52245e-008,1.1743
3.52704e-008,1.1486
3.53163e-008,1.1380
3.53622e-008,1.1436
3.54082e-008,1.1611
3.54541e-008,1.1832
3.55000e-008,1.2028
3.55459e-008,1.2146
3.55919e-008,1.2189
3.56378e-008,1.2169
3.56837e-008,1.2110
3.57296e-008,1.2064
3.57756e-008,1.2066
3.58215e-008,1.2114
3.58674e-008,1.2204
3.59133e-008,1.2304
3.59593e-008,1.2378
3.60052e-008,1.2394
3.60511e-008,1.2337
3.60970e-008,1.2240
3.61430e-008,1.2136
3.61889e-008,1.2061
3.62348e-008,1.2040
3.62807e-008,1.2063
3.63267e-008,1.2112
3.63726e-008,1.2150
3.64185e-008,1.2153
3.64644e-008,1.2133
3.65104e-008,1.2099
3.65563e-008,1.1949
3.66022e-008,1.1489
3.66481e-008,1.0837
3.66941e-008,0.9905
3.67400e-008,0.8535
3.67859e-008,0.6968
3.68318e-008,0.5450
3.68778e-008,0.4117
3.69237e-008,0.3110
3.69696e-008,0.2544
3.70155e-008,0.2423
3.70615e-008,0.2586
3.71074e-008,0.2857
3.71533e-008,0.3113
3.71992e-008,0.3265
3.72452e-008,0.3279
3.72911e-008,0.3163
3.73370e-008,0.2972
3.73830e-008,0.2783
3.74289e-008,0.2652
3.74748e-008,0.2585
3.75207e-008,0.2581
3.75667e-008,0.2619
3.76126e-008,0.2656
3.76585e-008,0.2661
3.77044e-008,0.2623
3.77504e-008,0.2542
3.77963e-008,0.2439
3.78422e-008,0.2354
3.78881e-008,0.2326
3.79341e-008,0.2364
3.79800e-008,0.2442
3.80259e-008,0.2534
3.80718e-008,0.2608
3.81178e-008,0.2644
3.81637e-008,0.2640
3.82096e-008,0.2607
3.82555e-008,0.2578
3.83015e-008,0.2571
3.83474e-008,0.2582
3.83933e-008,0.2611
3.84392e-008,0.2800
3.84852e-008,0.3363
3.85311e-008,0.4136
3.85770e-008,0.5273
3.86229e-008,0.6863
3.86689e-008,0.8518
3.87148e-008,1.0032
3.87607e-008,1.1287
3.88066e-008,1.2080
3.88526e-008,1.2372
3.88985e-008,1.2261
3.89444e-008,1.1957
3.89903e-008,1.1642
3.90363e-008,1.1432
3.90822e-008,1.1386
3.91281e-008,1.1491
3.91740e-008,1.1690
3.92199e-008,1.1910
3.92659e-008,1.2082
3.93118e-008,1.2171
3.93577e-008,1.2191
3.94036e-008,1.2153
3.94496e-008,1.2092
3.94955e-008,1.2062
3.95414e-008,1.2080
3.95873e-008,1.2144
3.96333e-008,1.2242
3.96792e-008,1.2337
3.97251e-008,1.2395
3.97710e-008,1.2384
3.98170e-008,1.2308
3.98629e-008,1.2205
3.99088e-008,1.2106
3.99547e-008,1.2049
4.00007e-008,1.2046
4.00466e-008,1.2082
4.00925e-008,1.2132
4.01384e-008,1.2158
4.01844e-008,1.2150
4.02303e-008,1.2125
4.02762e-008,1.2074
4.03221e-008,1.1828
4.03681e-008,1.1281
4.04140e-008,1.0566
4.04599e-008,0.9479
4.05058e-008,0.8002
4.05518e-008,0.6433
4.05977e-008,0.4964
4.06436e-008,0.3726
4.06895e-008,0.2862
4.07355e-008,0.2459
4.07814e-008,0.2460
4.08273e-008,0.2676
4.08732e-008,0.2956
4.09192e-008,0.3182
4.09651e-008,0.3288
4.10110e-008,0.3254
4.10569e-008,0.3104
4.11029e-008,0.2905
4.11488e-008,0.2732
4.11947e-008,0.2624
4.12407e-008,0.2579
4.12866e-008,0.2593
4.13325e-008,0.2636
4.13784e-008,0.2664
4.14244e-008,0.2655
4.14703e-008,0.2602
4.15162e-008,0.2509
4.15621e-008,0.2407
4.16081e-008,0.2338
4.16540e-008,0.2335
4.16999e-008,0.2390
4.17458e-008,0.2475
4.17918e-008,0.2565
4.18377e-008,0.2627
4.18836e-008,0.2649
4.19295e-008,0.2633
4.19755e-008,0.2597
4.20214e-008,0.2574
4.20673e-008,0.2575
4.21132e-008,0.2590
4.21592e-008,0.2608
4.22051e-008,0.2617
4.22510e-008,0.2606
4.22969e-008,0.2572
4.23429e-008,0.2528
4.23888e-008,0.2492
4.24347e-008,0.2476
4.24806e-008,0.2481
4.25266e-008,0.2502
4.25725e-008,0.2531
4.26184e-008,0.2560
4.26643e-008,0.2582
4.27103e-008,0.2590
4.27562e-008,0.2584
4.28021e-008,0.2566
4.28480e-008,0.2541
4.28940e-008,0.2518
4.29399e-008,0.2505
4.29858e-008,0.2505
4.30317e-008,0.2520
4.30777e-008,0.2541
4.31236e-008,0.2560
4.31695e-008,0.2566
4.32154e-008,0.2557
4.32613e-008,0.2538
4.33073e-008,0.2517
4.33532e-008,0.2503
4.33991e-008,0.2501
4.34450e-008,0.2511
4.34910e-008,0.2529
4.35369e-008,0.2544
4.35828e-008,0.2550
4.36287e-008,0.2547
4.36747e-008,0.2537
4.37206e-008,0.2526
4.37665e-008,0.2519
4.38124e-008,0.2516
4.38584e-008,0.2519
4.39043e-008,0.2523
4.39502e-008,0.2528
4.39961e-008,0.2530
4.40421e-008,0.2531
4.40880e-008,0.2529
4.41339e-008,0.2527
4.41798e-008,0.2523
4.42258e-008,0.2519
4.42717e-008,0.2517
4.43176e-008,0.2517
4.43635e-008,0.2519
4.44095e-008,0.2523
4.44554e-008,0.2528
4.45013e-008,0.2530
4.45472e-008,0.2529
4.45932e-008,0.2524
4.46391e-008,0.2518
4.46850e-008,0.2514
4.47309e-008,0.2513
4.47769e-008,0.2516
4.48228e-008,0.2521
4.48687e-008,0.2525
4.49146e-008,0.2526
4.49606e-008,0.2524
4.50065e-008,0.2521
4.50524e-008,0.2517
4.50983e-008,0.2514
4.51443e-008,0.2514
4.51902e-008,0.2516
4.52361e-008,0.2518
4.52821e-008,0.2520
4.53280e-008,0.2520
4.53739e-008,0.2520
4.54198e-008,0.2519
4.54658e-008,0.2517
4.55117e-008,0.2516
4.55576e-008,0.2516
4.56035e-008,0.2515
4.56495e-008,0.2515
4.56954e-008,0.2515
4.57413e-008,0.2516
4.57872e-008,0.2517
4.58332e-008,0.2518
4.58791e-008,0.2518
4.59250e-008,0.2517
4.59709e-008,0.2515
4.60169e-008,0.2513
4.60628e-008,0.2513
4.61087e-008,0.2513
4.61546e-008,0.2515
4.62006e-008,0.2516
4.62465e-008,0.2517
4.62924e-008,0.2516
4.63383e-008,0.2515
4.63843e-008,0.2514
4.64302e-008,0.2513
4.64761e-008,0.2512
4.65220e-008,0.2513
4.65680e-008,0.2514
4.66139e-008,0.2514
4.66598e-008,0.2514
4.67057e-008,0.2514
4.67517e-008,0.2513
4.67976e-008,0.2513
4.68435e-008,0.2513
4.68894e-008,0.2513
4.69354e-008,0.2513
4.69813e-008,0.2513
4.70272e-008,0.2512
4.70731e-008,0.2512
4.71190e-008,0.2513
4.71650e-008,0.2513
4.72109e-008,0.2513
4.72568e-008,0.2512
4.73027e-008,0.2512
4.73487e-008,0.2512
4.73946e-008,0.2511
4.74405e-008,0.2511
4.74864e-008,0.2511
4.75324e-008,0.2512
4.75783e-008,0.2512
4.76242e-008,0.2512
4.76701e-008,0.2512
4.77161e-008,0.2511
4.77620e-008,0.2518
4.78079e-008,0.2663
4.78538e-008,0.3205
4.78998e-008,0.3993
4.79457e-008,0.5114
4.79916e-008,0.6714
4.80375e-008,0.8402
4.80835e-008,0.9920
4.81294e-008,1.1183
4.81753e-008,1.1993
4.82212e-008,1.2303
4.82672e-008,1.2203
4.83131e-008,1.1903
4.83590e-008,1.1595
4.84049e-008,1.1393
4.84509e-008,1.1355
4.84968e-008,1.1469
4.85427e-008,1.1675
4.85886e-008,1.1898
4.86346e-008,1.2065
4.86805e-008,1.2141
4.87264e-008,1.2146
4.87723e-008,1.2103
4.88183e-008,1.2046
4.88642e-008,1.2030
4.89101e-008,1.2067
4.89560e-008,1.2143
4.90020e-008,1.2244
4.90479e-008,1.2333
4.90938e-008,1.2379
