.HEADER
..NAMES
Time,V U3.C7&B7
.DATA
3.06309e-008,0.2012
3.06733e-008,0.2146
3.07157e-008,0.3055
3.07581e-008,0.4708
3.08005e-008,0.6513
3.08430e-008,0.8312
3.08854e-008,0.9704
3.09278e-008,1.0725
3.09702e-008,1.1322
3.10127e-008,1.1849
3.10551e-008,1.2320
3.10975e-008,1.2521
3.11400e-008,1.2504
3.11824e-008,1.2527
3.12248e-008,1.2591
3.12672e-008,1.2600
3.13096e-008,1.2629
3.13521e-008,1.2670
3.13945e-008,1.2694
3.14369e-008,1.2659
3.14793e-008,1.2639
3.15218e-008,1.2667
3.15642e-008,1.2713
3.16066e-008,1.2564
3.16491e-008,1.1507
3.16915e-008,0.9526
3.17339e-008,0.7553
3.17763e-008,0.5808
3.18188e-008,0.4490
3.18612e-008,0.3494
3.19036e-008,0.2908
3.19460e-008,0.2474
3.19884e-008,0.2104
3.20309e-008,0.1968
3.20733e-008,0.2054
3.21157e-008,0.2105
3.21582e-008,0.2062
3.22006e-008,0.2056
3.22430e-008,0.2048
3.22854e-008,0.2054
3.23279e-008,0.2062
3.23703e-008,0.2091
3.24127e-008,0.2080
3.24551e-008,0.2046
3.24975e-008,0.2014
3.25400e-008,0.2082
3.25824e-008,0.2794
3.26248e-008,0.4365
3.26672e-008,0.6148
3.27097e-008,0.7985
3.27521e-008,0.9462
3.27945e-008,1.0559
3.28370e-008,1.1226
3.28794e-008,1.1739
3.29218e-008,1.2247
3.29642e-008,1.2503
3.30066e-008,1.2513
3.30491e-008,1.2512
3.30915e-008,1.2584
3.31339e-008,1.2598
3.31763e-008,1.2622
3.32188e-008,1.2661
3.32612e-008,1.2695
3.33036e-008,1.2667
3.33461e-008,1.2639
3.33885e-008,1.2658
3.34309e-008,1.2707
3.34733e-008,1.2636
3.35158e-008,1.1813
3.35582e-008,0.9932
3.36006e-008,0.7926
3.36430e-008,0.6118
3.36854e-008,0.4719
3.37279e-008,0.3659
3.37703e-008,0.2996
3.38127e-008,0.2561
3.38552e-008,0.2160
3.38976e-008,0.1974
3.39400e-008,0.2028
3.39824e-008,0.2109
3.40249e-008,0.2068
3.40673e-008,0.2057
3.41097e-008,0.2048
3.41521e-008,0.2053
3.41945e-008,0.2058
3.42370e-008,0.2087
3.42794e-008,0.2085
3.43218e-008,0.2052
3.43643e-008,0.2019
3.44067e-008,0.2044
3.44491e-008,0.2571
3.44915e-008,0.4026
3.45340e-008,0.5788
3.45764e-008,0.7641
3.46188e-008,0.9207
3.46612e-008,1.0374
3.47036e-008,1.1125
3.47461e-008,1.1631
3.47885e-008,1.2164
3.48309e-008,1.2475
3.48733e-008,1.2523
3.49158e-008,1.2501
3.49582e-008,1.2574
3.50006e-008,1.2596
3.50431e-008,1.2615
3.50855e-008,1.2652
3.51279e-008,1.2692
