.HEADER
..NAMES
Time,V U3.C7&B7
.DATA
3.30491e-008,-1.0481
3.30915e-008,-1.0649
3.31339e-008,-1.0704
3.31763e-008,-1.0614
3.32188e-008,-1.0547
3.32612e-008,-1.0586
3.33036e-008,-1.0575
3.33461e-008,-1.0532
3.33885e-008,-1.0580
3.34309e-008,-1.0699
3.34733e-008,-1.0586
3.35158e-008,-0.9119
3.35582e-008,-0.5678
3.36006e-008,-0.1834
3.36430e-008,0.1793
3.36854e-008,0.4682
3.37279e-008,0.6826
3.37703e-008,0.8211
3.38127e-008,0.9099
3.38552e-008,0.9976
3.38976e-008,1.0463
3.39400e-008,1.0452
3.39824e-008,1.0420
3.40249e-008,1.0620
3.40673e-008,1.0720
3.41097e-008,1.0634
3.41521e-008,1.0532
3.41945e-008,1.0552
3.42370e-008,1.0551
3.42794e-008,1.0516
3.43218e-008,1.0553
3.43643e-008,1.0666
3.44067e-008,1.0604
3.44491e-008,0.9334
3.44915e-008,0.6023
3.45340e-008,0.2177
3.45764e-008,-0.1467
3.46188e-008,-0.4426
3.46612e-008,-0.6670
3.47036e-008,-0.8164
3.47461e-008,-0.9038
3.47885e-008,-0.9895
3.48309e-008,-1.0450
3.48733e-008,-1.0516
3.49158e-008,-1.0463
3.49582e-008,-1.0616
3.50006e-008,-1.0708
3.50431e-008,-1.0636
3.50855e-008,-1.0549
3.51279e-008,-1.0577
3.51703e-008,-1.0584
3.52128e-008,-1.0536
3.52552e-008,-1.0561
3.52976e-008,-1.0679
3.53400e-008,-1.0660
3.53824e-008,-0.9586
3.54249e-008,-0.6432
3.54673e-008,-0.2578
3.55097e-008,0.1126
3.55522e-008,0.4183
3.55946e-008,0.6460
3.56370e-008,0.8002
3.56794e-008,0.8926
3.57219e-008,0.9821
3.57643e-008,1.0412
3.58067e-008,1.0477
3.58491e-008,1.0403
3.58915e-008,1.0579
3.59340e-008,1.0718
3.59764e-008,1.0659
3.60188e-008,1.0543
3.60613e-008,1.0544
3.61037e-008,1.0557
3.61461e-008,1.0521
3.61885e-008,1.0538
3.62310e-008,1.0645
3.62734e-008,1.0660
3.63158e-008,0.9756
3.63582e-008,0.6770
3.64006e-008,0.2921
3.64431e-008,-0.0791
3.64855e-008,-0.3912
3.65279e-008,-0.6281
3.65703e-008,-0.7940
3.66128e-008,-0.8875
3.66552e-008,-0.9736
3.66976e-008,-1.0381
3.67401e-008,-1.0532
3.67825e-008,-1.0456
3.68249e-008,-1.0580
3.68673e-008,-1.0705
3.69097e-008,-1.0657
3.69522e-008,-1.0558
3.69946e-008,-1.0567
3.70370e-008,-1.0589
3.70794e-008,-1.0543
3.71219e-008,-1.0546
3.71643e-008,-1.0655
3.72067e-008,-1.0698
3.72492e-008,-0.9945
3.72916e-008,-0.7147
3.73340e-008,-0.3313
3.73764e-008,0.0439
3.74189e-008,0.3661
3.74613e-008,0.6073
3.75037e-008,0.7769
3.75461e-008,0.8759
3.75885e-008,0.9655
3.76310e-008,1.0340
3.76734e-008,1.0495
3.77158e-008,1.0400
3.77583e-008,1.0536
3.78007e-008,1.0707
3.78431e-008,1.0681
3.78855e-008,1.0559
3.79280e-008,1.0538
3.79704e-008,1.0561
3.80128e-008,1.0527
3.80552e-008,1.0526
3.80976e-008,1.0623
3.81401e-008,1.0685
3.81825e-008,1.0071
3.82249e-008,0.7469
3.82673e-008,0.3657
3.83098e-008,-0.0099
3.83522e-008,-0.3374
3.83946e-008,-0.5871
3.84371e-008,-0.7685
3.84795e-008,-0.8717
3.85219e-008,-0.9571
3.85643e-008,-1.0291
3.86067e-008,-1.0535
3.86492e-008,-1.0460
3.86916e-008,-1.0546
3.87340e-008,-1.0695
3.87764e-008,-1.0675
3.88189e-008,-1.0571
3.88613e-008,-1.0557
3.89037e-008,-1.0592
3.89462e-008,-1.0552
3.89886e-008,-1.0536
3.90310e-008,-1.0630
3.90734e-008,-1.0713
3.91159e-008,-1.0230
3.91583e-008,-0.7841
3.92007e-008,-0.4065
3.92431e-008,-0.0276
3.92855e-008,0.3099
3.93280e-008,0.5653
3.93704e-008,0.7501
3.94128e-008,0.8592
3.94553e-008,0.9479
3.94977e-008,1.0245
3.95401e-008,1.0502
3.95825e-008,1.0408
3.96250e-008,1.0493
3.96674e-008,1.0688
3.97098e-008,1.0700
3.97522e-008,1.0580
3.97946e-008,1.0532
3.98371e-008,1.0562
3.98795e-008,1.0535
3.99219e-008,1.0519
3.99644e-008,1.0599
4.00068e-008,1.0692
4.00492e-008,1.0316
4.00916e-008,0.8139
4.01341e-008,0.4410
4.01765e-008,0.0620
4.02189e-008,-0.2798
4.02613e-008,-0.5432
4.03037e-008,-0.7395
4.03462e-008,-0.8554
4.03886e-008,-0.9399
4.04310e-008,-1.0182
4.04734e-008,-1.0526
4.05159e-008,-1.0473
4.05583e-008,-1.0512
4.06007e-008,-1.0677
4.06432e-008,-1.0691
4.06856e-008,-1.0589
4.07280e-008,-1.0550
4.07704e-008,-1.0591
4.08128e-008,-1.0563
4.08553e-008,-1.0531
4.08977e-008,-1.0605
4.09401e-008,-1.0711
4.09825e-008,-1.0433
4.10250e-008,-0.8479
4.10674e-008,-0.4822
4.11098e-008,-0.1005
4.11523e-008,0.2502
4.11947e-008,0.5209
4.12371e-008,0.7201
4.12795e-008,0.8420
4.13220e-008,0.9299
4.13644e-008,1.0130
4.14068e-008,1.0494
4.14492e-008,1.0426
4.14916e-008,1.0455
4.15341e-008,1.0661
4.15765e-008,1.0713
4.16189e-008,1.0605
4.16614e-008,1.0530
4.17038e-008,1.0559
4.17462e-008,1.0543
4.17886e-008,1.0516
4.18311e-008,1.0577
4.18735e-008,1.0685
4.19159e-008,1.0485
4.19583e-008,0.8743
4.20007e-008,0.5169
4.20432e-008,0.1350
4.20856e-008,-0.2188
4.21280e-008,-0.4971
4.21704e-008,-0.7071
4.22129e-008,-0.8380
4.22553e-008,-0.9227
4.22977e-008,-1.0055
4.23402e-008,-1.0500
4.23826e-008,-1.0491
4.24250e-008,-1.0484
4.24674e-008,-1.0652
4.25098e-008,-1.0702
4.25523e-008,-1.0610
4.25947e-008,-1.0546
4.26371e-008,-1.0585
4.26795e-008,-1.0573
4.27220e-008,-1.0531
4.27644e-008,-1.0582
4.28068e-008,-1.0699
4.28493e-008,-1.0568
4.28917e-008,-0.9044
4.29341e-008,-0.5580
4.29765e-008,-0.1743
4.30190e-008,0.1871
4.30614e-008,0.4741
4.31038e-008,0.6869
4.31462e-008,0.8235
4.31886e-008,0.9121
4.32311e-008,0.9994
4.32735e-008,1.0467
4.33159e-008,1.0449
4.33584e-008,1.0425
4.34008e-008,1.0626
4.34432e-008,1.0720
4.34856e-008,1.0631
4.35281e-008,1.0533
4.35705e-008,1.0554
