.HEADER
..NAMES
Time,V U2.A7
.DATA
2.94005e-008,1.2619
2.94429e-008,1.2570
2.94854e-008,1.2547
2.95278e-008,1.2525
2.95702e-008,1.2520
2.96127e-008,1.2514
2.96551e-008,1.2537
2.96975e-008,1.2566
2.97399e-008,1.2571
2.97824e-008,1.2574
2.98248e-008,1.2560
2.98672e-008,1.2570
2.99096e-008,1.2568
2.99521e-008,1.2567
2.99945e-008,1.2589
3.00369e-008,1.2597
3.00793e-008,1.2581
3.01218e-008,1.2567
3.01642e-008,1.2561
3.02066e-008,1.2343
3.02490e-008,1.0944
3.02914e-008,0.9086
3.03339e-008,0.7619
3.03763e-008,0.5955
3.04187e-008,0.4620
3.04612e-008,0.3664
3.05036e-008,0.3071
3.05460e-008,0.2607
3.05884e-008,0.2367
3.06309e-008,0.2250
3.06733e-008,0.2211
3.07157e-008,0.2195
3.07581e-008,0.2109
3.08005e-008,0.2112
3.08430e-008,0.2087
3.08854e-008,0.2120
3.09278e-008,0.2103
3.09702e-008,0.2118
3.10127e-008,0.2168
3.10551e-008,0.2026
3.10975e-008,0.1886
3.11400e-008,0.1955
3.11824e-008,0.2022
3.12248e-008,0.2062
3.12672e-008,0.2135
3.13096e-008,0.2211
3.13521e-008,0.2242
3.13945e-008,0.2264
3.14369e-008,0.2267
3.14793e-008,0.2269
3.15218e-008,0.2258
3.15642e-008,0.2224
3.16066e-008,0.2224
3.16491e-008,0.2225
3.16915e-008,0.2240
3.17339e-008,0.2229
3.17763e-008,0.2221
3.18188e-008,0.2238
3.18612e-008,0.2215
3.19036e-008,0.2190
3.19460e-008,0.2219
3.19884e-008,0.2245
3.20309e-008,0.2233
3.20733e-008,0.2272
3.21157e-008,0.3039
3.21582e-008,0.4544
3.22006e-008,0.6072
3.22430e-008,0.7878
3.22854e-008,0.9232
3.23279e-008,1.0356
3.23703e-008,1.1140
3.24127e-008,1.1747
3.24551e-008,1.2132
3.24975e-008,1.2337
3.25400e-008,1.2450
3.25824e-008,1.2479
3.26248e-008,1.2587
3.26672e-008,1.2606
3.27097e-008,1.2658
3.27521e-008,1.2647
3.27945e-008,1.2653
3.28370e-008,1.2648
3.28794e-008,1.2602
3.29218e-008,1.2681
3.29642e-008,1.2797
3.30066e-008,1.2815
3.30491e-008,1.2796
3.30915e-008,1.2728
3.31339e-008,1.2649
3.31763e-008,1.2585
3.32188e-008,1.2556
3.32612e-008,1.2533
3.33036e-008,1.2522
3.33461e-008,1.2518
3.33885e-008,1.2523
3.34309e-008,1.2559
3.34733e-008,1.2569
3.35158e-008,1.2576
3.35582e-008,1.2565
3.36006e-008,1.2565
3.36430e-008,1.2573
3.36854e-008,1.2565
3.37279e-008,1.2581
3.37703e-008,1.2598
3.38127e-008,1.2589
3.38552e-008,1.2571
3.38976e-008,1.2566
3.39400e-008,1.2565
3.39824e-008,1.2572
3.40249e-008,1.2582
3.40673e-008,1.2585
3.41097e-008,1.2589
3.41521e-008,1.2587
3.41945e-008,1.2588
3.42370e-008,1.2593
3.42794e-008,1.2591
3.43218e-008,1.2588
3.43643e-008,1.2582
3.44067e-008,1.2584
3.44491e-008,1.2589
3.44915e-008,1.2588
3.45340e-008,1.2589
3.45764e-008,1.2592
3.46188e-008,1.2589
3.46612e-008,1.2585
3.47036e-008,1.2587
3.47461e-008,1.2589
3.47885e-008,1.2592
3.48309e-008,1.2592
3.48733e-008,1.2546
3.49158e-008,1.1820
3.49582e-008,0.9901
3.50006e-008,0.8348
3.50431e-008,0.6738
3.50855e-008,0.5223
3.51279e-008,0.4071
3.51703e-008,0.3326
3.52128e-008,0.2814
3.52552e-008,0.2459
3.52976e-008,0.2316
3.53400e-008,0.2221
3.53824e-008,0.2225
3.54249e-008,0.2144
3.54673e-008,0.2114
3.55097e-008,0.2099
3.55522e-008,0.2106
3.55946e-008,0.2131
3.56370e-008,0.2103
3.56794e-008,0.2162
3.57219e-008,0.2123
3.57643e-008,0.1928
3.58067e-008,0.1916
3.58491e-008,0.2463
3.58915e-008,0.4120
3.59340e-008,0.5773
3.59764e-008,0.7633
3.60188e-008,0.9146
3.60613e-008,1.0290
3.61037e-008,1.1156
3.61461e-008,1.1743
3.61885e-008,1.2177
3.62310e-008,1.2336
3.62734e-008,1.2459
3.63158e-008,1.2482
3.63582e-008,1.2588
3.64006e-008,1.2644
3.64431e-008,1.2663
3.64855e-008,1.2684
3.65279e-008,1.2650
3.65703e-008,1.2645
3.66128e-008,1.2604
3.66552e-008,1.2668
3.66976e-008,1.2825
3.67401e-008,1.2862
3.67825e-008,1.2825
3.68249e-008,1.2751
3.68673e-008,1.2664
3.69097e-008,1.2596
3.69522e-008,1.2559
3.69946e-008,1.2540
3.70370e-008,1.2518
3.70794e-008,1.2522
3.71219e-008,1.2528
3.71643e-008,1.2566
3.72067e-008,1.2585
3.72492e-008,1.2580
3.72916e-008,1.2576
3.73340e-008,1.2566
3.73764e-008,1.2578
3.74189e-008,1.2572
3.74613e-008,1.2586
3.75037e-008,1.2608
3.75461e-008,1.2601
3.75885e-008,1.2577
3.76310e-008,1.2566
3.76734e-008,1.2558
3.77158e-008,1.2179
3.77583e-008,1.0510
3.78007e-008,0.8781
3.78431e-008,0.7260
3.78855e-008,0.5640
3.79280e-008,0.4382
3.79704e-008,0.3521
3.80128e-008,0.2965
3.80552e-008,0.2535
3.80976e-008,0.2342
3.81401e-008,0.2235
3.81825e-008,0.2223
3.82249e-008,0.2177
3.82673e-008,0.2113
3.83098e-008,0.2112
3.83522e-008,0.2094
3.83946e-008,0.2127
3.84371e-008,0.2101
3.84795e-008,0.2140
3.85219e-008,0.2161
3.85643e-008,0.1984
3.86067e-008,0.1892
3.86492e-008,0.2177
3.86916e-008,0.3573
3.87340e-008,0.5299
3.87764e-008,0.7068
3.88189e-008,0.8774
3.88613e-008,0.9966
3.89037e-008,1.0942
3.89462e-008,1.1582
3.89886e-008,1.2083
3.90310e-008,1.2304
3.90734e-008,1.2426
3.91159e-008,1.2481
3.91583e-008,1.2543
3.92007e-008,1.2644
3.92431e-008,1.2648
3.92855e-008,1.2690
3.93280e-008,1.2657
3.93704e-008,1.2649
3.94128e-008,1.2613
3.94553e-008,1.2630
3.94977e-008,1.2784
3.95401e-008,1.2865
3.95825e-008,1.2839
3.96250e-008,1.2778
3.96674e-008,1.2687
3.97098e-008,1.2614
3.97522e-008,1.2566
3.97946e-008,1.2548
3.98371e-008,1.2523
3.98795e-008,1.2519
3.99219e-008,1.2524
3.99644e-008,1.2552
4.00068e-008,1.2585
4.00492e-008,1.2580
4.00916e-008,1.2580
4.01341e-008,1.2566
4.01765e-008,1.2575
4.02189e-008,1.2575
4.02613e-008,1.2579
4.03037e-008,1.2604
4.03462e-008,1.2606
4.03886e-008,1.2584
4.04310e-008,1.2567
4.04734e-008,1.2567
4.05159e-008,1.2398
4.05583e-008,1.1106
4.06007e-008,0.9210
4.06432e-008,0.7747
4.06856e-008,0.6077
4.07280e-008,0.4716
4.07704e-008,0.3728
4.08128e-008,0.3116
4.08553e-008,0.2639
4.08977e-008,0.2380
4.09401e-008,0.2263
4.09825e-008,0.2216
4.10250e-008,0.2207
