.HEADER
..NAMES
Time,V U3.M3
.DATA
3.15505e-008,1.2229
3.15964e-008,1.2229
3.16423e-008,1.2228
3.16882e-008,1.2227
3.17342e-008,1.2226
3.17801e-008,1.2225
3.18260e-008,1.2226
3.18719e-008,1.2227
3.19179e-008,1.2229
3.19638e-008,1.2229
3.20097e-008,1.2230
3.20556e-008,1.2229
3.21016e-008,1.2228
3.21475e-008,1.2227
3.21934e-008,1.2227
3.22393e-008,1.2227
3.22853e-008,1.2228
3.23312e-008,1.2229
3.23771e-008,1.2230
3.24230e-008,1.2230
3.24690e-008,1.2230
3.25149e-008,1.2229
3.25608e-008,1.2229
3.26067e-008,1.2228
3.26527e-008,1.2228
3.26986e-008,1.2229
3.27445e-008,1.2201
3.27904e-008,1.1942
3.28364e-008,1.1329
3.28823e-008,1.0558
3.29282e-008,0.9430
3.29741e-008,0.7915
3.30201e-008,0.6326
3.30660e-008,0.4903
3.31119e-008,0.3701
3.31578e-008,0.2837
3.32038e-008,0.2396
3.32497e-008,0.2314
3.32956e-008,0.2449
3.33415e-008,0.2641
3.33875e-008,0.2788
3.34334e-008,0.2846
3.34793e-008,0.2808
3.35253e-008,0.2686
3.35712e-008,0.2552
3.36171e-008,0.2479
3.36630e-008,0.2468
3.37090e-008,0.2513
3.37549e-008,0.2576
3.38008e-008,0.2614
3.38467e-008,0.2619
3.38927e-008,0.2580
3.39386e-008,0.2511
3.39845e-008,0.2439
3.40304e-008,0.2397
3.40764e-008,0.2401
3.41223e-008,0.2440
3.41682e-008,0.2494
3.42141e-008,0.2544
3.42601e-008,0.2574
3.43060e-008,0.2583
3.43519e-008,0.2580
3.43978e-008,0.2573
3.44438e-008,0.2582
3.44897e-008,0.2603
3.45356e-008,0.2622
3.45815e-008,0.2632
3.46275e-008,0.2658
3.46734e-008,0.2940
3.47193e-008,0.3598
3.47652e-008,0.4447
3.48112e-008,0.5764
3.48571e-008,0.7463
3.49030e-008,0.9134
3.49489e-008,1.0591
3.49949e-008,1.1752
3.50408e-008,1.2412
3.50867e-008,1.2587
3.51326e-008,1.2437
3.51786e-008,1.2144
3.52245e-008,1.1884
3.52704e-008,1.1764
3.53163e-008,1.1797
3.53622e-008,1.1947
3.54082e-008,1.2154
