.HEADER
..NAMES
Time,V U2.H3
.DATA
2.57096e-008,0.4425
2.57520e-008,0.3506
2.57944e-008,0.2935
2.58368e-008,0.2584
2.58793e-008,0.2356
2.59217e-008,0.2192
2.59641e-008,0.2145
2.60065e-008,0.2157
2.60489e-008,0.2147
2.60914e-008,0.2150
2.61338e-008,0.2165
2.61762e-008,0.2133
2.62187e-008,0.2067
2.62611e-008,0.1994
2.63035e-008,0.1895
2.63459e-008,0.1848
2.63883e-008,0.1928
2.64308e-008,0.2271
2.64732e-008,0.3452
2.65156e-008,0.5160
2.65580e-008,0.6897
2.66005e-008,0.8529
2.66429e-008,0.9853
2.66853e-008,1.0818
2.67278e-008,1.1517
2.67702e-008,1.1972
2.68126e-008,1.2241
2.68550e-008,1.2428
2.68974e-008,1.2525
2.69399e-008,1.2565
2.69823e-008,1.2583
2.70247e-008,1.2589
2.70672e-008,1.2599
2.71096e-008,1.2646
2.71520e-008,1.2719
2.71944e-008,1.2787
2.72368e-008,1.2865
2.72793e-008,1.2909
2.73217e-008,1.2834
2.73641e-008,1.2374
2.74065e-008,1.0864
2.74490e-008,0.8864
2.74914e-008,0.7207
2.75338e-008,0.5702
2.75763e-008,0.4352
2.76187e-008,0.3427
2.76611e-008,0.2870
2.77035e-008,0.2542
2.77459e-008,0.2341
2.77884e-008,0.2181
2.78308e-008,0.2133
2.78732e-008,0.2161
2.79157e-008,0.2164
2.79581e-008,0.2154
2.80005e-008,0.2157
2.80429e-008,0.2120
2.80854e-008,0.2039
2.81278e-008,0.1964
2.81702e-008,0.1875
2.82126e-008,0.1831
2.82550e-008,0.1918
2.82975e-008,0.2039
2.83399e-008,0.2113
2.83823e-008,0.2177
2.84248e-008,0.2234
2.84672e-008,0.2264
2.85096e-008,0.2267
2.85520e-008,0.2246
2.85944e-008,0.2237
2.86369e-008,0.2245
2.86793e-008,0.2237
2.87217e-008,0.2217
2.87642e-008,0.2209
2.88066e-008,0.2205
2.88490e-008,0.2199
2.88914e-008,0.2203
2.89339e-008,0.2212
2.89763e-008,0.2223
2.90187e-008,0.2236
2.90611e-008,0.2240
2.91035e-008,0.2227
2.91460e-008,0.2214
2.91884e-008,0.2209
2.92308e-008,0.2205
2.92733e-008,0.2203
2.93157e-008,0.2202
2.93581e-008,0.2203
2.94005e-008,0.2207
2.94429e-008,0.2208
2.94854e-008,0.2204
2.95278e-008,0.2205
2.95702e-008,0.2208
2.96127e-008,0.2209
2.96551e-008,0.2209
2.96975e-008,0.2209
2.97399e-008,0.2208
2.97824e-008,0.2207
2.98248e-008,0.2205
2.98672e-008,0.2203
2.99096e-008,0.2203
2.99521e-008,0.2205
2.99945e-008,0.2206
3.00369e-008,0.2206
3.00793e-008,0.2206
3.01218e-008,0.2206
3.01642e-008,0.2267
3.02066e-008,0.2872
3.02490e-008,0.4215
3.02914e-008,0.5827
3.03339e-008,0.7538
3.03763e-008,0.9062
3.04187e-008,1.0228
3.04612e-008,1.1094
3.05036e-008,1.1691
3.05460e-008,1.2063
3.05884e-008,1.2314
3.06309e-008,1.2462
3.06733e-008,1.2538
3.07157e-008,1.2579
3.07581e-008,1.2592
3.08005e-008,1.2587
3.08430e-008,1.2603
3.08854e-008,1.2651
3.09278e-008,1.2708
3.09702e-008,1.2788
3.10127e-008,1.2870
3.10551e-008,1.2878
3.10975e-008,1.2814
3.11400e-008,1.2726
3.11824e-008,1.2637
3.12248e-008,1.2572
3.12672e-008,1.2537
3.13096e-008,1.2520
3.13521e-008,1.2524
3.13945e-008,1.2536
3.14369e-008,1.2543
