.HEADER
..NAMES
Time,V U3.K1
.DATA
3.65563e-008,1.2114
3.66022e-008,1.1648
3.66481e-008,1.0941
3.66941e-008,1.0061
3.67400e-008,0.8756
3.67859e-008,0.7157
3.68318e-008,0.5643
3.68778e-008,0.4376
3.69237e-008,0.3382
3.69696e-008,0.2741
3.70155e-008,0.2523
3.70615e-008,0.2646
3.71074e-008,0.2912
3.71533e-008,0.3154
3.71992e-008,0.3290
3.72452e-008,0.3315
3.72911e-008,0.3234
3.73370e-008,0.3067
3.73830e-008,0.2878
3.74289e-008,0.2749
3.74748e-008,0.2685
3.75207e-008,0.2674
3.75667e-008,0.2695
3.76126e-008,0.2709
3.76585e-008,0.2690
3.77044e-008,0.2646
3.77504e-008,0.2574
3.77963e-008,0.2483
3.78422e-008,0.2408
3.78881e-008,0.2383
3.79341e-008,0.2411
3.79800e-008,0.2466
3.80259e-008,0.2533
3.80718e-008,0.2604
3.81178e-008,0.2642
3.81637e-008,0.2641
3.82096e-008,0.2622
3.82555e-008,0.2593
3.83015e-008,0.2574
3.83474e-008,0.2583
3.83933e-008,0.2613
3.84392e-008,0.2642
3.84852e-008,0.2654
3.85311e-008,0.2644
3.85770e-008,0.2615
3.86229e-008,0.2572
3.86689e-008,0.2526
3.87148e-008,0.2497
3.87607e-008,0.2497
3.88066e-008,0.2523
3.88526e-008,0.2558
3.88985e-008,0.2590
3.89444e-008,0.2613
3.89903e-008,0.2621
3.90363e-008,0.2610
3.90822e-008,0.2588
3.91281e-008,0.2564
3.91740e-008,0.2544
3.92199e-008,0.2535
3.92659e-008,0.2538
3.93118e-008,0.2550
3.93577e-008,0.2568
3.94036e-008,0.2583
3.94496e-008,0.2590
3.94955e-008,0.2583
3.95414e-008,0.2567
3.95873e-008,0.2549
3.96333e-008,0.2536
3.96792e-008,0.2530
3.97251e-008,0.2535
3.97710e-008,0.2548
3.98170e-008,0.2563
3.98629e-008,0.2574
3.99088e-008,0.2575
3.99547e-008,0.2567
4.00007e-008,0.2554
4.00466e-008,0.2543
4.00925e-008,0.2537
4.01384e-008,0.2538
4.01844e-008,0.2544
4.02303e-008,0.2552
4.02762e-008,0.2558
4.03221e-008,0.2559
4.03681e-008,0.2556
4.04140e-008,0.2551
4.04599e-008,0.2545
4.05058e-008,0.2541
4.05518e-008,0.2539
4.05977e-008,0.2539
4.06436e-008,0.2542
4.06895e-008,0.2546
4.07355e-008,0.2550
4.07814e-008,0.2551
4.08273e-008,0.2551
4.08732e-008,0.2548
4.09192e-008,0.2543
4.09651e-008,0.2539
4.10110e-008,0.2536
4.10569e-008,0.2536
4.11029e-008,0.2538
4.11488e-008,0.2542
4.11947e-008,0.2546
4.12407e-008,0.2547
4.12866e-008,0.2546
4.13325e-008,0.2542
4.13784e-008,0.2538
4.14244e-008,0.2535
4.14703e-008,0.2534
4.15162e-008,0.2536
4.15621e-008,0.2539
4.16081e-008,0.2541
4.16540e-008,0.2542
4.16999e-008,0.2542
4.17458e-008,0.2540
4.17918e-008,0.2537
4.18377e-008,0.2535
4.18836e-008,0.2535
4.19295e-008,0.2535
4.19755e-008,0.2536
4.20214e-008,0.2537
4.20673e-008,0.2537
4.21132e-008,0.2538
4.21592e-008,0.2561
4.22051e-008,0.2822
4.22510e-008,0.3501
4.22969e-008,0.4355
4.23429e-008,0.5556
4.23888e-008,0.7193
4.24347e-008,0.8859
4.24806e-008,1.0279
4.25266e-008,1.1410
4.25725e-008,1.2115
4.26184e-008,1.2352
4.26643e-008,1.2209
4.27103e-008,1.1885
4.27562e-008,1.1576
4.28021e-008,1.1401
4.28480e-008,1.1388
4.28940e-008,1.1509
4.29399e-008,1.1716
4.29858e-008,1.1941
4.30317e-008,1.2098
4.30777e-008,1.2161
4.31236e-008,1.2164
4.31695e-008,1.2123
4.32154e-008,1.2077
4.32613e-008,1.2074
4.33073e-008,1.2116
4.33532e-008,1.2187
4.33991e-008,1.2283
4.34450e-008,1.2369
4.34910e-008,1.2406
4.35369e-008,1.2382
4.35828e-008,1.2309
4.36287e-008,1.2222
4.36747e-008,1.2139
4.37206e-008,1.2086
4.37665e-008,1.2092
4.38124e-008,1.2129
4.38584e-008,1.2171
4.39043e-008,1.2207
4.39502e-008,1.2208
4.39961e-008,1.2170
4.40421e-008,1.2079
4.40880e-008,1.1739
4.41339e-008,1.1113
4.41798e-008,1.0364
4.42258e-008,0.9268
4.42717e-008,0.7784
4.43176e-008,0.6230
4.43635e-008,0.4848
4.44095e-008,0.3689
4.44554e-008,0.2850
4.45013e-008,0.2444
4.45472e-008,0.2451
4.45932e-008,0.2694
4.46391e-008,0.2988
4.46850e-008,0.3206
4.47309e-008,0.3305
4.47769e-008,0.3279
4.48228e-008,0.3139
4.48687e-008,0.2936
4.49146e-008,0.2763
4.49606e-008,0.2657
4.50065e-008,0.2610
4.50524e-008,0.2614
4.50983e-008,0.2642
4.51443e-008,0.2657
4.51902e-008,0.2646
