.HEADER
..NAMES
Time,V U3.N2
.DATA
3.51326e-008,1.2184
3.51786e-008,1.1931
3.52245e-008,1.1720
3.52704e-008,1.1672
3.53163e-008,1.1761
3.53622e-008,1.1969
3.54082e-008,1.2202
3.54541e-008,1.2350
3.55000e-008,1.2407
3.55459e-008,1.2369
3.55919e-008,1.2288
3.56378e-008,1.2235
3.56837e-008,1.2227
3.57296e-008,1.2270
3.57756e-008,1.2368
3.58215e-008,1.2471
3.58674e-008,1.2537
3.59133e-008,1.2543
3.59593e-008,1.2496
3.60052e-008,1.2404
3.60511e-008,1.2309
3.60970e-008,1.2245
3.61430e-008,1.2208
3.61889e-008,1.2200
3.62348e-008,1.2210
3.62807e-008,1.2212
3.63267e-008,1.2190
3.63726e-008,1.2157
3.64185e-008,1.2130
3.64644e-008,1.2116
3.65104e-008,1.2019
3.65563e-008,1.1584
3.66022e-008,1.0931
3.66481e-008,1.0061
3.66941e-008,0.8751
3.67400e-008,0.7208
3.67859e-008,0.5733
3.68318e-008,0.4427
3.68778e-008,0.3376
3.69237e-008,0.2740
3.69696e-008,0.2516
3.70155e-008,0.2573
3.70615e-008,0.2764
3.71074e-008,0.2932
3.71533e-008,0.2989
3.71992e-008,0.2938
3.72452e-008,0.2775
3.72911e-008,0.2582
3.73370e-008,0.2433
3.73830e-008,0.2363
3.74289e-008,0.2383
3.74748e-008,0.2447
3.75207e-008,0.2498
3.75667e-008,0.2511
3.76126e-008,0.2467
3.76585e-008,0.2369
3.77044e-008,0.2263
3.77504e-008,0.2193
3.77963e-008,0.2180
3.78422e-008,0.2218
3.78881e-008,0.2296
3.79341e-008,0.2379
3.79800e-008,0.2446
3.80259e-008,0.2493
3.80718e-008,0.2511
3.81178e-008,0.2509
3.81637e-008,0.2513
3.82096e-008,0.2537
3.82555e-008,0.2573
3.83015e-008,0.2605
3.83474e-008,0.2624
3.83933e-008,0.2615
3.84392e-008,0.2576
3.84852e-008,0.2522
3.85311e-008,0.2472
3.85770e-008,0.2446
3.86229e-008,0.2451
3.86689e-008,0.2482
3.87148e-008,0.2527
3.87607e-008,0.2568
3.88066e-008,0.2590
3.88526e-008,0.2586
3.88985e-008,0.2560
3.89444e-008,0.2525
3.89903e-008,0.2498
3.90363e-008,0.2488
3.90822e-008,0.2497
3.91281e-008,0.2521
3.91740e-008,0.2548
3.92199e-008,0.2565
3.92659e-008,0.2565
3.93118e-008,0.2548
3.93577e-008,0.2522
3.94036e-008,0.2499
3.94496e-008,0.2485
3.94955e-008,0.2486
3.95414e-008,0.2498
3.95873e-008,0.2517
3.96333e-008,0.2532
3.96792e-008,0.2538
3.97251e-008,0.2533
3.97710e-008,0.2520
3.98170e-008,0.2507
3.98629e-008,0.2498
3.99088e-008,0.2498
3.99547e-008,0.2505
4.00007e-008,0.2516
4.00466e-008,0.2524
4.00925e-008,0.2526
4.01384e-008,0.2522
4.01844e-008,0.2513
4.02303e-008,0.2516
4.02762e-008,0.2718
4.03221e-008,0.3371
4.03681e-008,0.4204
4.04140e-008,0.5379
4.04599e-008,0.6954
4.05058e-008,0.8539
4.05518e-008,0.9903
4.05977e-008,1.1065
4.06436e-008,1.1846
4.06895e-008,1.2178
4.07355e-008,1.2184
4.07814e-008,1.2012
4.08273e-008,1.1794
4.08732e-008,1.1689
4.09192e-008,1.1720
4.09651e-008,1.1855
4.10110e-008,1.2068
4.10569e-008,1.2234
4.11029e-008,1.2326
4.11488e-008,1.2338
4.11947e-008,1.2289
4.12407e-008,1.2241
4.12866e-008,1.2233
4.13325e-008,1.2256
4.13784e-008,1.2327
4.14244e-008,1.2419
4.14703e-008,1.2490
4.15162e-008,1.2513
4.15621e-008,1.2489
4.16081e-008,1.2423
4.16540e-008,1.2337
4.16999e-008,1.2270
4.17458e-008,1.2225
4.17918e-008,1.2199
4.18377e-008,1.2194
4.18836e-008,1.2194
4.19295e-008,1.2177
4.19755e-008,1.2147
4.20214e-008,1.2121
4.20673e-008,1.2112
4.21132e-008,1.2090
4.21592e-008,1.1841
4.22051e-008,1.1252
4.22510e-008,1.0522
4.22969e-008,0.9416
4.23429e-008,0.7943
4.23888e-008,0.6407
4.24347e-008,0.5027
4.24806e-008,0.3838
4.25266e-008,0.2996
4.25725e-008,0.2584
4.26184e-008,0.2520
4.26643e-008,0.2657
4.27103e-008,0.2847
4.27562e-008,0.2953
4.28021e-008,0.2955
4.28480e-008,0.2847
4.28940e-008,0.2661
4.29399e-008,0.2493
4.29858e-008,0.2384
4.30317e-008,0.2363
4.30777e-008,0.2409
4.31236e-008,0.2468
4.31695e-008,0.2496
4.32154e-008,0.2481
4.32613e-008,0.2406
4.33073e-008,0.2303
4.33532e-008,0.2214
4.33991e-008,0.2177
4.34450e-008,0.2191
4.34910e-008,0.2251
4.35369e-008,0.2333
4.35828e-008,0.2405
4.36287e-008,0.2461
4.36747e-008,0.2494
4.37206e-008,0.2502
4.37665e-008,0.2503
4.38124e-008,0.2519
4.38584e-008,0.2552
4.39043e-008,0.2586
4.39502e-008,0.2610
4.39961e-008,0.2614
4.40421e-008,0.2587
4.40880e-008,0.2539
4.41339e-008,0.2486
4.41798e-008,0.2448
4.42258e-008,0.2440
4.42717e-008,0.2460
4.43176e-008,0.2500
4.43635e-008,0.2544
4.44095e-008,0.2574
4.44554e-008,0.2582
4.45013e-008,0.2566
4.45472e-008,0.2534
4.45932e-008,0.2503
4.46391e-008,0.2485
4.46850e-008,0.2486
4.47309e-008,0.2504
4.47769e-008,0.2530
4.48228e-008,0.2552
4.48687e-008,0.2560
4.49146e-008,0.2550
4.49606e-008,0.2528
4.50065e-008,0.2503
4.50524e-008,0.2485
4.50983e-008,0.2479
4.51443e-008,0.2487
4.51902e-008,0.2503
4.52361e-008,0.2520
4.52821e-008,0.2530
4.53280e-008,0.2530
4.53739e-008,0.2520
4.54198e-008,0.2507
4.54658e-008,0.2496
4.55117e-008,0.2493
4.55576e-008,0.2497
4.56035e-008,0.2506
4.56495e-008,0.2515
4.56954e-008,0.2520
4.57413e-008,0.2519
4.57872e-008,0.2512
4.58332e-008,0.2504
4.58791e-008,0.2565
4.59250e-008,0.3006
4.59709e-008,0.3783
4.60169e-008,0.4743
4.60628e-008,0.6164
4.61087e-008,0.7793
4.61546e-008,0.9267
4.62006e-008,1.0535
4.62465e-008,1.1525
4.62924e-008,1.2066
4.63383e-008,1.2208
4.63843e-008,1.2107
4.64302e-008,1.1890
4.64761e-008,1.1715
4.65220e-008,1.1687
4.65680e-008,1.1772
4.66139e-008,1.1959
4.66598e-008,1.2160
4.67057e-008,1.2286
4.67517e-008,1.2339
4.67976e-008,1.2313
4.68435e-008,1.2256
4.68894e-008,1.2229
4.69354e-008,1.2236
4.69813e-008,1.2282
4.70272e-008,1.2371
4.70731e-008,1.2457
4.71190e-008,1.2505
4.71650e-008,1.2502
4.72109e-008,1.2456
4.72568e-008,1.2375
4.73027e-008,1.2295
4.73487e-008,1.2240
4.73946e-008,1.2205
4.74405e-008,1.2191
4.74864e-008,1.2192
4.75324e-008,1.2184
4.75783e-008,1.2159
4.76242e-008,1.2128
4.76701e-008,1.2111
4.77161e-008,1.2111
4.77620e-008,1.2138
4.78079e-008,1.2192
4.78538e-008,1.2249
4.78998e-008,1.2292
4.79457e-008,1.2303
4.79916e-008,1.2280
4.80375e-008,1.2238
4.80835e-008,1.2192
4.81294e-008,1.2161
4.81753e-008,1.2154
4.82212e-008,1.2171
4.82672e-008,1.2203
4.83131e-008,1.2236
4.83590e-008,1.2257
4.84049e-008,1.2259
4.84509e-008,1.2244
4.84968e-008,1.2219
4.85427e-008,1.2195
4.85886e-008,1.2184
4.86346e-008,1.2192
4.86805e-008,1.2214
4.87264e-008,1.2242
4.87723e-008,1.2262
4.88183e-008,1.2268
4.88642e-008,1.2259
4.89101e-008,1.2240
4.89560e-008,1.2222
4.90020e-008,1.2212
4.90479e-008,1.2213
4.90938e-008,1.2223
