.HEADER
..NAMES
Time,V U3.N8
.DATA
3.81178e-008,1.2212
3.81637e-008,1.2223
3.82096e-008,1.2244
3.82555e-008,1.2249
3.83015e-008,1.2237
3.83474e-008,1.2207
3.83933e-008,1.2123
3.84392e-008,1.1786
3.84852e-008,1.1158
3.85311e-008,1.0465
3.85770e-008,0.9455
3.86229e-008,0.8056
3.86689e-008,0.6598
3.87148e-008,0.5263
3.87607e-008,0.4098
3.88066e-008,0.3183
3.88526e-008,0.2605
3.88985e-008,0.2383
3.89444e-008,0.2430
3.89903e-008,0.2601
3.90363e-008,0.2766
3.90822e-008,0.2870
3.91281e-008,0.2881
3.91740e-008,0.2796
3.92199e-008,0.2664
3.92659e-008,0.2558
3.93118e-008,0.2485
3.93577e-008,0.2476
3.94036e-008,0.2545
3.94496e-008,0.2630
3.94955e-008,0.2689
3.95414e-008,0.2714
3.95873e-008,0.2671
3.96333e-008,0.2584
3.96792e-008,0.2490
3.97251e-008,0.2413
3.97710e-008,0.2378
3.98170e-008,0.2383
3.98629e-008,0.2417
3.99088e-008,0.2466
3.99547e-008,0.2509
4.00007e-008,0.2539
4.00466e-008,0.2541
4.00925e-008,0.2529
4.01384e-008,0.2522
4.01844e-008,0.2530
4.02303e-008,0.2554
4.02762e-008,0.2640
4.03221e-008,0.3041
4.03681e-008,0.3768
4.04140e-008,0.4592
4.04599e-008,0.5825
4.05058e-008,0.7385
4.05518e-008,0.8857
4.05977e-008,1.0195
4.06436e-008,1.1300
4.06895e-008,1.2019
4.07355e-008,1.2359
4.07814e-008,1.2384
4.08273e-008,1.2215
4.08732e-008,1.2008
4.09192e-008,1.1867
4.09651e-008,1.1819
4.10110e-008,1.1884
4.10569e-008,1.2035
4.11029e-008,1.2189
4.11488e-008,1.2274
4.11947e-008,1.2307
4.12407e-008,1.2266
4.12866e-008,1.2164
4.13325e-008,1.2088
4.13784e-008,1.2056
4.14244e-008,1.2064
4.14703e-008,1.2145
4.15162e-008,1.2249
4.15621e-008,1.2337
4.16081e-008,1.2394
4.16540e-008,1.2392
4.16999e-008,1.2350
4.17458e-008,1.2294
4.17918e-008,1.2243
4.18377e-008,1.2217
4.18836e-008,1.2212
4.19295e-008,1.2227
4.19755e-008,1.2241
4.20214e-008,1.2238
4.20673e-008,1.2219
4.21132e-008,1.2184
4.21592e-008,1.2147
4.22051e-008,1.2128
4.22510e-008,1.2128
4.22969e-008,1.2151
4.23429e-008,1.2194
4.23888e-008,1.2238
4.24347e-008,1.2270
4.24806e-008,1.2282
4.25266e-008,1.2267
4.25725e-008,1.2236
4.26184e-008,1.2200
4.26643e-008,1.2173
4.27103e-008,1.2165
4.27562e-008,1.2177
4.28021e-008,1.2205
4.28480e-008,1.2237
4.28940e-008,1.2258
4.29399e-008,1.2264
4.29858e-008,1.2251
4.30317e-008,1.2227
4.30777e-008,1.2203
4.31236e-008,1.2187
4.31695e-008,1.2186
4.32154e-008,1.2199
4.32613e-008,1.2219
4.33073e-008,1.2238
4.33532e-008,1.2251
4.33991e-008,1.2252
4.34450e-008,1.2244
4.34910e-008,1.2230
4.35369e-008,1.2217
4.35828e-008,1.2209
4.36287e-008,1.2209
4.36747e-008,1.2217
4.37206e-008,1.2229
4.37665e-008,1.2240
4.38124e-008,1.2246
4.38584e-008,1.2244
4.39043e-008,1.2237
4.39502e-008,1.2227
4.39961e-008,1.2210
4.40421e-008,1.2059
4.40880e-008,1.1549
4.41339e-008,1.0878
4.41798e-008,1.0032
4.42258e-008,0.8740
4.42717e-008,0.7223
4.43176e-008,0.5791
4.43635e-008,0.4527
4.44095e-008,0.3511
4.44554e-008,0.2814
4.45013e-008,0.2479
4.45472e-008,0.2453
4.45932e-008,0.2596
4.46391e-008,0.2762
4.46850e-008,0.2865
4.47309e-008,0.2885
4.47769e-008,0.2814
4.48228e-008,0.2684
4.48687e-008,0.2573
4.49146e-008,0.2512
4.49606e-008,0.2497
4.50065e-008,0.2554
4.50524e-008,0.2645
4.50983e-008,0.2705
4.51443e-008,0.2729
4.51902e-008,0.2697
4.52361e-008,0.2608
4.52821e-008,0.2510
4.53280e-008,0.2428
4.53739e-008,0.2387
4.54198e-008,0.2392
4.54658e-008,0.2426
4.55117e-008,0.2472
4.55576e-008,0.2512
4.56035e-008,0.2536
4.56495e-008,0.2539
4.56954e-008,0.2523
4.57413e-008,0.2513
4.57872e-008,0.2521
4.58332e-008,0.2548
4.58791e-008,0.2589
4.59250e-008,0.2625
4.59709e-008,0.2643
4.60169e-008,0.2644
4.60628e-008,0.2621
4.61087e-008,0.2582
4.61546e-008,0.2540
4.62006e-008,0.2509
4.62465e-008,0.2500
4.62924e-008,0.2513
4.63383e-008,0.2542
4.63843e-008,0.2574
4.64302e-008,0.2596
4.64761e-008,0.2601
4.65220e-008,0.2589
4.65680e-008,0.2564
4.66139e-008,0.2537
4.66598e-008,0.2518
4.67057e-008,0.2514
4.67517e-008,0.2526
4.67976e-008,0.2547
4.68435e-008,0.2568
4.68894e-008,0.2582
4.69354e-008,0.2582
4.69813e-008,0.2571
4.70272e-008,0.2553
4.70731e-008,0.2536
4.71190e-008,0.2525
4.71650e-008,0.2522
4.72109e-008,0.2529
4.72568e-008,0.2541
4.73027e-008,0.2553
4.73487e-008,0.2560
4.73946e-008,0.2558
4.74405e-008,0.2551
4.74864e-008,0.2540
4.75324e-008,0.2531
4.75783e-008,0.2526
4.76242e-008,0.2527
4.76701e-008,0.2533
4.77161e-008,0.2541
4.77620e-008,0.2549
4.78079e-008,0.2551
4.78538e-008,0.2548
4.78998e-008,0.2541
4.79457e-008,0.2533
4.79916e-008,0.2527
4.80375e-008,0.2525
4.80835e-008,0.2527
4.81294e-008,0.2533
4.81753e-008,0.2539
4.82212e-008,0.2542
4.82672e-008,0.2543
4.83131e-008,0.2540
4.83590e-008,0.2534
4.84049e-008,0.2529
4.84509e-008,0.2525
4.84968e-008,0.2525
4.85427e-008,0.2527
4.85886e-008,0.2531
4.86346e-008,0.2535
4.86805e-008,0.2537
4.87264e-008,0.2537
4.87723e-008,0.2534
4.88183e-008,0.2530
4.88642e-008,0.2527
4.89101e-008,0.2524
4.89560e-008,0.2524
4.90020e-008,0.2526
4.90479e-008,0.2529
4.90938e-008,0.2532
