.HEADER
..NAMES
Time,V U2.A2
.DATA
3.52976e-008,1.2589
3.53400e-008,1.2590
3.53824e-008,1.2589
3.54249e-008,1.2590
3.54673e-008,1.2590
3.55097e-008,1.2590
3.55522e-008,1.2590
3.55946e-008,1.2590
3.56370e-008,1.2590
3.56794e-008,1.2590
3.57219e-008,1.2590
3.57643e-008,1.2590
3.58067e-008,1.2591
3.58491e-008,1.2591
3.58915e-008,1.2591
3.59340e-008,1.2591
3.59764e-008,1.2591
3.60188e-008,1.2591
3.60613e-008,1.2591
3.61037e-008,1.2591
3.61461e-008,1.2591
3.61885e-008,1.2591
3.62310e-008,1.2591
3.62734e-008,1.2591
3.63158e-008,1.2592
3.63582e-008,1.2592
3.64006e-008,1.2592
3.64431e-008,1.2592
3.64855e-008,1.2592
3.65279e-008,1.2592
3.65703e-008,1.2592
3.66128e-008,1.2592
3.66552e-008,1.2592
3.66976e-008,1.2592
3.67401e-008,1.2582
3.67825e-008,1.2216
3.68249e-008,1.0469
3.68673e-008,0.8514
3.69097e-008,0.7132
3.69522e-008,0.5500
3.69946e-008,0.4298
3.70370e-008,0.3620
3.70794e-008,0.3080
3.71219e-008,0.2599
3.71643e-008,0.2368
3.72067e-008,0.2211
3.72492e-008,0.2115
3.72916e-008,0.2075
3.73340e-008,0.2060
3.73764e-008,0.2058
3.74189e-008,0.2085
3.74613e-008,0.2058
3.75037e-008,0.2065
3.75461e-008,0.2177
3.75885e-008,0.2276
3.76310e-008,0.2184
3.76734e-008,0.1964
3.77158e-008,0.1972
3.77583e-008,0.2035
3.78007e-008,0.2019
3.78431e-008,0.2123
3.78855e-008,0.2226
3.79280e-008,0.2220
3.79704e-008,0.2221
3.80128e-008,0.2255
3.80552e-008,0.2247
3.80976e-008,0.2241
3.81401e-008,0.2242
3.81825e-008,0.2240
3.82249e-008,0.2243
3.82673e-008,0.2234
3.83098e-008,0.2206
3.83522e-008,0.2224
3.83946e-008,0.2262
3.84371e-008,0.2249
3.84795e-008,0.2196
3.85219e-008,0.2182
3.85643e-008,0.2217
3.86067e-008,0.2219
3.86492e-008,0.2220
3.86916e-008,0.2243
3.87340e-008,0.2232
3.87764e-008,0.2206
3.88189e-008,0.2210
3.88613e-008,0.2215
3.89037e-008,0.2207
3.89462e-008,0.2208
3.89886e-008,0.2211
3.90310e-008,0.2212
3.90734e-008,0.2212
3.91159e-008,0.2204
3.91583e-008,0.2201
3.92007e-008,0.2216
3.92431e-008,0.2219
3.92855e-008,0.2204
3.93280e-008,0.2196
3.93704e-008,0.2205
3.94128e-008,0.2210
3.94553e-008,0.2207
3.94977e-008,0.2210
3.95401e-008,0.2210
3.95825e-008,0.2201
3.96250e-008,0.2199
3.96674e-008,0.2206
3.97098e-008,0.2205
3.97522e-008,0.2202
3.97946e-008,0.2204
3.98371e-008,0.2205
3.98795e-008,0.2204
3.99219e-008,0.2202
3.99644e-008,0.2199
4.00068e-008,0.2202
4.00492e-008,0.2206
4.00916e-008,0.2202
4.01341e-008,0.2198
4.01765e-008,0.2200
4.02189e-008,0.2202
4.02613e-008,0.2201
4.03037e-008,0.2201
4.03462e-008,0.2201
4.03886e-008,0.2199
4.04310e-008,0.2197
4.04734e-008,0.2199
4.05159e-008,0.2241
4.05583e-008,0.3023
4.06007e-008,0.4699
4.06432e-008,0.6261
4.06856e-008,0.8041
4.07280e-008,0.9414
4.07704e-008,1.0357
4.08128e-008,1.1077
4.08553e-008,1.1666
4.08977e-008,1.2066
4.09401e-008,1.2329
4.09825e-008,1.2495
4.10250e-008,1.2580
