.HEADER
..NAMES
Time,V U2.C7&B7
.DATA
3.10551e-008,0.2280
3.10975e-008,0.2154
3.11400e-008,0.2098
3.11824e-008,0.2066
3.12248e-008,0.2062
3.12672e-008,0.2079
3.13096e-008,0.2043
3.13521e-008,0.1975
3.13945e-008,0.1915
3.14369e-008,0.1948
3.14793e-008,0.1962
3.15218e-008,0.1892
3.15642e-008,0.1933
3.16066e-008,0.2371
3.16491e-008,0.3888
3.16915e-008,0.5654
3.17339e-008,0.7305
3.17763e-008,0.8831
3.18188e-008,0.9908
3.18612e-008,1.0697
3.19036e-008,1.1400
3.19460e-008,1.1878
3.19884e-008,1.2193
3.20309e-008,1.2385
3.20733e-008,1.2489
3.21157e-008,1.2563
3.21582e-008,1.2611
3.22006e-008,1.2608
3.22430e-008,1.2646
3.22854e-008,1.2727
3.23279e-008,1.2781
3.23703e-008,1.2750
3.24127e-008,1.2754
3.24551e-008,1.2823
3.24975e-008,1.2757
3.25400e-008,1.2271
3.25824e-008,1.0505
3.26248e-008,0.8352
3.26672e-008,0.6736
3.27097e-008,0.5352
3.27521e-008,0.4246
3.27945e-008,0.3498
3.28370e-008,0.2909
3.28794e-008,0.2537
3.29218e-008,0.2316
3.29642e-008,0.2190
3.30066e-008,0.2122
3.30491e-008,0.2090
3.30915e-008,0.2071
3.31339e-008,0.2083
3.31763e-008,0.2059
3.32188e-008,0.1994
3.32612e-008,0.1926
3.33036e-008,0.1938
3.33461e-008,0.1968
3.33885e-008,0.1900
3.34309e-008,0.1909
3.34733e-008,0.2214
3.35158e-008,0.3524
3.35582e-008,0.5334
3.36006e-008,0.6972
3.36430e-008,0.8565
3.36854e-008,0.9732
3.37279e-008,1.0551
3.37703e-008,1.1281
3.38127e-008,1.1799
3.38552e-008,1.2141
3.38976e-008,1.2351
3.39400e-008,1.2463
3.39824e-008,1.2504
3.40249e-008,1.2553
3.40673e-008,1.2542
3.41097e-008,1.2569
3.41521e-008,1.2663
3.41945e-008,1.2737
3.42370e-008,1.2721
3.42794e-008,1.2709
3.43218e-008,1.2791
3.43643e-008,1.2772
3.44067e-008,1.2447
3.44491e-008,1.0958
3.44915e-008,0.8738
3.45340e-008,0.7050
3.45764e-008,0.5616
3.46188e-008,0.4444
3.46612e-008,0.3641
3.47036e-008,0.3017
3.47461e-008,0.2595
3.47885e-008,0.2349
3.48309e-008,0.2216
