.HEADER
..NAMES
Time,V U2.R2
.DATA
3.13209e-008,0.4357
3.13668e-008,0.4238
3.14127e-008,0.3853
3.14586e-008,0.3367
3.15045e-008,0.2876
3.15505e-008,0.2469
3.15964e-008,0.2279
3.16423e-008,0.2308
3.16882e-008,0.2403
3.17342e-008,0.2547
3.17801e-008,0.2634
3.18260e-008,0.2596
3.18719e-008,0.2480
3.19179e-008,0.2264
3.19638e-008,0.2075
3.20097e-008,0.1995
3.20556e-008,0.2019
3.21016e-008,0.2147
3.21475e-008,0.2331
3.21934e-008,0.2490
3.22393e-008,0.2554
3.22853e-008,0.2503
3.23312e-008,0.2407
3.23771e-008,0.2325
3.24230e-008,0.2285
3.24690e-008,0.2328
3.25149e-008,0.2437
3.25608e-008,0.2554
3.26067e-008,0.2619
3.26527e-008,0.2652
3.26986e-008,0.3109
3.27445e-008,0.4132
3.27904e-008,0.5176
3.28364e-008,0.6787
3.28823e-008,0.8587
3.29282e-008,0.9883
3.29741e-008,1.0790
3.30201e-008,1.1153
3.30660e-008,1.0994
3.31119e-008,1.0638
3.31578e-008,1.0342
3.32038e-008,1.0267
3.32497e-008,1.0558
3.32956e-008,1.1099
3.33415e-008,1.1653
3.33875e-008,1.2143
3.34334e-008,1.2475
3.34793e-008,1.2537
3.35253e-008,1.2415
3.35712e-008,1.2283
3.36171e-008,1.2127
3.36630e-008,1.2079
3.37090e-008,1.2172
3.37549e-008,1.2315
3.38008e-008,1.2540
3.38467e-008,1.2696
3.38927e-008,1.2717
3.39386e-008,1.2647
3.39845e-008,1.2478
3.40304e-008,1.2275
3.40764e-008,1.2138
3.41223e-008,1.2120
3.41682e-008,1.2215
3.42141e-008,1.2335
3.42601e-008,1.2417
3.43060e-008,1.2431
3.43519e-008,1.2342
3.43978e-008,1.2201
3.44438e-008,1.2088
3.44897e-008,1.2062
3.45356e-008,1.2123
3.45815e-008,1.2237
3.46275e-008,1.2364
3.46734e-008,1.2432
3.47193e-008,1.2416
3.47652e-008,1.2338
3.48112e-008,1.2216
3.48571e-008,1.2113
3.49030e-008,1.2064
3.49489e-008,1.2063
3.49949e-008,1.2123
3.50408e-008,1.2214
3.50867e-008,1.2294
3.51326e-008,1.2346
3.51786e-008,1.2350
3.52245e-008,1.2308
3.52704e-008,1.2236
3.53163e-008,1.2161
3.53622e-008,1.2118
3.54082e-008,1.2123
3.54541e-008,1.2174
3.55000e-008,1.2246
3.55459e-008,1.2311
3.55919e-008,1.2341
3.56378e-008,1.2318
3.56837e-008,1.2259
3.57296e-008,1.2196
3.57756e-008,1.2153
3.58215e-008,1.2151
3.58674e-008,1.2188
3.59133e-008,1.2242
3.59593e-008,1.2289
3.60052e-008,1.2306
3.60511e-008,1.2290
3.60970e-008,1.2255
3.61430e-008,1.2217
3.61889e-008,1.2193
3.62348e-008,1.2192
3.62807e-008,1.2211
3.63267e-008,1.2239
3.63726e-008,1.2265
3.64185e-008,1.2279
3.64644e-008,1.2278
3.65104e-008,1.2262
3.65563e-008,1.2239
3.66022e-008,1.2217
3.66481e-008,1.2205
3.66941e-008,1.2207
3.67400e-008,1.2222
3.67859e-008,1.2247
3.68318e-008,1.2269
3.68778e-008,1.2281
3.69237e-008,1.2275
3.69696e-008,1.2255
3.70155e-008,1.2230
3.70615e-008,1.2211
3.71074e-008,1.2207
3.71533e-008,1.2220
3.71992e-008,1.2242
3.72452e-008,1.2264
3.72911e-008,1.2274
3.73370e-008,1.2271
3.73830e-008,1.2255
3.74289e-008,1.2237
3.74748e-008,1.2223
3.75207e-008,1.2220
3.75667e-008,1.2228
3.76126e-008,1.2241
3.76585e-008,1.2254
3.77044e-008,1.2262
3.77504e-008,1.2262
3.77963e-008,1.2255
3.78422e-008,1.2246
3.78881e-008,1.2237
3.79341e-008,1.2232
3.79800e-008,1.2233
3.80259e-008,1.2238
3.80718e-008,1.2246
3.81178e-008,1.2254
3.81637e-008,1.2258
3.82096e-008,1.2258
3.82555e-008,1.2253
3.83015e-008,1.2244
3.83474e-008,1.2236
3.83933e-008,1.2233
3.84392e-008,1.2236
3.84852e-008,1.2244
3.85311e-008,1.2252
3.85770e-008,1.2258
3.86229e-008,1.2258
3.86689e-008,1.2253
3.87148e-008,1.2246
3.87607e-008,1.2239
3.88066e-008,1.2237
3.88526e-008,1.2239
3.88985e-008,1.2245
3.89444e-008,1.2251
3.89903e-008,1.2255
3.90363e-008,1.2255
3.90822e-008,1.2252
3.91281e-008,1.2248
3.91740e-008,1.2244
3.92199e-008,1.2242
3.92659e-008,1.2243
3.93118e-008,1.2245
3.93577e-008,1.2248
3.94036e-008,1.2251
3.94496e-008,1.2253
3.94955e-008,1.2253
3.95414e-008,1.2251
3.95873e-008,1.2248
3.96333e-008,1.2245
3.96792e-008,1.2244
3.97251e-008,1.2244
3.97710e-008,1.2247
3.98170e-008,1.2250
3.98629e-008,1.2253
3.99088e-008,1.2253
3.99547e-008,1.2252
4.00007e-008,1.2249
4.00466e-008,1.2247
4.00925e-008,1.2245
4.01384e-008,1.2245
4.01844e-008,1.2248
4.02303e-008,1.2250
4.02762e-008,1.2252
4.03221e-008,1.2253
4.03681e-008,1.2252
4.04140e-008,1.2250
4.04599e-008,1.2248
4.05058e-008,1.2247
4.05518e-008,1.2247
4.05977e-008,1.2248
4.06436e-008,1.2250
4.06895e-008,1.2251
4.07355e-008,1.2252
4.07814e-008,1.2251
4.08273e-008,1.2251
4.08732e-008,1.2250
4.09192e-008,1.2249
4.09651e-008,1.2248
4.10110e-008,1.2249
4.10569e-008,1.2249
4.11029e-008,1.2250
4.11488e-008,1.2251
4.11947e-008,1.2252
4.12407e-008,1.2252
4.12866e-008,1.2251
