.HEADER
..NAMES
Time,V U2.C3
.DATA
4.26371e-008,0.4016
4.26795e-008,0.3296
4.27220e-008,0.2712
4.27644e-008,0.2416
4.28068e-008,0.2238
4.28493e-008,0.2132
4.28917e-008,0.2078
4.29341e-008,0.2055
4.29765e-008,0.2055
4.30190e-008,0.2076
4.30614e-008,0.2048
4.31038e-008,0.2053
4.31462e-008,0.2101
4.31886e-008,0.2172
4.32311e-008,0.2082
4.32735e-008,0.1922
4.33159e-008,0.1959
4.33584e-008,0.1964
4.34008e-008,0.1976
4.34432e-008,0.2092
4.34856e-008,0.2180
4.35281e-008,0.2202
4.35705e-008,0.2239
4.36129e-008,0.2260
4.36553e-008,0.2249
4.36977e-008,0.2244
4.37402e-008,0.2238
4.37826e-008,0.2238
4.38250e-008,0.2240
4.38675e-008,0.2221
4.39099e-008,0.2214
4.39523e-008,0.2232
4.39947e-008,0.2243
4.40372e-008,0.2213
4.40796e-008,0.2186
4.41220e-008,0.2213
4.41644e-008,0.2221
4.42068e-008,0.2216
4.42493e-008,0.2235
4.42917e-008,0.2234
4.43341e-008,0.2213
4.43765e-008,0.2211
4.44190e-008,0.2212
4.44614e-008,0.2204
4.45038e-008,0.2204
4.45463e-008,0.2206
4.45887e-008,0.2208
4.46311e-008,0.2210
4.46735e-008,0.2204
4.47160e-008,0.2203
4.47584e-008,0.2211
4.48008e-008,0.2212
4.48432e-008,0.2202
4.48856e-008,0.2198
4.49281e-008,0.2208
4.49705e-008,0.2208
4.50129e-008,0.2204
4.50554e-008,0.2208
4.50978e-008,0.2205
4.51402e-008,0.2199
4.51826e-008,0.2201
4.52251e-008,0.2204
4.52675e-008,0.2202
4.53099e-008,0.2202
4.53523e-008,0.2203
