.HEADER
..NAMES
Time,V U2.T8
.DATA
2.20899e-008,1.2299
2.21359e-008,1.2255
2.21818e-008,1.2209
2.22277e-008,1.2183
2.22736e-008,1.2185
2.23196e-008,1.2215
2.23655e-008,1.2257
2.24114e-008,1.2292
2.24573e-008,1.2305
2.25033e-008,1.2292
2.25492e-008,1.2261
2.25951e-008,1.2228
2.26410e-008,1.2209
2.26869e-008,1.2210
2.27329e-008,1.2229
2.27788e-008,1.2256
2.28247e-008,1.2277
2.28706e-008,1.2285
2.29166e-008,1.2278
2.29625e-008,1.2260
2.30084e-008,1.2240
2.30543e-008,1.2227
2.31003e-008,1.2225
2.31462e-008,1.2234
2.31921e-008,1.2250
2.32380e-008,1.2266
2.32840e-008,1.2276
2.33299e-008,1.2277
2.33758e-008,1.2268
2.34217e-008,1.2254
2.34677e-008,1.2240
2.35136e-008,1.2232
2.35595e-008,1.2233
2.36055e-008,1.2243
2.36514e-008,1.2257
2.36973e-008,1.2270
2.37432e-008,1.2275
2.37892e-008,1.2271
2.38351e-008,1.2261
2.38810e-008,1.2248
2.39269e-008,1.2239
2.39729e-008,1.2238
2.40188e-008,1.2245
2.40647e-008,1.2255
2.41106e-008,1.2264
2.41566e-008,1.2269
2.42025e-008,1.2267
2.42484e-008,1.2261
2.42943e-008,1.2254
2.43403e-008,1.2248
2.43862e-008,1.2246
2.44321e-008,1.2248
2.44780e-008,1.2253
2.45239e-008,1.2259
2.45699e-008,1.2263
2.46158e-008,1.2264
2.46617e-008,1.2262
2.47076e-008,1.2258
2.47536e-008,1.2253
2.47995e-008,1.2250
2.48454e-008,1.2250
2.48913e-008,1.2252
2.49373e-008,1.2257
2.49832e-008,1.2261
2.50291e-008,1.2264
2.50750e-008,1.2261
2.51210e-008,1.2211
2.51669e-008,1.1884
2.52128e-008,1.1081
2.52587e-008,1.0016
2.53047e-008,0.8743
2.53506e-008,0.7190
2.53965e-008,0.5633
2.54424e-008,0.4395
2.54884e-008,0.3588
2.55343e-008,0.3185
2.55802e-008,0.3147
2.56262e-008,0.3306
2.56721e-008,0.3488
2.57180e-008,0.3557
2.57639e-008,0.3445
2.58099e-008,0.3193
2.58558e-008,0.2890
2.59017e-008,0.2613
2.59476e-008,0.2421
2.59936e-008,0.2360
2.60395e-008,0.2405
2.60854e-008,0.2496
2.61313e-008,0.2563
2.61773e-008,0.2574
2.62232e-008,0.2530
2.62691e-008,0.2439
2.63150e-008,0.2333
2.63610e-008,0.2264
2.64069e-008,0.2261
2.64528e-008,0.2309
2.64987e-008,0.2386
2.65446e-008,0.2464
2.65906e-008,0.2506
2.66365e-008,0.2499
2.66824e-008,0.2461
2.67283e-008,0.2422
2.67743e-008,0.2407
2.68202e-008,0.2430
2.68661e-008,0.2486
2.69120e-008,0.2553
2.69580e-008,0.2604
2.70039e-008,0.2613
2.70498e-008,0.2577
2.70957e-008,0.2510
2.71417e-008,0.2441
2.71876e-008,0.2396
2.72335e-008,0.2389
2.72794e-008,0.2421
2.73254e-008,0.2477
2.73713e-008,0.2535
2.74172e-008,0.2574
2.74631e-008,0.2584
2.75091e-008,0.2563
2.75550e-008,0.2521
2.76009e-008,0.2476
2.76469e-008,0.2445
2.76928e-008,0.2438
2.77387e-008,0.2457
2.77846e-008,0.2490
2.78306e-008,0.2524
2.78765e-008,0.2544
2.79224e-008,0.2543
2.79683e-008,0.2522
2.80143e-008,0.2492
2.80602e-008,0.2466
2.81061e-008,0.2455
2.81520e-008,0.2462
2.81980e-008,0.2482
2.82439e-008,0.2505
2.82898e-008,0.2520
2.83357e-008,0.2522
2.83817e-008,0.2511
2.84276e-008,0.2493
2.84735e-008,0.2477
2.85194e-008,0.2468
2.85653e-008,0.2471
2.86113e-008,0.2482
2.86572e-008,0.2496
2.87031e-008,0.2508
2.87490e-008,0.2511
2.87950e-008,0.2507
2.88409e-008,0.2496
2.88868e-008,0.2483
2.89327e-008,0.2474
2.89787e-008,0.2471
2.90246e-008,0.2476
2.90705e-008,0.2486
2.91164e-008,0.2497
2.91624e-008,0.2505
2.92083e-008,0.2505
2.92542e-008,0.2499
2.93001e-008,0.2489
2.93461e-008,0.2479
2.93920e-008,0.2474
2.94379e-008,0.2475
2.94839e-008,0.2482
2.95298e-008,0.2490
2.95757e-008,0.2497
2.96216e-008,0.2499
2.96676e-008,0.2496
2.97135e-008,0.2490
2.97594e-008,0.2483
2.98053e-008,0.2479
2.98513e-008,0.2478
2.98972e-008,0.2481
2.99431e-008,0.2486
2.99890e-008,0.2491
3.00350e-008,0.2493
3.00809e-008,0.2493
3.01268e-008,0.2490
3.01727e-008,0.2486
3.02187e-008,0.2482
3.02646e-008,0.2480
3.03105e-008,0.2481
3.03564e-008,0.2483
3.04024e-008,0.2487
3.04483e-008,0.2490
3.04942e-008,0.2491
3.05401e-008,0.2490
3.05861e-008,0.2487
3.06320e-008,0.2483
3.06779e-008,0.2481
3.07238e-008,0.2481
3.07698e-008,0.2482
3.08157e-008,0.2485
3.08616e-008,0.2487
3.09075e-008,0.2489
3.09535e-008,0.2488
3.09994e-008,0.2486
3.10453e-008,0.2484
3.10912e-008,0.2482
3.11372e-008,0.2481
3.11831e-008,0.2482
3.12290e-008,0.2484
3.12749e-008,0.2485
3.13209e-008,0.2486
3.13668e-008,0.2487
3.14127e-008,0.2486
3.14586e-008,0.2484
3.15045e-008,0.2483
3.15505e-008,0.2482
3.15964e-008,0.2482
3.16423e-008,0.2483
3.16882e-008,0.2484
3.17342e-008,0.2485
3.17801e-008,0.2485
3.18260e-008,0.2485
3.18719e-008,0.2484
3.19179e-008,0.2483
3.19638e-008,0.2482
3.20097e-008,0.2482
3.20556e-008,0.2482
3.21016e-008,0.2483
3.21475e-008,0.2484
3.21934e-008,0.2484
3.22393e-008,0.2484
3.22853e-008,0.2484
3.23312e-008,0.2483
