.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
2.28671e-008,1.2752
2.29095e-008,1.2737
2.29519e-008,1.2686
2.29943e-008,1.2643
2.30368e-008,1.2641
2.30792e-008,1.2561
2.31216e-008,1.2152
2.31641e-008,1.0739
2.32065e-008,0.9089
2.32489e-008,0.7419
2.32913e-008,0.5603
2.33338e-008,0.4216
2.33762e-008,0.3321
2.34186e-008,0.2759
2.34610e-008,0.2405
2.35034e-008,0.2278
2.35459e-008,0.2252
2.35883e-008,0.2190
2.36307e-008,0.2071
2.36732e-008,0.1945
2.37156e-008,0.1901
2.37580e-008,0.1942
2.38004e-008,0.1975
2.38428e-008,0.1970
2.38853e-008,0.1993
2.39277e-008,0.2052
2.39701e-008,0.2066
2.40126e-008,0.2131
2.40550e-008,0.2396
2.40974e-008,0.3439
2.41398e-008,0.4779
2.41823e-008,0.6328
2.42247e-008,0.8155
2.42671e-008,0.9555
2.43095e-008,1.0597
2.43519e-008,1.1336
2.43944e-008,1.1834
2.44368e-008,1.2122
2.44792e-008,1.2296
2.45217e-008,1.2426
2.45641e-008,1.2546
2.46065e-008,1.2676
2.46489e-008,1.2747
2.46913e-008,1.2754
2.47338e-008,1.2754
2.47762e-008,1.2741
2.48186e-008,1.2699
2.48611e-008,1.2646
2.49035e-008,1.2645
2.49459e-008,1.2586
2.49883e-008,1.2298
2.50308e-008,1.1079
2.50732e-008,0.9389
2.51156e-008,0.7780
2.51580e-008,0.5934
2.52004e-008,0.4445
2.52429e-008,0.3466
2.52853e-008,0.2852
2.53277e-008,0.2456
2.53702e-008,0.2289
2.54126e-008,0.2257
2.54550e-008,0.2207
2.54974e-008,0.2097
2.55398e-008,0.1967
2.55823e-008,0.1900
2.56247e-008,0.1932
2.56671e-008,0.1972
2.57096e-008,0.1973
2.57520e-008,0.1982
2.57944e-008,0.2045
2.58368e-008,0.2064
2.58793e-008,0.2111
2.59217e-008,0.2303
2.59641e-008,0.3175
2.60065e-008,0.4524
2.60489e-008,0.5976
2.60914e-008,0.7825
2.61338e-008,0.9313
2.61762e-008,1.0417
2.62187e-008,1.1213
2.62611e-008,1.1754
2.63035e-008,1.2078
2.63459e-008,1.2266
2.63883e-008,1.2403
2.64308e-008,1.2521
2.64732e-008,1.2653
2.65156e-008,1.2741
2.65580e-008,1.2753
2.66005e-008,1.2755
2.66429e-008,1.2745
2.66853e-008,1.2712
2.67278e-008,1.2651
2.67702e-008,1.2645
2.68126e-008,1.2606
2.68550e-008,1.2399
2.68974e-008,1.1398
2.69399e-008,0.9695
2.69823e-008,0.8123
2.70247e-008,0.6279
2.70672e-008,0.4694
2.71096e-008,0.3623
2.71520e-008,0.2951
2.71944e-008,0.2516
2.72368e-008,0.2307
2.72793e-008,0.2261
2.73217e-008,0.2222
2.73641e-008,0.2122
2.74065e-008,0.1991
2.74490e-008,0.1904
2.74914e-008,0.1923
2.75338e-008,0.1966
2.75763e-008,0.1976
2.76187e-008,0.1975
2.76611e-008,0.2034
2.77035e-008,0.2062
2.77459e-008,0.2095
2.77884e-008,0.2239
2.78308e-008,0.2931
2.78732e-008,0.4268
2.79157e-008,0.5647
2.79581e-008,0.7475
2.80005e-008,0.9057
2.80429e-008,1.0225
2.80854e-008,1.1081
2.81278e-008,1.1666
2.81702e-008,1.2030
2.82126e-008,1.2235
2.82550e-008,1.2379
2.82975e-008,1.2497
2.83399e-008,1.2628
2.83823e-008,1.2731
2.84248e-008,1.2753
2.84672e-008,1.2756
2.85096e-008,1.2747
2.85520e-008,1.2722
2.85944e-008,1.2661
2.86369e-008,1.2645
2.86793e-008,1.2622
2.87217e-008,1.2472
2.87642e-008,1.1688
2.88066e-008,1.0019
2.88490e-008,0.8448
2.88914e-008,0.6639
2.89339e-008,0.4965
2.89763e-008,0.3796
2.90187e-008,0.3059
2.90611e-008,0.2586
2.91035e-008,0.2330
2.91460e-008,0.2265
2.91884e-008,0.2235
2.92308e-008,0.2146
2.92733e-008,0.2016
2.93157e-008,0.1913
2.93581e-008,0.1914
2.94005e-008,0.1960
2.94429e-008,0.1978
2.94854e-008,0.1970
2.95278e-008,0.2021
2.95702e-008,0.2061
2.96127e-008,0.2082
2.96551e-008,0.2193
2.96975e-008,0.2716
2.97399e-008,0.4006
2.97824e-008,0.5346
2.98248e-008,0.7109
2.98672e-008,0.8785
2.99096e-008,1.0022
2.99521e-008,1.0938
2.99945e-008,1.1568
3.00369e-008,1.1976
3.00793e-008,1.2202
3.01218e-008,1.2354
3.01642e-008,1.2473
3.02066e-008,1.2602
3.02490e-008,1.2717
3.02914e-008,1.2753
3.03339e-008,1.2756
3.03763e-008,1.2750
3.04187e-008,1.2731
3.04612e-008,1.2672
3.05036e-008,1.2643
3.05460e-008,1.2633
3.05884e-008,1.2522
3.06309e-008,1.1935
3.06733e-008,1.0356
3.07157e-008,0.8757
3.07581e-008,0.7008
3.08005e-008,0.5257
3.08430e-008,0.3985
3.08854e-008,0.3177
3.09278e-008,0.2664
3.09702e-008,0.2361
3.10127e-008,0.2270
3.10551e-008,0.2244
3.10975e-008,0.2168
3.11400e-008,0.2042
3.11824e-008,0.1926
3.12248e-008,0.1907
3.12672e-008,0.1952
3.13096e-008,0.1978
3.13521e-008,0.1969
3.13945e-008,0.2008
3.14369e-008,0.2058
3.14793e-008,0.2073
3.15218e-008,0.2160
3.15642e-008,0.2541
3.16066e-008,0.3737
3.16491e-008,0.5067
3.16915e-008,0.6735
3.17339e-008,0.8496
3.17763e-008,0.9808
3.18188e-008,1.0783
3.18612e-008,1.1463
3.19036e-008,1.1913
3.19460e-008,1.2166
3.19884e-008,1.2328
3.20309e-008,1.2451
3.20733e-008,1.2575
3.21157e-008,1.2700
3.21582e-008,1.2752
3.22006e-008,1.2755
3.22430e-008,1.2752
3.22854e-008,1.2737
3.23279e-008,1.2685
3.23703e-008,1.2643
3.24127e-008,1.2641
3.24551e-008,1.2557
3.24975e-008,1.2133
3.25400e-008,1.0700
3.25824e-008,0.9056
3.26248e-008,0.7378
3.26672e-008,0.5568
3.27097e-008,0.4192
3.27521e-008,0.3306
3.27945e-008,0.2750
3.28370e-008,0.2401
3.28794e-008,0.2277
3.29218e-008,0.2252
3.29642e-008,0.2188
3.30066e-008,0.2069
3.30491e-008,0.1944
3.30915e-008,0.1902
3.31339e-008,0.1943
3.31763e-008,0.1977
3.32188e-008,0.1971
3.32612e-008,0.1995
3.33036e-008,0.2054
3.33461e-008,0.2068
3.33885e-008,0.2134
3.34309e-008,0.2407
3.34733e-008,0.3465
3.35158e-008,0.4805
3.35582e-008,0.6366
3.36006e-008,0.8188
3.36430e-008,0.9580
3.36854e-008,1.0616
3.37279e-008,1.1349
3.37703e-008,1.1843
3.38127e-008,1.2127
3.38552e-008,1.2300
3.38976e-008,1.2428
3.39400e-008,1.2549
3.39824e-008,1.2679
3.40249e-008,1.2748
3.40673e-008,1.2755
3.41097e-008,1.2755
3.41521e-008,1.2741
3.41945e-008,1.2699
3.42370e-008,1.2646
3.42794e-008,1.2645
3.43218e-008,1.2584
3.43643e-008,1.2283
3.44067e-008,1.1041
3.44491e-008,0.9354
3.44915e-008,0.7740
3.45340e-008,0.5896
3.45764e-008,0.4418
3.46188e-008,0.3449
3.46612e-008,0.2841
3.47036e-008,0.2450
3.47461e-008,0.2289
3.47885e-008,0.2257
