.HEADER
..NAMES
Time,V U2.C7&B7
.DATA
2.30792e-008,1.0914
2.31216e-008,1.0833
2.31641e-008,1.0014
2.32065e-008,0.6891
2.32489e-008,0.2920
2.32913e-008,-0.0347
2.33338e-008,-0.3300
2.33762e-008,-0.5535
2.34186e-008,-0.7086
2.34610e-008,-0.8390
2.35034e-008,-0.9270
2.35459e-008,-0.9841
2.35883e-008,-1.0178
2.36307e-008,-1.0365
2.36732e-008,-1.0477
2.37156e-008,-1.0551
2.37580e-008,-1.0535
2.38004e-008,-1.0590
2.38428e-008,-1.0741
2.38853e-008,-1.0870
2.39277e-008,-1.0840
2.39701e-008,-1.0788
2.40126e-008,-1.0924
2.40550e-008,-1.0885
2.40974e-008,-1.0215
2.41398e-008,-0.7330
2.41823e-008,-0.3292
2.42247e-008,0.0004
2.42671e-008,0.3009
2.43095e-008,0.5324
2.43519e-008,0.6920
2.43944e-008,0.8259
2.44368e-008,0.9189
2.44792e-008,0.9777
2.45217e-008,1.0123
2.45641e-008,1.0326
2.46065e-008,1.0434
2.46489e-008,1.0521
2.46913e-008,1.0516
2.47338e-008,1.0554
2.47762e-008,1.0700
2.48186e-008,1.0836
2.48611e-008,1.0826
2.49035e-008,1.0760
2.49459e-008,1.0890
2.49883e-008,1.0882
2.50308e-008,1.0324
2.50732e-008,0.7695
2.51156e-008,0.3629
2.51580e-008,0.0296
2.52004e-008,-0.2759
2.52429e-008,-0.5151
2.52853e-008,-0.6798
2.53277e-008,-0.8159
2.53702e-008,-0.9129
2.54126e-008,-0.9746
2.54550e-008,-1.0111
2.54974e-008,-1.0331
2.55398e-008,-1.0442
2.55823e-008,-1.0538
2.56247e-008,-1.0539
2.56671e-008,-1.0565
2.57096e-008,-1.0706
2.57520e-008,-1.0848
2.57944e-008,-1.0858
2.58368e-008,-1.0780
2.58793e-008,-1.0902
2.59217e-008,-1.0921
2.59641e-008,-1.0461
2.60065e-008,-0.8094
2.60489e-008,-0.4016
2.60914e-008,-0.0624
2.61338e-008,0.2466
2.61762e-008,0.4934
2.62187e-008,0.6643
2.62611e-008,0.8022
2.63035e-008,0.9038
2.63459e-008,0.9685
2.63883e-008,1.0064
2.64308e-008,1.0299
2.64732e-008,1.0413
2.65156e-008,1.0512
2.65580e-008,1.0521
2.66005e-008,1.0535
2.66429e-008,1.0669
2.66853e-008,1.0815
2.67278e-008,1.0846
2.67702e-008,1.0757
2.68126e-008,1.0862
2.68550e-008,1.0910
2.68974e-008,1.0526
2.69399e-008,0.8420
2.69823e-008,0.4375
2.70247e-008,0.0923
2.70672e-008,-0.2204
2.71096e-008,-0.4745
2.71520e-008,-0.6515
2.71944e-008,-0.7912
2.72368e-008,-0.8972
2.72793e-008,-0.9648
2.73217e-008,-1.0050
2.73641e-008,-1.0301
2.74065e-008,-1.0420
2.74490e-008,-1.0525
2.74914e-008,-1.0543
2.75338e-008,-1.0548
2.75763e-008,-1.0675
2.76187e-008,-1.0824
2.76611e-008,-1.0873
2.77035e-008,-1.0782
2.77459e-008,-1.0871
2.77884e-008,-1.0942
2.78308e-008,-1.0626
2.78732e-008,-0.8776
2.79157e-008,-0.4786
2.79581e-008,-0.1251
2.80005e-008,0.1899
2.80429e-008,0.4512
2.80854e-008,0.6356
2.81278e-008,0.7768
2.81702e-008,0.8875
2.82126e-008,0.9583
2.82550e-008,1.0003
2.82975e-008,1.0267
2.83399e-008,1.0392
2.83823e-008,1.0498
2.84248e-008,1.0526
2.84672e-008,1.0523
2.85096e-008,1.0639
2.85520e-008,1.0790
2.85944e-008,1.0858
2.86369e-008,1.0765
2.86793e-008,1.0831
2.87217e-008,1.0924
2.87642e-008,1.0667
2.88066e-008,0.9056
2.88490e-008,0.5168
2.88914e-008,0.1555
2.89339e-008,-0.1621
2.89763e-008,-0.4307
2.90187e-008,-0.6220
2.90611e-008,-0.7650
2.91035e-008,-0.8802
2.91460e-008,-0.9539
2.91884e-008,-0.9986
2.92308e-008,-1.0266
2.92733e-008,-1.0416
2.93157e-008,-1.0538
2.93581e-008,-1.0583
2.94005e-008,-1.0579
2.94429e-008,-1.0677
2.94854e-008,-1.0822
2.95278e-008,-1.0909
2.95702e-008,-1.0820
2.96127e-008,-1.0861
2.96551e-008,-1.0965
2.96975e-008,-1.0746
2.97399e-008,-0.9353
2.97824e-008,-0.5590
2.98248e-008,-0.1875
