.HEADER
..NAMES
Time,V U3.D7
.DATA
3.24127e-008,1.2590
3.24551e-008,1.2588
3.24975e-008,1.2581
3.25400e-008,1.2578
3.25824e-008,1.2576
3.26248e-008,1.2575
3.26672e-008,1.2579
3.27097e-008,1.2582
3.27521e-008,1.2581
3.27945e-008,1.2578
3.28370e-008,1.2578
3.28794e-008,1.2581
3.29218e-008,1.2583
3.29642e-008,1.2582
3.30066e-008,1.2580
3.30491e-008,1.2580
3.30915e-008,1.2580
3.31339e-008,1.2582
3.31763e-008,1.2583
3.32188e-008,1.2583
3.32612e-008,1.2584
3.33036e-008,1.2583
3.33461e-008,1.2581
3.33885e-008,1.2581
3.34309e-008,1.2582
3.34733e-008,1.2582
3.35158e-008,1.2584
3.35582e-008,1.2585
3.36006e-008,1.2584
3.36430e-008,1.2583
3.36854e-008,1.2583
3.37279e-008,1.2584
3.37703e-008,1.2585
3.38127e-008,1.2585
3.38552e-008,1.2584
3.38976e-008,1.2584
3.39400e-008,1.2584
3.39824e-008,1.2585
3.40249e-008,1.2585
3.40673e-008,1.2585
3.41097e-008,1.2585
3.41521e-008,1.2585
3.41945e-008,1.2585
3.42370e-008,1.2585
3.42794e-008,1.2586
3.43218e-008,1.2586
3.43643e-008,1.2586
3.44067e-008,1.2586
3.44491e-008,1.2586
3.44915e-008,1.2586
3.45340e-008,1.2586
3.45764e-008,1.2586
3.46188e-008,1.2587
3.46612e-008,1.2587
3.47036e-008,1.2587
3.47461e-008,1.2587
3.47885e-008,1.2587
3.48309e-008,1.2587
3.48733e-008,1.2585
3.49158e-008,1.2476
3.49582e-008,1.1587
3.50006e-008,0.9957
3.50431e-008,0.8457
3.50855e-008,0.6688
3.51279e-008,0.5135
3.51703e-008,0.4054
3.52128e-008,0.3331
3.52552e-008,0.2833
3.52976e-008,0.2593
3.53400e-008,0.2422
3.53824e-008,0.2299
3.54249e-008,0.2232
3.54673e-008,0.2203
3.55097e-008,0.2147
3.55522e-008,0.2124
3.55946e-008,0.2108
3.56370e-008,0.2073
3.56794e-008,0.2034
3.57219e-008,0.2048
3.57643e-008,0.2077
3.58067e-008,0.2052
3.58491e-008,0.1987
3.58915e-008,0.2581
3.59340e-008,0.4026
3.59764e-008,0.5599
3.60188e-008,0.7543
3.60613e-008,0.9181
3.61037e-008,1.0403
3.61461e-008,1.1248
3.61885e-008,1.1799
3.62310e-008,1.2077
3.62734e-008,1.2280
3.63158e-008,1.2430
3.63582e-008,1.2530
3.64006e-008,1.2580
3.64431e-008,1.2641
3.64855e-008,1.2660
3.65279e-008,1.2677
3.65703e-008,1.2711
3.66128e-008,1.2760
3.66552e-008,1.2760
3.66976e-008,1.2722
3.67401e-008,1.2713
3.67825e-008,1.2801
3.68249e-008,1.2852
3.68673e-008,1.2859
3.69097e-008,1.2832
3.69522e-008,1.2738
3.69946e-008,1.2633
3.70370e-008,1.2563
3.70794e-008,1.2513
3.71219e-008,1.2505
3.71643e-008,1.2532
3.72067e-008,1.2554
3.72492e-008,1.2560
3.72916e-008,1.2567
3.73340e-008,1.2567
3.73764e-008,1.2562
3.74189e-008,1.2567
3.74613e-008,1.2579
3.75037e-008,1.2579
3.75461e-008,1.2568
3.75885e-008,1.2561
3.76310e-008,1.2572
3.76734e-008,1.2582
3.77158e-008,1.2580
3.77583e-008,1.2575
3.78007e-008,1.2568
3.78431e-008,1.2562
3.78855e-008,1.2567
3.79280e-008,1.2575
3.79704e-008,1.2582
3.80128e-008,1.2592
3.80552e-008,1.2595
3.80976e-008,1.2590
3.81401e-008,1.2585
3.81825e-008,1.2582
3.82249e-008,1.2580
3.82673e-008,1.2581
3.83098e-008,1.2586
3.83522e-008,1.2587
3.83946e-008,1.2584
3.84371e-008,1.2582
3.84795e-008,1.2583
3.85219e-008,1.2586
3.85643e-008,1.2587
3.86067e-008,1.2585
3.86492e-008,1.2554
3.86916e-008,1.2077
3.87340e-008,1.0590
3.87764e-008,0.9060
3.88189e-008,0.7392
3.88613e-008,0.5691
3.89037e-008,0.4419
3.89462e-008,0.3588
3.89886e-008,0.2990
3.90310e-008,0.2667
3.90734e-008,0.2482
3.91159e-008,0.2342
3.91583e-008,0.2247
3.92007e-008,0.2219
3.92431e-008,0.2166
3.92855e-008,0.2129
3.93280e-008,0.2113
3.93704e-008,0.2091
3.94128e-008,0.2043
3.94553e-008,0.2038
3.94977e-008,0.2065
3.95401e-008,0.2074
3.95825e-008,0.1988
3.96250e-008,0.1923
3.96674e-008,0.1944
3.97098e-008,0.1964
3.97522e-008,0.2022
3.97946e-008,0.2132
3.98371e-008,0.2210
3.98795e-008,0.2258
3.99219e-008,0.2286
3.99644e-008,0.2274
4.00068e-008,0.2254
4.00492e-008,0.2253
4.00916e-008,0.2250
4.01341e-008,0.2242
4.01765e-008,0.2247
4.02189e-008,0.2249
4.02613e-008,0.2238
4.03037e-008,0.2236
4.03462e-008,0.2248
4.03886e-008,0.2254
4.04310e-008,0.2244
4.04734e-008,0.2232
4.05159e-008,0.2238
4.05583e-008,0.2244
4.06007e-008,0.2245
4.06432e-008,0.2250
4.06856e-008,0.2250
4.07280e-008,0.2242
4.07704e-008,0.2236
4.08128e-008,0.2227
4.08553e-008,0.2221
4.08977e-008,0.2224
4.09401e-008,0.2229
4.09825e-008,0.2229
4.10250e-008,0.2230
4.10674e-008,0.2231
4.11098e-008,0.2228
4.11523e-008,0.2226
4.11947e-008,0.2228
4.12371e-008,0.2230
4.12795e-008,0.2228
4.13220e-008,0.2225
4.13644e-008,0.2225
4.14068e-008,0.2226
4.14492e-008,0.2226
4.14916e-008,0.2226
4.15341e-008,0.2226
4.15765e-008,0.2224
4.16189e-008,0.2224
4.16614e-008,0.2223
4.17038e-008,0.2223
4.17462e-008,0.2224
4.17886e-008,0.2225
4.18311e-008,0.2225
4.18735e-008,0.2224
4.19159e-008,0.2223
4.19583e-008,0.2223
4.20007e-008,0.2222
4.20432e-008,0.2222
4.20856e-008,0.2223
4.21280e-008,0.2222
4.21704e-008,0.2221
4.22129e-008,0.2221
4.22553e-008,0.2221
4.22977e-008,0.2221
4.23402e-008,0.2221
4.23826e-008,0.2221
4.24250e-008,0.2221
4.24674e-008,0.2220
4.25098e-008,0.2220
4.25523e-008,0.2220
4.25947e-008,0.2220
4.26371e-008,0.2220
4.26795e-008,0.2220
4.27220e-008,0.2219
4.27644e-008,0.2219
4.28068e-008,0.2219
4.28493e-008,0.2219
4.28917e-008,0.2219
4.29341e-008,0.2219
4.29765e-008,0.2219
4.30190e-008,0.2218
4.30614e-008,0.2218
4.31038e-008,0.2218
4.31462e-008,0.2218
4.31886e-008,0.2218
4.32311e-008,0.2218
4.32735e-008,0.2218
4.33159e-008,0.2218
4.33584e-008,0.2289
4.34008e-008,0.2994
4.34432e-008,0.4279
4.34856e-008,0.5778
4.35281e-008,0.7581
4.35705e-008,0.9070
4.36129e-008,1.0243
4.36553e-008,1.1084
4.36977e-008,1.1647
4.37402e-008,1.1982
4.37826e-008,1.2219
4.38250e-008,1.2375
4.38675e-008,1.2481
4.39099e-008,1.2547
4.39523e-008,1.2601
4.39947e-008,1.2627
4.40372e-008,1.2656
4.40796e-008,1.2688
4.41220e-008,1.2719
4.41644e-008,1.2719
4.42068e-008,1.2699
4.42493e-008,1.2711
4.42917e-008,1.2779
4.43341e-008,1.2811
4.43765e-008,1.2823
4.44190e-008,1.2793
4.44614e-008,1.2708
4.45038e-008,1.2621
4.45463e-008,1.2558
4.45887e-008,1.2514
4.46311e-008,1.2507
4.46735e-008,1.2522
4.47160e-008,1.2537
4.47584e-008,1.2544
4.48008e-008,1.2551
4.48432e-008,1.2551
4.48856e-008,1.2551
4.49281e-008,1.2556
4.49705e-008,1.2564
4.50129e-008,1.2562
4.50554e-008,1.2556
4.50978e-008,1.2553
