.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
2.52874e-008,0.2842
2.53298e-008,0.2775
2.53722e-008,0.2801
2.54146e-008,0.2914
2.54571e-008,0.3125
2.54995e-008,0.3208
2.55419e-008,0.3162
2.55844e-008,0.2973
2.56268e-008,0.2626
2.56692e-008,0.2308
2.57116e-008,0.2226
2.57540e-008,0.3665
2.57965e-008,0.5566
2.58389e-008,0.7648
2.58813e-008,0.9320
2.59238e-008,1.0240
2.59662e-008,1.0816
2.60086e-008,1.0915
2.60510e-008,1.0954
2.60935e-008,1.1183
2.61359e-008,1.1329
2.61783e-008,1.1468
2.62207e-008,1.1753
2.62631e-008,1.1933
2.63056e-008,1.1946
2.63480e-008,1.1818
2.63904e-008,1.1640
2.64329e-008,1.1634
2.64753e-008,1.1646
2.65177e-008,1.1691
2.65601e-008,1.1969
2.66025e-008,1.2294
2.66450e-008,1.2333
2.66874e-008,1.0683
2.67298e-008,0.8338
2.67723e-008,0.6271
2.68147e-008,0.4770
2.68571e-008,0.3956
2.68995e-008,0.3430
2.69420e-008,0.3333
2.69844e-008,0.3510
2.70268e-008,0.3458
2.70692e-008,0.3230
2.71116e-008,0.3069
2.71541e-008,0.2874
2.71965e-008,0.2776
2.72389e-008,0.2795
2.72814e-008,0.2877
2.73238e-008,0.3089
2.73662e-008,0.3204
2.74086e-008,0.3179
2.74510e-008,0.3026
2.74935e-008,0.2696
2.75359e-008,0.2365
2.75783e-008,0.2185
2.76208e-008,0.3310
2.76632e-008,0.5209
2.77056e-008,0.7216
2.77480e-008,0.9051
2.77905e-008,1.0099
2.78329e-008,1.0727
2.78753e-008,1.0932
2.79177e-008,1.0923
2.79601e-008,1.1136
2.80026e-008,1.1312
2.80450e-008,1.1426
2.80874e-008,1.1697
2.81299e-008,1.1916
2.81723e-008,1.1951
2.82147e-008,1.1856
2.82571e-008,1.1663
2.82995e-008,1.1626
2.83420e-008,1.1650
2.83844e-008,1.1664
2.84268e-008,1.1903
2.84693e-008,1.2234
2.85117e-008,1.2398
2.85541e-008,1.1111
2.85965e-008,0.8749
2.86390e-008,0.6669
2.86814e-008,0.5012
2.87238e-008,0.4075
2.87662e-008,0.3528
2.88086e-008,0.3304
2.88511e-008,0.3488
2.88935e-008,0.3494
2.89359e-008,0.3268
2.89784e-008,0.3102
2.90208e-008,0.2909
2.90632e-008,0.2782
2.91056e-008,0.2790
2.91480e-008,0.2847
2.91905e-008,0.3048
2.92329e-008,0.3195
2.92753e-008,0.3191
2.93178e-008,0.3072
2.93602e-008,0.2767
2.94026e-008,0.2424
2.94450e-008,0.2205
2.94875e-008,0.3008
2.95299e-008,0.4847
2.95723e-008,0.6777
2.96147e-008,0.8756
2.96571e-008,0.9951
2.96996e-008,1.0614
2.97420e-008,1.0933
2.97844e-008,1.0903
2.98269e-008,1.1088
