.HEADER
..NAMES
Time,V U1.M20
.DATA
2.81980e-008,1.2295
2.82439e-008,1.2301
2.82898e-008,1.2306
2.83357e-008,1.2309
2.83817e-008,1.2308
2.84276e-008,1.2303
2.84735e-008,1.2299
2.85194e-008,1.1829
2.85653e-008,1.0472
2.86113e-008,0.9083
2.86572e-008,0.7535
2.87031e-008,0.5863
2.87490e-008,0.4323
2.87950e-008,0.3252
2.88409e-008,0.2548
2.88868e-008,0.2185
2.89327e-008,0.2068
2.89787e-008,0.2027
2.90246e-008,0.1989
2.90705e-008,0.1975
2.91164e-008,0.1974
2.91624e-008,0.1960
2.92083e-008,0.1957
2.92542e-008,0.1964
2.93001e-008,0.2025
2.93461e-008,0.2198
2.93920e-008,0.2478
2.94379e-008,0.2760
2.94839e-008,0.2961
2.95298e-008,0.3018
2.95757e-008,0.2944
2.96216e-008,0.2809
2.96676e-008,0.2706
2.97135e-008,0.2691
2.97594e-008,0.2776
2.98053e-008,0.2901
2.98513e-008,0.2982
2.98972e-008,0.2956
2.99431e-008,0.2816
2.99890e-008,0.2609
3.00350e-008,0.2414
3.00809e-008,0.2296
3.01268e-008,0.2276
3.01727e-008,0.2335
3.02187e-008,0.2431
3.02646e-008,0.2521
3.03105e-008,0.2576
3.03564e-008,0.2585
3.04024e-008,0.2554
3.04483e-008,0.2500
3.04942e-008,0.2441
3.05401e-008,0.2393
3.05861e-008,0.2367
3.06320e-008,0.2368
3.06779e-008,0.2395
3.07238e-008,0.2437
3.07698e-008,0.2475
3.08157e-008,0.2486
3.08616e-008,0.2460
3.09075e-008,0.2405
3.09535e-008,0.2350
3.09994e-008,0.2323
3.10453e-008,0.2338
3.10912e-008,0.2385
3.11372e-008,0.2436
3.11831e-008,0.2466
3.12290e-008,0.2464
3.12749e-008,0.2438
3.13209e-008,0.2406
3.13668e-008,0.2383
3.14127e-008,0.2379
3.14586e-008,0.2392
3.15045e-008,0.2413
3.15505e-008,0.2433
3.15964e-008,0.2443
3.16423e-008,0.2441
3.16882e-008,0.2430
3.17342e-008,0.2416
3.17801e-008,0.2404
3.18260e-008,0.2398
3.18719e-008,0.2397
3.19179e-008,0.2402
3.19638e-008,0.2411
3.20097e-008,0.2422
3.20556e-008,0.2434
3.21016e-008,0.2439
3.21475e-008,0.2437
3.21934e-008,0.2425
3.22393e-008,0.2448
3.22853e-008,0.3264
3.23312e-008,0.4829
3.23771e-008,0.6519
3.24230e-008,0.8354
3.24690e-008,1.0239
3.25149e-008,1.1398
3.25608e-008,1.2066
3.26067e-008,1.2418
3.26527e-008,1.2576
3.26986e-008,1.2575
3.27445e-008,1.2677
3.27904e-008,1.2730
3.28364e-008,1.2768
3.28823e-008,1.2775
3.29282e-008,1.2798
3.29741e-008,1.2782
3.30201e-008,1.2775
3.30660e-008,1.2693
3.31119e-008,1.2469
3.31578e-008,1.2132
3.32038e-008,1.1810
3.32497e-008,1.1612
3.32956e-008,1.1634
3.33415e-008,1.1840
3.33875e-008,1.2075
3.34334e-008,1.2184
3.34793e-008,1.2091
3.35253e-008,1.1847
3.35712e-008,1.1613
3.36171e-008,1.1545
3.36630e-008,1.1694
3.37090e-008,1.1994
3.37549e-008,1.2302
3.38008e-008,1.2486
3.38467e-008,1.2499
3.38927e-008,1.2388
3.39386e-008,1.2242
3.39845e-008,1.2136
3.40304e-008,1.2102
3.40764e-008,1.2126
3.41223e-008,1.2174
3.41682e-008,1.2226
3.42141e-008,1.2274
3.42601e-008,1.2318
3.43060e-008,1.2355
3.43519e-008,1.2371
3.43978e-008,1.2353
3.44438e-008,1.2304
3.44897e-008,1.2245
3.45356e-008,1.2209
3.45815e-008,1.2224
3.46275e-008,1.2288
3.46734e-008,1.2374
3.47193e-008,1.2434
3.47652e-008,1.2434
3.48112e-008,1.2373
3.48571e-008,1.2286
3.49030e-008,1.2221
3.49489e-008,1.2213
3.49949e-008,1.2261
3.50408e-008,1.2329
3.50867e-008,1.2378
3.51326e-008,1.2382
3.51786e-008,1.2347
3.52245e-008,1.2300
3.52704e-008,1.2267
3.53163e-008,1.2261
3.53622e-008,1.2277
3.54082e-008,1.2300
3.54541e-008,1.2318
3.55000e-008,1.2325
3.55459e-008,1.2326
3.55919e-008,1.2325
3.56378e-008,1.2322
3.56837e-008,1.2315
3.57296e-008,1.2304
3.57756e-008,1.2290
3.58215e-008,1.2279
3.58674e-008,1.2279
3.59133e-008,1.2292
3.59593e-008,1.2313
3.60052e-008,1.2107
3.60511e-008,1.0955
3.60970e-008,0.9524
3.61430e-008,0.7983
3.61889e-008,0.6380
3.62348e-008,0.4701
3.62807e-008,0.3539
3.63267e-008,0.2728
3.63726e-008,0.2298
3.64185e-008,0.2105
3.64644e-008,0.2068
3.65104e-008,0.2000
3.65563e-008,0.1975
3.66022e-008,0.1959
3.66481e-008,0.1958
3.66941e-008,0.1951
3.67400e-008,0.1964
3.67859e-008,0.2001
3.68318e-008,0.2138
3.68778e-008,0.2393
3.69237e-008,0.2688
3.69696e-008,0.2919
3.70155e-008,0.3020
3.70615e-008,0.2974
3.71074e-008,0.2844
3.71533e-008,0.2722
3.71992e-008,0.2682
3.72452e-008,0.2748
3.72911e-008,0.2875
3.73370e-008,0.2979
3.73830e-008,0.2985
3.74289e-008,0.2870
3.74748e-008,0.2669
3.75207e-008,0.2460
3.75667e-008,0.2317
3.76126e-008,0.2274
3.76585e-008,0.2318
3.77044e-008,0.2410
3.77504e-008,0.2504
3.77963e-008,0.2568
3.78422e-008,0.2587
3.78881e-008,0.2795
3.79341e-008,0.4131
3.79800e-008,0.5654
3.80259e-008,0.7456
3.80718e-008,0.9319
3.81178e-008,1.0917
3.81637e-008,1.1772
3.82096e-008,1.2324
3.82555e-008,1.2593
3.83015e-008,1.2663
3.83474e-008,1.2683
3.83933e-008,1.2719
3.84392e-008,1.2694
3.84852e-008,1.2672
3.85311e-008,1.2698
3.85770e-008,1.2735
3.86229e-008,1.2785
3.86689e-008,1.2789
3.87148e-008,1.2651
3.87607e-008,1.2333
3.88066e-008,1.1957
3.88526e-008,1.1647
3.88985e-008,1.1540
3.89444e-008,1.1674
3.89903e-008,1.1945
3.90363e-008,1.2160
3.90822e-008,1.2192
3.91281e-008,1.2009
3.91740e-008,1.1733
3.92199e-008,1.1546
3.92659e-008,1.1571
3.93118e-008,1.1803
3.93577e-008,1.2131
3.94036e-008,1.2399
3.94496e-008,1.2508
3.94955e-008,1.2459
3.95414e-008,1.2326
3.95873e-008,1.2196
3.96333e-008,1.2122
3.96792e-008,1.2111
3.97251e-008,1.2138
3.97710e-008,1.1691
3.98170e-008,1.0385
3.98629e-008,0.9032
3.99088e-008,0.7500
3.99547e-008,0.5826
4.00007e-008,0.4294
4.00466e-008,0.3212
4.00925e-008,0.2477
4.01384e-008,0.2078
4.01844e-008,0.1957
4.02303e-008,0.1960
4.02762e-008,0.2010
4.03221e-008,0.2083
4.03681e-008,0.2124
4.04140e-008,0.2081
4.04599e-008,0.1996
4.05058e-008,0.1911
4.05518e-008,0.1924
4.05977e-008,0.2112
4.06436e-008,0.2458
4.06895e-008,0.2814
4.07355e-008,0.3059
4.07814e-008,0.3107
4.08273e-008,0.2983
4.08732e-008,0.2790
4.09192e-008,0.2652
4.09651e-008,0.2638
4.10110e-008,0.2752
4.10569e-008,0.2912
4.11029e-008,0.3016
4.11488e-008,0.2993
4.11947e-008,0.2843
4.12407e-008,0.2621
4.12866e-008,0.2416
4.13325e-008,0.2291
4.13784e-008,0.2267
4.14244e-008,0.2322
4.14703e-008,0.2416
4.15162e-008,0.2510
4.15621e-008,0.2577
4.16081e-008,0.2613
4.16540e-008,0.3242
4.16999e-008,0.4702
4.17458e-008,0.6256
4.17918e-008,0.8054
4.18377e-008,0.9928
4.18836e-008,1.1225
4.19295e-008,1.1988
4.19755e-008,1.2444
4.20214e-008,1.2671
4.20673e-008,1.2686
4.21132e-008,1.2730
4.21592e-008,1.2713
4.22051e-008,1.2678
4.22510e-008,1.2654
4.22969e-008,1.2701
4.23429e-008,1.2744
4.23888e-008,1.2802
4.24347e-008,1.2770
4.24806e-008,1.2569
4.25266e-008,1.2211
4.25725e-008,1.1842
4.26184e-008,1.1584
4.26643e-008,1.1559
4.27103e-008,1.1755
4.27562e-008,1.2026
4.28021e-008,1.2191
4.28480e-008,1.2150
4.28940e-008,1.1922
4.29399e-008,1.1661
4.29858e-008,1.1539
4.30317e-008,1.1636
4.30777e-008,1.1911
4.31236e-008,1.2229
4.31695e-008,1.2448
4.32154e-008,1.2502
4.32613e-008,1.2421
4.33073e-008,1.2286
4.33532e-008,1.2173
4.33991e-008,1.2119
