.HEADER
..NAMES
Time,V U1.M24
.DATA
3.26248e-008,0.2156
3.26672e-008,0.2154
3.27097e-008,0.2162
3.27521e-008,0.2537
3.27945e-008,0.4152
3.28370e-008,0.5879
3.28794e-008,0.8060
3.29218e-008,0.9658
3.29642e-008,1.0671
3.30066e-008,1.1275
3.30491e-008,1.1599
3.30915e-008,1.1699
3.31339e-008,1.1714
3.31763e-008,1.1750
3.32188e-008,1.1772
3.32612e-008,1.2034
3.33036e-008,1.2230
3.33461e-008,1.2125
3.33885e-008,1.2035
3.34309e-008,1.1820
3.34733e-008,1.1792
3.35158e-008,1.2084
3.35582e-008,1.2375
3.36006e-008,1.2600
3.36430e-008,1.2675
3.36854e-008,1.1967
3.37279e-008,0.9505
3.37703e-008,0.7482
3.38127e-008,0.5633
3.38552e-008,0.4247
3.38976e-008,0.3466
3.39400e-008,0.3072
3.39824e-008,0.2932
3.40249e-008,0.3045
3.40673e-008,0.3061
3.41097e-008,0.2945
3.41521e-008,0.2852
3.41945e-008,0.2533
3.42370e-008,0.2407
3.42794e-008,0.2776
3.43218e-008,0.2932
3.43643e-008,0.2990
3.44067e-008,0.2897
3.44491e-008,0.2463
3.44915e-008,0.2163
3.45340e-008,0.2081
3.45764e-008,0.2062
3.46188e-008,0.2336
3.46612e-008,0.4076
3.47036e-008,0.5945
3.47461e-008,0.8076
3.47885e-008,0.9683
3.48309e-008,1.0640
3.48733e-008,1.1233
3.49158e-008,1.1527
3.49582e-008,1.1589
3.50006e-008,1.1713
3.50431e-008,1.1807
3.50855e-008,1.1789
3.51279e-008,1.2015
3.51703e-008,1.2201
3.52128e-008,1.2056
3.52552e-008,1.1987
3.52976e-008,1.1831
3.53400e-008,1.1790
3.53824e-008,1.2092
3.54249e-008,1.2391
3.54673e-008,1.2601
3.55097e-008,1.2688
3.55522e-008,1.2241
3.55946e-008,1.0017
3.56370e-008,0.7821
3.56794e-008,0.5986
3.57219e-008,0.4507
3.57643e-008,0.3600
3.58067e-008,0.3142
3.58491e-008,0.2932
3.58915e-008,0.3019
3.59340e-008,0.3054
3.59764e-008,0.2953
3.60188e-008,0.2890
3.60613e-008,0.2617
3.61037e-008,0.2399
3.61461e-008,0.2702
3.61885e-008,0.2917
3.62310e-008,0.2970
3.62734e-008,0.2934
3.63158e-008,0.2556
3.63582e-008,0.2203
3.64006e-008,0.2097
3.64431e-008,0.2059
3.64855e-008,0.2176
3.65279e-008,0.3672
3.65703e-008,0.5603
3.66128e-008,0.7633
3.66552e-008,0.9421
3.66976e-008,1.0500
3.67401e-008,1.1142
3.67825e-008,1.1503
3.68249e-008,1.1571
3.68673e-008,1.1686
3.69097e-008,1.1800
3.69522e-008,1.1777
3.69946e-008,1.1952
3.70370e-008,1.2196
3.70794e-008,1.2095
3.71219e-008,1.1993
3.71643e-008,1.1869
3.72067e-008,1.1768
3.72492e-008,1.2019
3.72916e-008,1.2343
3.73340e-008,1.2561
3.73764e-008,1.2691
3.74189e-008,1.2622
3.74613e-008,1.2564
3.75037e-008,1.2559
3.75461e-008,1.2535
3.75885e-008,1.2552
3.76310e-008,1.2605
3.76734e-008,1.2603
3.77158e-008,1.2638
3.77583e-008,1.2708
3.78007e-008,1.2669
