.HEADER
..NAMES
Time,V U1.N21
.DATA
3.12290e-008,0.2457
3.12749e-008,0.2431
3.13209e-008,0.2399
3.13668e-008,0.2374
3.14127e-008,0.2365
3.14586e-008,0.2369
3.15045e-008,0.2388
3.15505e-008,0.2409
3.15964e-008,0.2427
3.16423e-008,0.2434
3.16882e-008,0.2430
3.17342e-008,0.2417
3.17801e-008,0.2398
3.18260e-008,0.2378
3.18719e-008,0.2366
3.19179e-008,0.2371
3.19638e-008,0.2395
3.20097e-008,0.2427
3.20556e-008,0.2449
3.21016e-008,0.2449
3.21475e-008,0.2429
3.21934e-008,0.2399
3.22393e-008,0.2428
3.22853e-008,0.3485
3.23312e-008,0.5189
3.23771e-008,0.6655
3.24230e-008,0.8466
3.24690e-008,0.9997
3.25149e-008,1.1050
3.25608e-008,1.1585
3.26067e-008,1.1898
3.26527e-008,1.2055
3.26986e-008,1.2156
3.27445e-008,1.2214
3.27904e-008,1.2252
3.28364e-008,1.2273
3.28823e-008,1.2223
3.29282e-008,1.2167
3.29741e-008,1.2272
3.30201e-008,1.2391
3.30660e-008,1.2525
3.31119e-008,1.2330
3.31578e-008,1.2079
3.32038e-008,1.1805
3.32497e-008,1.1688
3.32956e-008,1.1803
3.33415e-008,1.2014
3.33875e-008,1.2313
3.34334e-008,1.2399
3.34793e-008,1.2306
3.35253e-008,1.2100
3.35712e-008,1.1946
3.36171e-008,1.1935
3.36630e-008,1.2104
3.37090e-008,1.2370
3.37549e-008,1.2601
3.38008e-008,1.2689
3.38467e-008,1.2601
3.38927e-008,1.2445
3.39386e-008,1.2326
3.39845e-008,1.2248
3.40304e-008,1.2231
3.40764e-008,1.2208
3.41223e-008,1.2216
3.41682e-008,1.2247
3.42141e-008,1.2309
3.42601e-008,1.2406
3.43060e-008,1.2476
3.43519e-008,1.2496
3.43978e-008,1.2418
3.44438e-008,1.2296
3.44897e-008,1.2183
3.45356e-008,1.2144
3.45815e-008,1.2197
3.46275e-008,1.2316
3.46734e-008,1.2439
3.47193e-008,1.2491
3.47652e-008,1.2448
3.48112e-008,1.2338
3.48571e-008,1.2234
3.49030e-008,1.2192
3.49489e-008,1.2217
3.49949e-008,1.2288
3.50408e-008,1.2348
3.50867e-008,1.2375
3.51326e-008,1.2363
3.51786e-008,1.2333
3.52245e-008,1.2312
3.52704e-008,1.2301
3.53163e-008,1.2298
3.53622e-008,1.2291
3.54082e-008,1.2284
3.54541e-008,1.2285
3.55000e-008,1.2302
3.55459e-008,1.2332
3.55919e-008,1.2361
3.56378e-008,1.2369
3.56837e-008,1.2343
3.57296e-008,1.2295
3.57756e-008,1.2251
3.58215e-008,1.2238
3.58674e-008,1.2264
3.59133e-008,1.2314
3.59593e-008,1.2360
3.60052e-008,1.2075
3.60511e-008,1.0623
3.60970e-008,0.9279
3.61430e-008,0.7844
3.61889e-008,0.6388
3.62348e-008,0.4888
3.62807e-008,0.3765
3.63267e-008,0.3156
3.63726e-008,0.2803
3.64185e-008,0.2622
3.64644e-008,0.2506
3.65104e-008,0.2455
3.65563e-008,0.2416
3.66022e-008,0.2423
3.66481e-008,0.2497
3.66941e-008,0.2472
3.67400e-008,0.2363
3.67859e-008,0.2245
3.68318e-008,0.2292
3.68778e-008,0.2562
3.69237e-008,0.2735
3.69696e-008,0.2870
3.70155e-008,0.2810
3.70615e-008,0.2760
3.71074e-008,0.2636
3.71533e-008,0.2513
3.71992e-008,0.2472
3.72452e-008,0.2498
3.72911e-008,0.2587
3.73370e-008,0.2638
3.73830e-008,0.2628
3.74289e-008,0.2506
3.74748e-008,0.2331
3.75207e-008,0.2175
3.75667e-008,0.2124
3.76126e-008,0.2177
3.76585e-008,0.2252
3.77044e-008,0.2335
3.77504e-008,0.2415
3.77963e-008,0.2494
3.78422e-008,0.2550
3.78881e-008,0.2523
3.79341e-008,0.2460
3.79800e-008,0.2366
3.80259e-008,0.2302
3.80718e-008,0.2271
3.81178e-008,0.2289
3.81637e-008,0.2352
3.82096e-008,0.2426
3.82555e-008,0.2491
3.83015e-008,0.2508
3.83474e-008,0.2475
3.83933e-008,0.2396
3.84392e-008,0.2319
3.84852e-008,0.2289
3.85311e-008,0.2321
3.85770e-008,0.2390
3.86229e-008,0.2444
3.86689e-008,0.2468
3.87148e-008,0.2460
3.87607e-008,0.2435
3.88066e-008,0.2408
3.88526e-008,0.2382
3.88985e-008,0.2372
3.89444e-008,0.2371
3.89903e-008,0.2386
3.90363e-008,0.2407
3.90822e-008,0.2427
3.91281e-008,0.2439
3.91740e-008,0.2435
3.92199e-008,0.2423
3.92659e-008,0.2403
3.93118e-008,0.2383
3.93577e-008,0.2369
3.94036e-008,0.2371
3.94496e-008,0.2393
3.94955e-008,0.2425
3.95414e-008,0.2450
3.95873e-008,0.2453
3.96333e-008,0.2435
3.96792e-008,0.2406
3.97251e-008,0.2380
3.97710e-008,0.2372
3.98170e-008,0.2381
3.98629e-008,0.2402
3.99088e-008,0.2423
3.99547e-008,0.2436
4.00007e-008,0.2437
4.00466e-008,0.2427
4.00925e-008,0.2412
4.01384e-008,0.2400
4.01844e-008,0.2395
4.02303e-008,0.2396
4.02762e-008,0.2402
4.03221e-008,0.2410
4.03681e-008,0.2418
4.04140e-008,0.2426
4.04599e-008,0.2429
4.05058e-008,0.2426
4.05518e-008,0.2417
4.05977e-008,0.2405
4.06436e-008,0.2397
4.06895e-008,0.2397
4.07355e-008,0.2405
4.07814e-008,0.2417
4.08273e-008,0.2427
4.08732e-008,0.2430
4.09192e-008,0.2426
4.09651e-008,0.2416
4.10110e-008,0.2407
4.10569e-008,0.2402
4.11029e-008,0.2403
4.11488e-008,0.2410
4.11947e-008,0.2418
4.12407e-008,0.2424
4.12866e-008,0.2425
4.13325e-008,0.2422
4.13784e-008,0.2417
4.14244e-008,0.2413
4.14703e-008,0.2411
4.15162e-008,0.2410
4.15621e-008,0.2411
4.16081e-008,0.2432
4.16540e-008,0.3292
4.16999e-008,0.5028
4.17458e-008,0.6408
4.17918e-008,0.8230
4.18377e-008,0.9786
4.18836e-008,1.0925
4.19295e-008,1.1533
4.19755e-008,1.1875
4.20214e-008,1.2058
4.20673e-008,1.2175
4.21132e-008,1.2238
4.21592e-008,1.2271
4.22051e-008,1.2287
4.22510e-008,1.2239
4.22969e-008,1.2157
4.23429e-008,1.2243
4.23888e-008,1.2362
