.HEADER
..NAMES
Time,V U1.R23
.DATA
2.06610e-008,1.2188
2.07034e-008,1.2176
2.07458e-008,1.2063
2.07882e-008,1.1858
2.08307e-008,1.1691
2.08731e-008,1.1902
2.09155e-008,1.2206
2.09580e-008,1.2465
2.10004e-008,1.2631
2.10428e-008,1.2593
2.10852e-008,1.2559
2.11277e-008,1.2550
2.11701e-008,1.2553
2.12125e-008,1.2563
2.12549e-008,1.2555
2.12973e-008,1.2580
2.13398e-008,1.2602
2.13822e-008,1.2666
2.14246e-008,1.2716
2.14671e-008,1.2672
2.15095e-008,1.2633
2.15519e-008,1.2587
2.15943e-008,1.2585
2.16367e-008,1.2659
2.16792e-008,1.2695
2.17216e-008,1.2694
2.17640e-008,1.2664
2.18064e-008,1.2615
2.18489e-008,1.2606
2.18913e-008,1.2621
2.19337e-008,1.2634
2.19762e-008,1.2634
2.20186e-008,1.2631
2.20610e-008,1.2635
2.21034e-008,1.2637
2.21458e-008,1.2650
2.21883e-008,1.2648
2.22307e-008,1.2630
2.22731e-008,1.2623
2.23156e-008,1.2619
2.23580e-008,1.2630
2.24004e-008,1.2650
2.24428e-008,1.2648
2.24852e-008,1.2639
2.25277e-008,1.2629
2.25701e-008,1.2624
2.26125e-008,1.2631
2.26549e-008,1.2640
2.26974e-008,1.2641
2.27398e-008,1.2636
2.27822e-008,1.2634
2.28247e-008,1.2635
2.28671e-008,1.2605
2.29095e-008,1.1711
2.29519e-008,0.9370
2.29943e-008,0.7545
2.30368e-008,0.5655
2.30792e-008,0.4244
2.31216e-008,0.3516
2.31641e-008,0.3055
2.32065e-008,0.2899
2.32489e-008,0.2831
2.32913e-008,0.2931
2.33338e-008,0.2964
2.33762e-008,0.2937
2.34186e-008,0.2852
2.34610e-008,0.2507
2.35034e-008,0.2480
2.35459e-008,0.2755
2.35883e-008,0.2898
2.36307e-008,0.3040
2.36732e-008,0.2867
2.37156e-008,0.2442
2.37580e-008,0.2237
2.38004e-008,0.2103
2.38428e-008,0.2091
2.38853e-008,0.2160
2.39277e-008,0.2174
2.39701e-008,0.2188
2.40126e-008,0.2202
2.40550e-008,0.2219
2.40974e-008,0.2179
2.41398e-008,0.2156
2.41823e-008,0.2123
2.42247e-008,0.2043
2.42671e-008,0.2092
2.43095e-008,0.2168
2.43519e-008,0.2183
2.43944e-008,0.2193
2.44368e-008,0.2125
2.44792e-008,0.2065
2.45217e-008,0.2092
2.45641e-008,0.2124
2.46065e-008,0.2156
2.46489e-008,0.2174
2.46913e-008,0.2158
2.47338e-008,0.2146
2.47762e-008,0.2152
2.48186e-008,0.2154
2.48611e-008,0.2140
2.49035e-008,0.2141
2.49459e-008,0.2137
2.49883e-008,0.2127
2.50308e-008,0.2151
2.50732e-008,0.2163
2.51156e-008,0.2158
2.51580e-008,0.2153
2.52004e-008,0.2132
2.52429e-008,0.2129
2.52853e-008,0.2146
2.53277e-008,0.2153
2.53702e-008,0.2155
2.54126e-008,0.2151
2.54550e-008,0.2142
2.54974e-008,0.2140
2.55398e-008,0.2147
2.55823e-008,0.2148
2.56247e-008,0.2144
2.56671e-008,0.2145
2.57096e-008,0.2144
2.57520e-008,0.2144
2.57944e-008,0.2150
2.58368e-008,0.2150
2.58793e-008,0.2147
2.59217e-008,0.2145
2.59641e-008,0.2141
2.60065e-008,0.2144
2.60489e-008,0.2150
2.60914e-008,0.2149
2.61338e-008,0.2147
2.61762e-008,0.2146
2.62187e-008,0.2144
2.62611e-008,0.2145
2.63035e-008,0.2148
2.63459e-008,0.2147
2.63883e-008,0.2146
2.64308e-008,0.2146
2.64732e-008,0.2146
2.65156e-008,0.2147
2.65580e-008,0.2148
2.66005e-008,0.2147
2.66429e-008,0.2251
2.66853e-008,0.3698
2.67278e-008,0.5487
2.67702e-008,0.7576
2.68126e-008,0.9334
2.68550e-008,1.0439
2.68974e-008,1.1151
2.69399e-008,1.1522
2.69823e-008,1.1755
2.70247e-008,1.1811
2.70672e-008,1.1772
2.71096e-008,1.1768
2.71520e-008,1.1770
2.71944e-008,1.1990
2.72368e-008,1.2214
2.72793e-008,1.2137
2.73217e-008,1.2022
2.73641e-008,1.1788
2.74065e-008,1.1715
2.74490e-008,1.2008
2.74914e-008,1.2292
2.75338e-008,1.2545
2.75763e-008,1.2637
2.76187e-008,1.2577
2.76611e-008,1.2553
2.77035e-008,1.2544
2.77459e-008,1.2564
2.77884e-008,1.2563
2.78308e-008,1.2569
2.78732e-008,1.2591
2.79157e-008,1.2612
2.79581e-008,1.2690
2.80005e-008,1.2710
2.80429e-008,1.2660
2.80854e-008,1.2624
2.81278e-008,1.2579
2.81702e-008,1.2604
2.82126e-008,1.2678
2.82550e-008,1.2700
2.82975e-008,1.2691
2.83399e-008,1.2649
2.83823e-008,1.2608
2.84248e-008,1.2610
2.84672e-008,1.2627
2.85096e-008,1.2639
2.85520e-008,1.2635
2.85944e-008,1.2635
2.86369e-008,1.2636
2.86793e-008,1.2640
2.87217e-008,1.2654
2.87642e-008,1.2645
2.88066e-008,1.2629
2.88490e-008,1.2624
2.88914e-008,1.2621
2.89339e-008,1.2638
2.89763e-008,1.2653
2.90187e-008,1.2647
2.90611e-008,1.2638
2.91035e-008,1.2628
2.91460e-008,1.2626
2.91884e-008,1.2636
2.92308e-008,1.2643
2.92733e-008,1.2642
2.93157e-008,1.2636
2.93581e-008,1.2636
2.94005e-008,1.2636
2.94429e-008,1.2525
2.94854e-008,1.1040
2.95278e-008,0.8727
2.95702e-008,0.6933
2.96127e-008,0.5166
2.96551e-008,0.3963
2.96975e-008,0.3347
2.97399e-008,0.2971
2.97824e-008,0.2866
2.98248e-008,0.2857
2.98672e-008,0.2959
2.99096e-008,0.2951
2.99521e-008,0.2932
2.99945e-008,0.2762
3.00369e-008,0.2436
3.00793e-008,0.2571
3.01218e-008,0.2809
3.01642e-008,0.2947
3.02066e-008,0.3042
3.02490e-008,0.2729
3.02914e-008,0.2357
3.03339e-008,0.2192
3.03763e-008,0.2082
3.04187e-008,0.2116
3.04612e-008,0.2169
3.05036e-008,0.2179
3.05460e-008,0.2192
3.05884e-008,0.2212
3.06309e-008,0.2213
3.06733e-008,0.2167
3.07157e-008,0.2155
3.07581e-008,0.2096
3.08005e-008,0.2043
3.08430e-008,0.2125
3.08854e-008,0.2176
3.09278e-008,0.2190
3.09702e-008,0.2182
3.10127e-008,0.2097
3.10551e-008,0.2069
3.10975e-008,0.2105
3.11400e-008,0.2134
3.11824e-008,0.2166
3.12248e-008,0.2172
3.12672e-008,0.2154
3.13096e-008,0.2147
3.13521e-008,0.2156
3.13945e-008,0.2151
3.14369e-008,0.2139
3.14793e-008,0.2144
3.15218e-008,0.2133
3.15642e-008,0.2133
3.16066e-008,0.2159
3.16491e-008,0.2162
3.16915e-008,0.2159
3.17339e-008,0.2149
3.17763e-008,0.2128
3.18188e-008,0.2135
3.18612e-008,0.2151
3.19036e-008,0.2155
3.19460e-008,0.2155
3.19884e-008,0.2149
3.20309e-008,0.2141
3.20733e-008,0.2143
3.21157e-008,0.2149
3.21582e-008,0.2147
3.22006e-008,0.2145
3.22430e-008,0.2147
3.22854e-008,0.2144
3.23279e-008,0.2147
3.23703e-008,0.2152
3.24127e-008,0.2149
3.24551e-008,0.2148
3.24975e-008,0.2145
3.25400e-008,0.2142
3.25824e-008,0.2147
3.26248e-008,0.2151
3.26672e-008,0.2149
3.27097e-008,0.2148
3.27521e-008,0.2146
3.27945e-008,0.2145
3.28370e-008,0.2147
3.28794e-008,0.2149
3.29218e-008,0.2148
3.29642e-008,0.2147
3.30066e-008,0.2147
3.30491e-008,0.2147
3.30915e-008,0.2148
3.31339e-008,0.2149
3.31763e-008,0.2147
3.32188e-008,0.2602
3.32612e-008,0.4290
3.33036e-008,0.6024
3.33461e-008,0.8226
3.33885e-008,0.9762
3.34309e-008,1.0692
3.34733e-008,1.1304
3.35158e-008,1.1578
3.35582e-008,1.1808
3.36006e-008,1.1797
3.36430e-008,1.1773
3.36854e-008,1.1761
3.37279e-008,1.1806
3.37703e-008,1.2093
3.38127e-008,1.2210
3.38552e-008,1.2106
3.38976e-008,1.1959
3.39400e-008,1.1724
3.39824e-008,1.1783
3.40249e-008,1.2110
3.40673e-008,1.2374
3.41097e-008,1.2587
3.41521e-008,1.1818
3.41945e-008,0.9213
3.42370e-008,0.7219
3.42794e-008,0.5382
3.43218e-008,0.4103
3.43643e-008,0.3414
3.44067e-008,0.2991
3.44491e-008,0.2840
3.44915e-008,0.2815
3.45340e-008,0.3011
3.45764e-008,0.3052
3.46188e-008,0.2954
3.46612e-008,0.2822
3.47036e-008,0.2433
3.47461e-008,0.2420
3.47885e-008,0.2822
3.48309e-008,0.3010
3.48733e-008,0.3117
3.49158e-008,0.2881
3.49582e-008,0.2367
3.50006e-008,0.2164
3.50431e-008,0.2092
3.50855e-008,0.2109
3.51279e-008,0.2179
3.51703e-008,0.2178
3.52128e-008,0.2181
3.52552e-008,0.2207
3.52976e-008,0.2245
3.53400e-008,0.2191
3.53824e-008,0.2142
3.54249e-008,0.2107
3.54673e-008,0.2027
3.55097e-008,0.2093
3.55522e-008,0.2197
3.55946e-008,0.2205
3.56370e-008,0.2196
3.56794e-008,0.2113
3.57219e-008,0.2045
3.57643e-008,0.2091
3.58067e-008,0.2141
3.58491e-008,0.2170
3.58915e-008,0.2178
3.59340e-008,0.2156
3.59764e-008,0.2143
3.60188e-008,0.2156
3.60613e-008,0.2164
3.61037e-008,0.2142
3.61461e-008,0.2138
3.61885e-008,0.2136
3.62310e-008,0.2129
3.62734e-008,0.2158
3.63158e-008,0.2173
3.63582e-008,0.2161
3.64006e-008,0.2152
3.64431e-008,0.2130
3.64855e-008,0.2128
3.65279e-008,0.2152
3.65703e-008,0.2161
3.66128e-008,0.2158
3.66552e-008,0.2151
3.66976e-008,0.2142
3.67401e-008,0.2142
3.67825e-008,0.2151
3.68249e-008,0.2153
3.68673e-008,0.2145
3.69097e-008,0.2146
3.69522e-008,0.2220
3.69946e-008,0.3566
3.70370e-008,0.5377
3.70794e-008,0.7412
3.71219e-008,0.9224
3.71643e-008,1.0373
3.72067e-008,1.1105
3.72492e-008,1.1510
3.72916e-008,1.1743
3.73340e-008,1.1819
3.73764e-008,1.1774
3.74189e-008,1.1770
3.74613e-008,1.1766
3.75037e-008,1.1968
3.75461e-008,1.2211
3.75885e-008,1.2147
3.76310e-008,1.2035
3.76734e-008,1.1807
3.77158e-008,1.1710
3.77583e-008,1.1985
3.78007e-008,1.2276
3.78431e-008,1.2530
3.78855e-008,1.2638
3.79280e-008,1.2582
3.79704e-008,1.2555
3.80128e-008,1.2546
3.80552e-008,1.2566
3.80976e-008,1.2566
3.81401e-008,1.2568
3.81825e-008,1.2591
3.82249e-008,1.2610
3.82673e-008,1.2686
3.83098e-008,1.2714
3.83522e-008,1.2664
3.83946e-008,1.2628
3.84371e-008,1.2582
3.84795e-008,1.2601
3.85219e-008,1.2676
3.85643e-008,1.2701
3.86067e-008,1.2693
3.86492e-008,1.2654
