.HEADER
..NAMES
Time,V U1.N24
.DATA
3.06733e-008,1.1953
3.07157e-008,1.2291
3.07581e-008,1.2577
3.08005e-008,1.2615
3.08430e-008,1.2571
3.08854e-008,1.2529
3.09278e-008,1.2502
3.09702e-008,1.2541
3.10127e-008,1.2584
3.10551e-008,1.2598
3.10975e-008,1.2597
3.11400e-008,1.2569
3.11824e-008,1.2546
3.12248e-008,1.2549
3.12672e-008,1.2579
3.13096e-008,1.2627
3.13521e-008,1.2678
3.13945e-008,1.2714
3.14369e-008,1.2699
3.14793e-008,1.2656
3.15218e-008,1.2618
3.15642e-008,1.2586
3.16066e-008,1.2585
3.16491e-008,1.2610
3.16915e-008,1.2624
3.17339e-008,1.2629
3.17763e-008,1.2623
3.18188e-008,1.2613
3.18612e-008,1.2611
3.19036e-008,1.2615
3.19460e-008,1.2623
3.19884e-008,1.2632
3.20309e-008,1.2634
3.20733e-008,1.2630
3.21157e-008,1.2622
3.21582e-008,1.2614
3.22006e-008,1.2608
3.22430e-008,1.2610
3.22854e-008,1.2617
3.23279e-008,1.2624
3.23703e-008,1.2627
3.24127e-008,1.2627
3.24551e-008,1.2622
3.24975e-008,1.2618
3.25400e-008,1.2618
3.25824e-008,1.2620
3.26248e-008,1.2622
3.26672e-008,1.2623
3.27097e-008,1.2618
3.27521e-008,1.2081
3.27945e-008,0.9853
3.28370e-008,0.7918
3.28794e-008,0.6030
3.29218e-008,0.4496
3.29642e-008,0.3584
3.30066e-008,0.3172
3.30491e-008,0.2911
3.30915e-008,0.2764
3.31339e-008,0.2553
3.31763e-008,0.2385
3.32188e-008,0.2332
3.32612e-008,0.2451
3.33036e-008,0.2706
3.33461e-008,0.3026
3.33885e-008,0.3280
3.34309e-008,0.3159
3.34733e-008,0.2868
3.35158e-008,0.2534
3.35582e-008,0.2169
3.36006e-008,0.2053
3.36430e-008,0.2130
3.36854e-008,0.2427
3.37279e-008,0.4264
3.37703e-008,0.6138
3.38127e-008,0.8176
3.38552e-008,0.9718
3.38976e-008,1.0689
3.39400e-008,1.1262
3.39824e-008,1.1650
3.40249e-008,1.1877
3.40673e-008,1.2124
3.41097e-008,1.2270
3.41521e-008,1.2320
3.41945e-008,1.2214
3.42370e-008,1.2008
3.42794e-008,1.1759
3.43218e-008,1.1525
3.43643e-008,1.1602
3.44067e-008,1.1844
3.44491e-008,1.2148
3.44915e-008,1.2491
3.45340e-008,1.2623
3.45764e-008,1.2585
3.46188e-008,1.2115
3.46612e-008,0.9778
3.47036e-008,0.7631
3.47461e-008,0.5887
3.47885e-008,0.4440
3.48309e-008,0.3540
3.48733e-008,0.3134
3.49158e-008,0.2836
3.49582e-008,0.2694
3.50006e-008,0.2487
3.50431e-008,0.2365
3.50855e-008,0.2357
3.51279e-008,0.2533
3.51703e-008,0.2803
3.52128e-008,0.3090
3.52552e-008,0.3318
3.52976e-008,0.3161
3.53400e-008,0.2808
3.53824e-008,0.2489
3.54249e-008,0.2152
3.54673e-008,0.2042
3.55097e-008,0.2147
3.55522e-008,0.2263
3.55946e-008,0.3829
3.56370e-008,0.5766
3.56794e-008,0.7714
3.57219e-008,0.9436
3.57643e-008,1.0552
3.58067e-008,1.1178
3.58491e-008,1.1605
3.58915e-008,1.1815
3.59340e-008,1.2071
3.59764e-008,1.2216
3.60188e-008,1.2299
3.60613e-008,1.2233
3.61037e-008,1.2061
3.61461e-008,1.1836
3.61885e-008,1.1574
3.62310e-008,1.1573
3.62734e-008,1.1790
3.63158e-008,1.2068
3.63582e-008,1.2422
3.64006e-008,1.2616
3.64431e-008,1.2598
3.64855e-008,1.2560
3.65279e-008,1.2513
3.65703e-008,1.2507
3.66128e-008,1.2556
3.66552e-008,1.2587
3.66976e-008,1.2600
3.67401e-008,1.2590
3.67825e-008,1.2560
3.68249e-008,1.2547
3.68673e-008,1.2558
3.69097e-008,1.2595
3.69522e-008,1.2644
3.69946e-008,1.2693
3.70370e-008,1.2712
3.70794e-008,1.2682
3.71219e-008,1.2641
3.71643e-008,1.2604
3.72067e-008,1.2580
3.72492e-008,1.2593
3.72916e-008,1.2616
3.73340e-008,1.2626
3.73764e-008,1.2628
3.74189e-008,1.2511
3.74613e-008,1.1045
3.75037e-008,0.8745
3.75461e-008,0.6963
3.75885e-008,0.5203
3.76310e-008,0.3931
3.76734e-008,0.3358
3.77158e-008,0.3009
3.77583e-008,0.2853
3.78007e-008,0.2638
3.78431e-008,0.2452
3.78855e-008,0.2329
3.79280e-008,0.2376
3.79704e-008,0.2571
3.80128e-008,0.2869
3.80552e-008,0.3193
3.80976e-008,0.3264
3.81401e-008,0.3011
3.81825e-008,0.2707
3.82249e-008,0.2334
3.82673e-008,0.2070
3.83098e-008,0.2092
3.83522e-008,0.2156
3.83946e-008,0.3264
3.84371e-008,0.5289
3.84795e-008,0.7112
3.85219e-008,0.9041
3.85643e-008,1.0301
3.86067e-008,1.0996
3.86492e-008,1.1494
3.86916e-008,1.1750
3.87340e-008,1.2027
3.87764e-008,1.2201
3.88189e-008,1.2313
3.88613e-008,1.2278
3.89037e-008,1.2118
3.89462e-008,1.1891
3.89886e-008,1.1618
3.90310e-008,1.1522
3.90734e-008,1.1721
3.91159e-008,1.1987
3.91583e-008,1.2333
3.92007e-008,1.2594
3.92431e-008,1.2609
3.92855e-008,1.2456
3.93280e-008,1.1048
3.93704e-008,0.8513
3.94128e-008,0.6778
3.94553e-008,0.5087
3.94977e-008,0.3892
3.95401e-008,0.3331
3.95825e-008,0.2965
3.96250e-008,0.2770
3.96674e-008,0.2577
3.97098e-008,0.2418
3.97522e-008,0.2339
3.97946e-008,0.2431
3.98371e-008,0.2663
3.98795e-008,0.2948
3.99219e-008,0.3233
3.99644e-008,0.3292
4.00068e-008,0.2976
4.00492e-008,0.2647
4.00916e-008,0.2310
4.01341e-008,0.2053
4.01765e-008,0.2092
4.02189e-008,0.2179
