.HEADER
..NAMES
Time,V U1.U21
.DATA
2.83357e-008,0.2359
2.83817e-008,0.2455
2.84276e-008,0.2515
2.84735e-008,0.2528
2.85194e-008,0.2795
2.85653e-008,0.4392
2.86113e-008,0.5748
2.86572e-008,0.7487
2.87031e-008,0.9195
2.87490e-008,1.0514
2.87950e-008,1.1389
2.88409e-008,1.1839
2.88868e-008,1.2105
2.89327e-008,1.2198
2.89787e-008,1.2199
2.90246e-008,1.2111
2.90705e-008,1.2015
2.91164e-008,1.2060
2.91624e-008,1.2155
2.92083e-008,1.2395
2.92542e-008,1.2597
2.93001e-008,1.2729
2.93461e-008,1.2658
2.93920e-008,1.2307
2.94379e-008,1.1921
2.94839e-008,1.1607
2.95298e-008,1.1630
2.95757e-008,1.1873
2.96216e-008,1.2110
2.96676e-008,1.2243
2.97135e-008,1.2142
2.97594e-008,1.1985
2.98053e-008,1.1878
2.98513e-008,1.1903
2.98972e-008,1.2061
2.99431e-008,1.2257
2.99890e-008,1.2393
3.00350e-008,1.2421
3.00809e-008,1.2402
3.01268e-008,1.2358
3.01727e-008,1.2347
3.02187e-008,1.2330
3.02646e-008,1.2273
3.03105e-008,1.2220
3.03564e-008,1.2177
3.04024e-008,1.2195
3.04483e-008,1.2262
3.04942e-008,1.2355
3.05401e-008,1.2441
3.05861e-008,1.2451
3.06320e-008,1.2380
3.06779e-008,1.2253
3.07238e-008,1.2154
3.07698e-008,1.2149
3.08157e-008,1.2235
3.08616e-008,1.2356
3.09075e-008,1.2432
3.09535e-008,1.2429
3.09994e-008,1.2362
3.10453e-008,1.2286
3.10912e-008,1.2247
3.11372e-008,1.2255
3.11831e-008,1.2288
3.12290e-008,1.2304
3.12749e-008,1.2301
3.13209e-008,1.2291
3.13668e-008,1.2297
3.14127e-008,1.2321
3.14586e-008,1.2338
3.15045e-008,1.2333
3.15505e-008,1.2304
3.15964e-008,1.2269
3.16423e-008,1.2251
3.16882e-008,1.2261
3.17342e-008,1.2295
3.17801e-008,1.2334
3.18260e-008,1.2356
3.18719e-008,1.2345
3.19179e-008,1.2308
3.19638e-008,1.2267
3.20097e-008,1.2249
3.20556e-008,1.2264
3.21016e-008,1.2298
3.21475e-008,1.2327
3.21934e-008,1.2333
3.22393e-008,1.2317
3.22853e-008,1.2294
3.23312e-008,1.2281
3.23771e-008,1.2286
3.24230e-008,1.2298
3.24690e-008,1.2303
3.25149e-008,1.2298
3.25608e-008,1.2289
3.26067e-008,1.2289
3.26527e-008,1.2299
3.26986e-008,1.2312
3.27445e-008,1.2317
3.27904e-008,1.2308
3.28364e-008,1.2292
3.28823e-008,1.2278
3.29282e-008,1.2276
3.29741e-008,1.2287
3.30201e-008,1.2303
3.30660e-008,1.2314
3.31119e-008,1.2315
3.31578e-008,1.2305
3.32038e-008,1.2291
3.32497e-008,1.2282
3.32956e-008,1.2283
3.33415e-008,1.2292
3.33875e-008,1.2302
3.34334e-008,1.2306
3.34793e-008,1.2302
3.35253e-008,1.2295
3.35712e-008,1.2291
3.36171e-008,1.2293
3.36630e-008,1.2298
3.37090e-008,1.2300
3.37549e-008,1.2296
3.38008e-008,1.2291
3.38467e-008,1.2288
3.38927e-008,1.2292
3.39386e-008,1.2299
3.39845e-008,1.2303
3.40304e-008,1.2302
3.40764e-008,1.2296
3.41223e-008,1.2289
3.41682e-008,1.2286
3.42141e-008,1.2289
3.42601e-008,1.2295
3.43060e-008,1.2300
3.43519e-008,1.2301
3.43978e-008,1.2298
3.44438e-008,1.2294
3.44897e-008,1.2290
3.45356e-008,1.2290
3.45815e-008,1.2292
3.46275e-008,1.2295
3.46734e-008,1.2297
3.47193e-008,1.2296
3.47652e-008,1.2293
3.48112e-008,1.2292
3.48571e-008,1.2293
3.49030e-008,1.2295
3.49489e-008,1.2296
3.49949e-008,1.2295
3.50408e-008,1.2292
3.50867e-008,1.2290
3.51326e-008,1.2291
3.51786e-008,1.2294
3.52245e-008,1.2296
3.52704e-008,1.2297
3.53163e-008,1.2295
3.53622e-008,1.2292
3.54082e-008,1.2290
3.54541e-008,1.2291
3.55000e-008,1.2293
3.55459e-008,1.2295
3.55919e-008,1.2295
3.56378e-008,1.2295
3.56837e-008,1.2293
3.57296e-008,1.2292
3.57756e-008,1.2292
3.58215e-008,1.2292
3.58674e-008,1.2293
3.59133e-008,1.2294
3.59593e-008,1.2293
3.60052e-008,1.2081
3.60511e-008,1.0812
3.60970e-008,0.9451
3.61430e-008,0.8105
3.61889e-008,0.6620
3.62348e-008,0.5110
3.62807e-008,0.3885
3.63267e-008,0.3200
3.63726e-008,0.2789
3.64185e-008,0.2598
3.64644e-008,0.2499
3.65104e-008,0.2497
3.65563e-008,0.2571
3.66022e-008,0.2533
3.66481e-008,0.2471
3.66941e-008,0.2319
3.67400e-008,0.2195
3.67859e-008,0.2115
3.68318e-008,0.2113
3.68778e-008,0.2338
3.69237e-008,0.2606
3.69696e-008,0.2862
3.70155e-008,0.2911
3.70615e-008,0.2805
3.71074e-008,0.2723
3.71533e-008,0.2664
3.71992e-008,0.2680
3.72452e-008,0.2678
3.72911e-008,0.2673
3.73370e-008,0.2675
3.73830e-008,0.2642
3.74289e-008,0.2552
3.74748e-008,0.2418
3.75207e-008,0.2326
3.75667e-008,0.2279
3.76126e-008,0.2293
3.76585e-008,0.2321
3.77044e-008,0.2360
3.77504e-008,0.2429
3.77963e-008,0.2477
3.78422e-008,0.2499
3.78881e-008,0.2676
3.79341e-008,0.4161
3.79800e-008,0.5589
3.80259e-008,0.7236
3.80718e-008,0.8965
3.81178e-008,1.0363
3.81637e-008,1.1288
3.82096e-008,1.1790
3.82555e-008,1.2076
3.83015e-008,1.2173
3.83474e-008,1.2176
3.83933e-008,1.2114
3.84392e-008,1.2015
3.84852e-008,1.2068
3.85311e-008,1.2152
3.85770e-008,1.2366
3.86229e-008,1.2571
3.86689e-008,1.2693
3.87148e-008,1.2670
3.87607e-008,1.2346
3.88066e-008,1.1970
3.88526e-008,1.1644
3.88985e-008,1.1615
3.89444e-008,1.1845
3.89903e-008,1.2077
3.90363e-008,1.2229
3.90822e-008,1.2155
3.91281e-008,1.1998
3.91740e-008,1.1885
3.92199e-008,1.1890
3.92659e-008,1.2032
3.93118e-008,1.2226
3.93577e-008,1.2377
3.94036e-008,1.2421
3.94496e-008,1.2411
3.94955e-008,1.2366
3.95414e-008,1.2343
3.95873e-008,1.2325
3.96333e-008,1.2269
3.96792e-008,1.2221
3.97251e-008,1.2183
3.97710e-008,1.1742
3.98170e-008,1.0310
3.98629e-008,0.9177
3.99088e-008,0.7750
3.99547e-008,0.6245
4.00007e-008,0.4718
4.00466e-008,0.3552
4.00925e-008,0.2898
4.01384e-008,0.2562
4.01844e-008,0.2483
4.02303e-008,0.2523
4.02762e-008,0.2652
4.03221e-008,0.2703
4.03681e-008,0.2599
4.04140e-008,0.2443
4.04599e-008,0.2232
4.05058e-008,0.2129
4.05518e-008,0.2066
4.05977e-008,0.2163
4.06436e-008,0.2415
4.06895e-008,0.2690
4.07355e-008,0.2920
4.07814e-008,0.2920
4.08273e-008,0.2835
4.08732e-008,0.2741
4.09192e-008,0.2662
4.09651e-008,0.2648
4.10110e-008,0.2627
4.10569e-008,0.2652
4.11029e-008,0.2680
4.11488e-008,0.2663
4.11947e-008,0.2563
4.12407e-008,0.2425
4.12866e-008,0.2317
4.13325e-008,0.2257
4.13784e-008,0.2266
4.14244e-008,0.2301
4.14703e-008,0.2380
4.15162e-008,0.2472
4.15621e-008,0.2522
4.16081e-008,0.2524
4.16540e-008,0.3082
4.16999e-008,0.4729
4.17458e-008,0.6048
4.17918e-008,0.7859
4.18377e-008,0.9509
4.18836e-008,1.0725
4.19295e-008,1.1521
4.19755e-008,1.1915
4.20214e-008,1.2134
4.20673e-008,1.2206
4.21132e-008,1.2190
4.21592e-008,1.2078
4.22051e-008,1.2021
4.22510e-008,1.2073
4.22969e-008,1.2196
4.23429e-008,1.2449
4.23888e-008,1.2625
4.24347e-008,1.2746
4.24806e-008,1.2596
4.25266e-008,1.2226
4.25725e-008,1.1845
4.26184e-008,1.1579
4.26643e-008,1.1677
4.27103e-008,1.1925
4.27562e-008,1.2152
4.28021e-008,1.2240
4.28480e-008,1.2108
4.28940e-008,1.1959
4.29399e-008,1.1872
4.29858e-008,1.1929
4.30317e-008,1.2102
4.30777e-008,1.2295
4.31236e-008,1.2406
4.31695e-008,1.2421
4.32154e-008,1.2394
4.32613e-008,1.2353
4.33073e-008,1.2348
4.33532e-008,1.2320
4.33991e-008,1.2261
4.34450e-008,1.2210
4.34910e-008,1.2176
4.35369e-008,1.2207
4.35828e-008,1.2280
