.HEADER
..NAMES
Time,V U1.T24
.DATA
1.96003e-008,1.1817
1.96428e-008,1.0838
1.96852e-008,0.8585
1.97276e-008,0.6644
1.97701e-008,0.4559
1.98125e-008,0.3286
1.98549e-008,0.2800
1.98973e-008,0.2532
1.99397e-008,0.2602
1.99822e-008,0.2638
2.00246e-008,0.2612
2.00670e-008,0.2814
2.01095e-008,0.3010
2.01519e-008,0.2993
2.01943e-008,0.3019
2.02367e-008,0.2800
2.02792e-008,0.2465
2.03216e-008,0.2357
2.03640e-008,0.2506
2.04064e-008,0.2778
2.04488e-008,0.3014
2.04913e-008,0.3021
2.05337e-008,0.2738
2.05761e-008,0.3120
2.06186e-008,0.4846
2.06610e-008,0.6812
2.07034e-008,0.9280
2.07458e-008,1.0807
2.07882e-008,1.1559
2.08307e-008,1.1961
2.08731e-008,1.2010
2.09155e-008,1.2057
2.09580e-008,1.2151
2.10004e-008,1.2020
2.10428e-008,1.1826
2.10852e-008,1.1767
2.11277e-008,1.1689
2.11701e-008,1.1861
2.12125e-008,1.2173
2.12549e-008,1.2375
2.12973e-008,1.2356
2.13398e-008,1.2112
2.13822e-008,1.1804
2.14246e-008,1.1685
2.14671e-008,1.1861
2.15095e-008,1.2230
2.15519e-008,1.2594
2.15943e-008,1.2747
2.16367e-008,1.2676
2.16792e-008,1.2561
2.17216e-008,1.2494
2.17640e-008,1.2487
2.18064e-008,1.2554
2.18489e-008,1.2598
2.18913e-008,1.2584
2.19337e-008,1.2580
2.19762e-008,1.2592
2.20186e-008,1.2628
2.20610e-008,1.2689
2.21034e-008,1.2717
2.21458e-008,1.2701
2.21883e-008,1.2652
2.22307e-008,1.2584
2.22731e-008,1.2563
2.23156e-008,1.2598
2.23580e-008,1.2651
2.24004e-008,1.2701
2.24428e-008,1.2706
2.24852e-008,1.2656
2.25277e-008,1.2606
2.25701e-008,1.2586
2.26125e-008,1.2598
2.26549e-008,1.2628
2.26974e-008,1.2645
2.27398e-008,1.2641
2.27822e-008,1.2629
2.28247e-008,1.2620
2.28671e-008,1.2624
2.29095e-008,1.2637
2.29519e-008,1.2641
2.29943e-008,1.2636
