.HEADER
..NAMES
Time,V U1.J23
.DATA
2.75763e-008,0.2395
2.76187e-008,0.2312
2.76611e-008,0.2348
2.77035e-008,0.2435
2.77459e-008,0.2554
2.77884e-008,0.2665
2.78308e-008,0.2866
2.78732e-008,0.2986
2.79157e-008,0.2924
2.79581e-008,0.2767
2.80005e-008,0.2478
2.80429e-008,0.2230
2.80854e-008,0.2164
2.81278e-008,0.2188
2.81702e-008,0.2234
2.82126e-008,0.2226
2.82550e-008,0.2175
2.82975e-008,0.2127
2.83399e-008,0.2102
2.83823e-008,0.2130
2.84248e-008,0.2166
2.84672e-008,0.2180
2.85096e-008,0.2189
2.85520e-008,0.2195
2.85944e-008,0.2189
2.86369e-008,0.2170
2.86793e-008,0.2151
2.87217e-008,0.2129
2.87642e-008,0.2108
2.88066e-008,0.2105
2.88490e-008,0.2114
2.88914e-008,0.2131
2.89339e-008,0.2153
2.89763e-008,0.2180
2.90187e-008,0.3295
2.90611e-008,0.5137
2.91035e-008,0.7073
2.91460e-008,0.8965
2.91884e-008,1.0054
2.92308e-008,1.0730
2.92733e-008,1.1138
2.93157e-008,1.1440
2.93581e-008,1.1854
2.94005e-008,1.2059
2.94429e-008,1.2240
2.94854e-008,1.2329
2.95278e-008,1.2343
2.95702e-008,1.2336
2.96127e-008,1.2249
2.96551e-008,1.2159
2.96975e-008,1.1995
2.97399e-008,1.1853
2.97824e-008,1.1831
2.98248e-008,1.1900
2.98672e-008,1.2124
2.99096e-008,1.2224
2.99521e-008,1.0711
2.99945e-008,0.8147
3.00369e-008,0.6232
3.00793e-008,0.4652
3.01218e-008,0.3913
3.01642e-008,0.3567
3.02066e-008,0.3272
3.02490e-008,0.3030
3.02914e-008,0.2615
3.03339e-008,0.2453
3.03763e-008,0.2358
3.04187e-008,0.2272
3.04612e-008,0.2305
3.05036e-008,0.2394
3.05460e-008,0.2537
3.05884e-008,0.2673
3.06309e-008,0.2884
3.06733e-008,0.3055
3.07157e-008,0.2999
3.07581e-008,0.2818
3.08005e-008,0.2503
3.08430e-008,0.2197
3.08854e-008,0.2117
3.09278e-008,0.2175
3.09702e-008,0.2257
3.10127e-008,0.2260
3.10551e-008,0.2181
3.10975e-008,0.2106
3.11400e-008,0.2073
3.11824e-008,0.2113
3.12248e-008,0.2175
3.12672e-008,0.2197
3.13096e-008,0.2197
3.13521e-008,0.2196
3.13945e-008,0.2192
3.14369e-008,0.2176
3.14793e-008,0.2154
3.15218e-008,0.2131
3.15642e-008,0.2104
3.16066e-008,0.2098
3.16491e-008,0.2111
3.16915e-008,0.2130
3.17339e-008,0.2155
3.17763e-008,0.2171
3.18188e-008,0.2169
3.18612e-008,0.2154
3.19036e-008,0.2142
3.19460e-008,0.2145
3.19884e-008,0.2156
3.20309e-008,0.2169
3.20733e-008,0.2172
3.21157e-008,0.2161
3.21582e-008,0.2149
3.22006e-008,0.2144
3.22430e-008,0.2147
3.22854e-008,0.2150
3.23279e-008,0.2152
3.23703e-008,0.2152
3.24127e-008,0.2153
3.24551e-008,0.2156
3.24975e-008,0.2158
3.25400e-008,0.2158
3.25824e-008,0.2156
3.26248e-008,0.2154
3.26672e-008,0.2152
3.27097e-008,0.2152
3.27521e-008,0.2154
3.27945e-008,0.2155
3.28370e-008,0.2155
3.28794e-008,0.2155
3.29218e-008,0.2153
3.29642e-008,0.2152
3.30066e-008,0.2152
3.30491e-008,0.2153
3.30915e-008,0.2155
3.31339e-008,0.2156
3.31763e-008,0.2155
3.32188e-008,0.2154
3.32612e-008,0.2154
