.HEADER
..NAMES
Time,V U1.U26
.DATA
4.11098e-008,0.2566
4.11523e-008,0.2124
4.11947e-008,0.2064
4.12371e-008,0.3442
4.12795e-008,0.5461
4.13220e-008,0.7664
4.13644e-008,0.9541
4.14068e-008,1.0730
4.14492e-008,1.1380
4.14916e-008,1.1638
4.15341e-008,1.1837
4.15765e-008,1.2010
4.16189e-008,1.2151
4.16614e-008,1.2140
4.17038e-008,1.2221
4.17462e-008,1.2291
4.17886e-008,1.2343
4.18311e-008,1.2126
4.18735e-008,1.1908
4.19159e-008,1.1750
4.19583e-008,1.1654
4.20007e-008,1.1763
4.20432e-008,1.2120
4.20856e-008,1.2543
4.21280e-008,1.2739
4.21704e-008,1.2818
4.22129e-008,1.2725
4.22553e-008,1.2593
4.22977e-008,1.2497
4.23402e-008,1.2488
4.23826e-008,1.2538
4.24250e-008,1.2603
4.24674e-008,1.2593
4.25098e-008,1.2585
4.25523e-008,1.2602
4.25947e-008,1.2616
4.26371e-008,1.2592
4.26795e-008,1.2569
4.27220e-008,1.2594
4.27644e-008,1.2598
4.28068e-008,1.2617
4.28493e-008,1.2656
4.28917e-008,1.2693
4.29341e-008,1.2667
4.29765e-008,1.2619
4.30190e-008,1.2584
4.30614e-008,1.2563
4.31038e-008,1.2566
4.31462e-008,1.2590
4.31886e-008,1.2616
4.32311e-008,1.2634
4.32735e-008,1.2622
4.33159e-008,1.2602
4.33584e-008,1.2605
4.34008e-008,1.2611
4.34432e-008,1.2608
4.34856e-008,1.2602
4.35281e-008,1.2611
4.35705e-008,1.2613
4.36129e-008,1.2608
4.36553e-008,1.2611
4.36977e-008,1.2617
4.37402e-008,1.2611
4.37826e-008,1.2600
4.38250e-008,1.2599
4.38675e-008,1.2604
4.39099e-008,1.2608
4.39523e-008,1.2612
4.39947e-008,1.2542
4.40372e-008,1.1389
4.40796e-008,0.9172
4.41220e-008,0.7321
4.41644e-008,0.5501
4.42068e-008,0.4110
4.42493e-008,0.3322
4.42917e-008,0.2967
4.43341e-008,0.2815
4.43765e-008,0.2723
4.44190e-008,0.2555
4.44614e-008,0.2533
4.45038e-008,0.2543
4.45463e-008,0.2517
4.45887e-008,0.2389
4.46311e-008,0.2544
4.46735e-008,0.2889
4.47160e-008,0.2964
4.47584e-008,0.2975
4.48008e-008,0.2981
4.48432e-008,0.2751
4.48856e-008,0.2263
4.49281e-008,0.2023
4.49705e-008,0.1988
4.50129e-008,0.2002
4.50554e-008,0.2093
4.50978e-008,0.2209
4.51402e-008,0.2253
4.51826e-008,0.2255
4.52251e-008,0.2194
4.52675e-008,0.2169
4.53099e-008,0.2206
4.53523e-008,0.2205
