.HEADER
..NAMES
Time,V U1.Y21
.DATA
3.90363e-008,1.1657
3.90822e-008,1.1835
3.91281e-008,1.1843
3.91740e-008,1.1685
3.92199e-008,1.1489
3.92659e-008,1.1443
3.93118e-008,1.1659
3.93577e-008,1.2020
3.94036e-008,1.2383
3.94496e-008,1.2618
3.94955e-008,1.2634
3.95414e-008,1.2437
3.95873e-008,1.2194
3.96333e-008,1.2026
3.96792e-008,1.1973
3.97251e-008,1.2041
3.97710e-008,1.2100
3.98170e-008,1.1263
3.98629e-008,0.9885
3.99088e-008,0.8635
3.99547e-008,0.7066
4.00007e-008,0.5488
4.00466e-008,0.4202
4.00925e-008,0.3365
4.01384e-008,0.2885
4.01844e-008,0.2625
4.02303e-008,0.2498
4.02762e-008,0.2454
4.03221e-008,0.2491
4.03681e-008,0.2577
4.04140e-008,0.2711
4.04599e-008,0.2732
4.05058e-008,0.2717
4.05518e-008,0.2688
4.05977e-008,0.2716
4.06436e-008,0.2925
4.06895e-008,0.3286
4.07355e-008,0.3579
4.07814e-008,0.3741
4.08273e-008,0.3688
4.08732e-008,0.3411
4.09192e-008,0.3110
4.09651e-008,0.2919
4.10110e-008,0.2891
4.10569e-008,0.2998
4.11029e-008,0.3148
4.11488e-008,0.3187
4.11947e-008,0.3024
4.12407e-008,0.2742
4.12866e-008,0.2437
4.13325e-008,0.2212
4.13784e-008,0.2151
4.14244e-008,0.2270
4.14703e-008,0.2446
4.15162e-008,0.2598
4.15621e-008,0.2673
4.16081e-008,0.2670
4.16540e-008,0.2607
4.16999e-008,0.2537
4.17458e-008,0.2477
4.17918e-008,0.2427
4.18377e-008,0.2390
4.18836e-008,0.2359
4.19295e-008,0.2352
4.19755e-008,0.2378
4.20214e-008,0.2440
4.20673e-008,0.2508
4.21132e-008,0.2538
4.21592e-008,0.2508
4.22051e-008,0.2421
4.22510e-008,0.2320
4.22969e-008,0.2266
4.23429e-008,0.2294
4.23888e-008,0.2384
4.24347e-008,0.2495
4.24806e-008,0.2565
4.25266e-008,0.2560
4.25725e-008,0.2492
4.26184e-008,0.2407
4.26643e-008,0.2348
4.27103e-008,0.2344
4.27562e-008,0.2391
4.28021e-008,0.2455
4.28480e-008,0.2503
4.28940e-008,0.2514
4.29399e-008,0.2488
4.29858e-008,0.2446
4.30317e-008,0.2411
4.30777e-008,0.2400
4.31236e-008,0.2409
4.31695e-008,0.2426
4.32154e-008,0.2439
4.32613e-008,0.2444
4.33073e-008,0.2447
4.33532e-008,0.2455
4.33991e-008,0.2467
4.34450e-008,0.2475
4.34910e-008,0.2469
4.35369e-008,0.2615
4.35828e-008,0.4039
4.36287e-008,0.5529
4.36747e-008,0.7189
4.37206e-008,0.8977
4.37665e-008,1.0441
4.38124e-008,1.1262
4.38584e-008,1.1802
4.39043e-008,1.2000
4.39502e-008,1.2124
4.39961e-008,1.2176
4.40421e-008,1.2224
4.40880e-008,1.2264
4.41339e-008,1.2270
4.41798e-008,1.2173
4.42258e-008,1.2138
4.42717e-008,1.2007
4.43176e-008,1.1919
4.43635e-008,1.1796
4.44095e-008,1.1573
4.44554e-008,1.1269
4.45013e-008,1.1118
4.45472e-008,1.1028
4.45932e-008,1.1195
4.46391e-008,1.1516
4.46850e-008,1.1772
4.47309e-008,1.1861
4.47769e-008,1.1778
4.48228e-008,1.1577
4.48687e-008,1.1435
4.49146e-008,1.1527
4.49606e-008,1.1839
4.50065e-008,1.2217
4.50524e-008,1.2530
4.50983e-008,1.2658
4.51443e-008,1.2551
4.51902e-008,1.2306
4.52361e-008,1.2096
4.52821e-008,1.1981
4.53280e-008,1.1997
4.53739e-008,1.2108
4.54198e-008,1.2247
4.54658e-008,1.2335
4.55117e-008,1.2380
4.55576e-008,1.2383
4.56035e-008,1.2368
4.56495e-008,1.2356
4.56954e-008,1.2340
4.57413e-008,1.2315
4.57872e-008,1.2277
4.58332e-008,1.2253
4.58791e-008,1.2263
4.59250e-008,1.2315
4.59709e-008,1.2399
4.60169e-008,1.2469
4.60628e-008,1.2473
4.61087e-008,1.2403
4.61546e-008,1.2291
4.62006e-008,1.2190
4.62465e-008,1.2163
4.62924e-008,1.2225
4.63383e-008,1.2334
4.63843e-008,1.2426
4.64302e-008,1.2453
4.64761e-008,1.2401
4.65220e-008,1.2308
4.65680e-008,1.2231
4.66139e-008,1.2207
4.66598e-008,1.2240
4.67057e-008,1.2304
4.67517e-008,1.2361
4.67976e-008,1.2385
4.68435e-008,1.2371
4.68894e-008,1.2337
4.69354e-008,1.2304
4.69813e-008,1.2286
4.70272e-008,1.2286
4.70731e-008,1.2294
4.71190e-008,1.2299
4.71650e-008,1.2300
4.72109e-008,1.2301
4.72568e-008,1.2309
4.73027e-008,1.2325
4.73487e-008,1.2342
4.73946e-008,1.2345
4.74405e-008,1.2328
4.74864e-008,1.2295
4.75324e-008,1.2266
4.75783e-008,1.2258
4.76242e-008,1.2280
4.76701e-008,1.2320
4.77161e-008,1.2354
4.77620e-008,1.2363
4.78079e-008,1.2342
4.78538e-008,1.2304
4.78998e-008,1.2272
4.79457e-008,1.2262
4.79916e-008,1.2277
4.80375e-008,1.2307
4.80835e-008,1.2332
4.81294e-008,1.2341
4.81753e-008,1.2330
4.82212e-008,1.2311
4.82672e-008,1.2294
4.83131e-008,1.2287
4.83590e-008,1.2293
4.84049e-008,1.2303
4.84509e-008,1.2311
4.84968e-008,1.2313
4.85427e-008,1.2310
4.85886e-008,1.2306
4.86346e-008,1.2307
4.86805e-008,1.2310
4.87264e-008,1.2312
4.87723e-008,1.2310
4.88183e-008,1.2302
4.88642e-008,1.2294
4.89101e-008,1.2291
4.89560e-008,1.2296
4.90020e-008,1.2308
4.90479e-008,1.2319
