.HEADER
..NAMES
Time,V U1.W26
.DATA
1.95579e-008,1.2648
1.96003e-008,1.2625
1.96428e-008,1.2606
1.96852e-008,1.2612
1.97276e-008,1.2630
1.97701e-008,1.2638
1.98125e-008,1.2636
1.98549e-008,1.2632
1.98973e-008,1.2621
1.99397e-008,1.2615
1.99822e-008,1.2629
2.00246e-008,1.2640
2.00670e-008,1.2635
2.01095e-008,1.2289
2.01519e-008,1.0328
2.01943e-008,0.8325
2.02367e-008,0.6517
2.02792e-008,0.4821
2.03216e-008,0.3445
2.03640e-008,0.2703
2.04064e-008,0.2232
2.04488e-008,0.1975
2.04913e-008,0.2015
2.05337e-008,0.2362
2.05761e-008,0.2576
2.06186e-008,0.2767
2.06610e-008,0.2807
2.07034e-008,0.2626
2.07458e-008,0.2673
2.07882e-008,0.2906
2.08307e-008,0.2962
2.08731e-008,0.2912
2.09155e-008,0.2849
2.09580e-008,0.2583
2.10004e-008,0.2138
2.10428e-008,0.1968
2.10852e-008,0.2022
2.11277e-008,0.1999
2.11701e-008,0.2021
2.12125e-008,0.2122
2.12549e-008,0.2190
2.12973e-008,0.2200
2.13398e-008,0.2265
2.13822e-008,0.2328
2.14246e-008,0.2269
2.14671e-008,0.2192
2.15095e-008,0.2132
2.15519e-008,0.2086
2.15943e-008,0.2124
2.16367e-008,0.2177
2.16792e-008,0.2165
2.17216e-008,0.2142
2.17640e-008,0.2141
2.18064e-008,0.2118
2.18489e-008,0.2097
2.18913e-008,0.2156
2.19337e-008,0.2205
2.19762e-008,0.2223
2.20186e-008,0.3365
2.20610e-008,0.5108
2.21034e-008,0.7041
2.21458e-008,0.8884
2.21883e-008,1.0407
2.22307e-008,1.1378
2.22731e-008,1.2061
2.23156e-008,1.2462
2.23580e-008,1.2661
2.24004e-008,1.2514
2.24428e-008,1.2334
2.24852e-008,1.2089
2.25277e-008,1.1973
2.25701e-008,1.2067
2.26125e-008,1.2128
2.26549e-008,1.2023
2.26974e-008,1.1917
