.HEADER
..NAMES
Time,V U1.L20
.DATA
4.28940e-008,0.2469
4.29399e-008,0.2464
4.29858e-008,0.2448
4.30317e-008,0.2426
4.30777e-008,0.2404
4.31236e-008,0.2391
4.31695e-008,0.2394
4.32154e-008,0.2412
4.32613e-008,0.2439
4.33073e-008,0.2464
4.33532e-008,0.2474
4.33991e-008,0.2465
4.34450e-008,0.2442
4.34910e-008,0.2416
4.35369e-008,0.2399
4.35828e-008,0.2398
4.36287e-008,0.2413
4.36747e-008,0.2436
4.37206e-008,0.2454
4.37665e-008,0.2461
4.38124e-008,0.2454
4.38584e-008,0.2439
4.39043e-008,0.2424
4.39502e-008,0.2415
4.39961e-008,0.2416
4.40421e-008,0.2423
4.40880e-008,0.2432
4.41339e-008,0.2441
4.41798e-008,0.2445
4.42258e-008,0.2445
4.42717e-008,0.2442
4.43176e-008,0.2436
4.43635e-008,0.2429
4.44095e-008,0.2425
4.44554e-008,0.2423
4.45013e-008,0.2427
4.45472e-008,0.2433
4.45932e-008,0.2440
4.46391e-008,0.2445
4.46850e-008,0.2445
4.47309e-008,0.2440
4.47769e-008,0.2432
4.48228e-008,0.2426
4.48687e-008,0.2424
4.49146e-008,0.2427
4.49606e-008,0.2434
4.50065e-008,0.2440
4.50524e-008,0.2443
4.50983e-008,0.2442
4.51443e-008,0.2439
4.51902e-008,0.2434
4.52361e-008,0.2430
4.52821e-008,0.2429
4.53280e-008,0.2431
4.53739e-008,0.2434
4.54198e-008,0.2437
4.54658e-008,0.2439
4.55117e-008,0.2439
4.55576e-008,0.2438
4.56035e-008,0.2437
4.56495e-008,0.2435
4.56954e-008,0.2433
4.57413e-008,0.2433
4.57872e-008,0.2433
4.58332e-008,0.2435
4.58791e-008,0.2437
4.59250e-008,0.2439
4.59709e-008,0.2439
4.60169e-008,0.2438
4.60628e-008,0.2436
4.61087e-008,0.2434
4.61546e-008,0.2433
4.62006e-008,0.2433
4.62465e-008,0.2435
4.62924e-008,0.2437
4.63383e-008,0.2438
4.63843e-008,0.2439
4.64302e-008,0.2438
4.64761e-008,0.2436
4.65220e-008,0.2435
4.65680e-008,0.2435
4.66139e-008,0.2435
4.66598e-008,0.2436
4.67057e-008,0.2437
4.67517e-008,0.2437
4.67976e-008,0.2438
4.68435e-008,0.2438
4.68894e-008,0.2437
4.69354e-008,0.2437
4.69813e-008,0.2436
4.70272e-008,0.2436
4.70731e-008,0.2436
4.71190e-008,0.2436
4.71650e-008,0.2437
4.72109e-008,0.2438
4.72568e-008,0.2438
4.73027e-008,0.2438
4.73487e-008,0.2437
4.73946e-008,0.2437
4.74405e-008,0.2436
4.74864e-008,0.2436
4.75324e-008,0.2437
4.75783e-008,0.2437
4.76242e-008,0.2438
4.76701e-008,0.2438
4.77161e-008,0.2438
4.77620e-008,0.2437
4.78079e-008,0.2437
4.78538e-008,0.2437
4.78998e-008,0.2437
4.79457e-008,0.2437
4.79916e-008,0.2437
4.80375e-008,0.2438
4.80835e-008,0.2438
4.81294e-008,0.2438
4.81753e-008,0.2438
4.82212e-008,0.2437
4.82672e-008,0.2437
4.83131e-008,0.2437
4.83590e-008,0.2437
4.84049e-008,0.2437
4.84509e-008,0.2438
4.84968e-008,0.2438
4.85427e-008,0.2438
4.85886e-008,0.2438
4.86346e-008,0.2438
4.86805e-008,0.2438
4.87264e-008,0.2437
4.87723e-008,0.2437
4.88183e-008,0.2438
4.88642e-008,0.2438
4.89101e-008,0.2438
4.89560e-008,0.2438
4.90020e-008,0.2438
4.90479e-008,0.2438
4.90938e-008,0.2438
