.HEADER
..NAMES
Time,V U1.N24
.DATA
1.88791e-008,1.2604
1.89216e-008,1.2579
1.89640e-008,1.2590
1.90064e-008,1.2614
1.90488e-008,1.2624
1.90912e-008,1.2626
1.91337e-008,1.2618
1.91761e-008,1.2609
1.92185e-008,1.2610
1.92610e-008,1.2615
1.93034e-008,1.2624
1.93458e-008,1.2632
1.93882e-008,1.2631
1.94307e-008,1.2626
1.94731e-008,1.2618
1.95155e-008,1.2610
1.95579e-008,1.2606
1.96003e-008,1.2610
1.96428e-008,1.2618
1.96852e-008,1.2623
1.97276e-008,1.2625
1.97701e-008,1.2624
1.98125e-008,1.2619
1.98549e-008,1.2616
1.98973e-008,1.2617
1.99397e-008,1.2619
1.99822e-008,1.2621
2.00246e-008,1.2621
2.00670e-008,1.2561
2.01095e-008,1.1458
2.01519e-008,0.9123
2.01943e-008,0.7335
2.02367e-008,0.5493
2.02792e-008,0.4109
2.03216e-008,0.3435
2.03640e-008,0.3063
2.04064e-008,0.2876
2.04488e-008,0.2687
2.04913e-008,0.2494
2.05337e-008,0.2348
2.05761e-008,0.2354
2.06186e-008,0.2518
2.06610e-008,0.2802
2.07034e-008,0.3131
2.07458e-008,0.3282
2.07882e-008,0.3067
2.08307e-008,0.2768
2.08731e-008,0.2406
2.09155e-008,0.2093
2.09580e-008,0.2072
2.10004e-008,0.2147
2.10428e-008,0.2183
2.10852e-008,0.2228
2.11277e-008,0.2214
2.11701e-008,0.2169
2.12125e-008,0.2152
2.12549e-008,0.2157
2.12973e-008,0.2195
2.13398e-008,0.2234
2.13822e-008,0.2243
2.14246e-008,0.2216
2.14671e-008,0.2163
2.15095e-008,0.2101
2.15519e-008,0.2060
2.15943e-008,0.2077
2.16367e-008,0.2125
2.16792e-008,0.2164
2.17216e-008,0.2199
2.17640e-008,0.2202
2.18064e-008,0.2173
2.18489e-008,0.2159
2.18913e-008,0.2157
2.19337e-008,0.2161
2.19762e-008,0.2171
2.20186e-008,0.2176
2.20610e-008,0.2173
2.21034e-008,0.2164
2.21458e-008,0.2153
2.21883e-008,0.2149
2.22307e-008,0.2152
2.22731e-008,0.2161
2.23156e-008,0.2171
2.23580e-008,0.2178
2.24004e-008,0.2177
2.24428e-008,0.2169
2.24852e-008,0.2162
2.25277e-008,0.2159
2.25701e-008,0.2158
2.26125e-008,0.2163
2.26549e-008,0.2167
2.26974e-008,0.2167
2.27398e-008,0.2165
2.27822e-008,0.2163
2.28247e-008,0.2162
2.28671e-008,0.2162
2.29095e-008,0.2164
2.29519e-008,0.2166
2.29943e-008,0.2168
2.30368e-008,0.2167
2.30792e-008,0.2166
2.31216e-008,0.2164
2.31641e-008,0.2163
2.32065e-008,0.2163
2.32489e-008,0.2164
2.32913e-008,0.2166
2.33338e-008,0.2166
2.33762e-008,0.2166
2.34186e-008,0.2165
2.34610e-008,0.2164
2.35034e-008,0.2164
2.35459e-008,0.2165
2.35883e-008,0.2165
2.36307e-008,0.2166
2.36732e-008,0.2166
2.37156e-008,0.2165
2.37580e-008,0.2165
2.38004e-008,0.2165
2.38428e-008,0.2165
2.38853e-008,0.2165
2.39277e-008,0.2166
2.39701e-008,0.2166
2.40126e-008,0.2166
2.40550e-008,0.2166
2.40974e-008,0.2165
2.41398e-008,0.2165
2.41823e-008,0.2165
2.42247e-008,0.2166
2.42671e-008,0.2166
2.43095e-008,0.2166
2.43519e-008,0.2166
2.43944e-008,0.2166
2.44368e-008,0.2166
2.44792e-008,0.2166
2.45217e-008,0.2166
2.45641e-008,0.2166
2.46065e-008,0.2166
2.46489e-008,0.2166
2.46913e-008,0.2166
2.47338e-008,0.2166
2.47762e-008,0.2166
2.48186e-008,0.2166
2.48611e-008,0.2166
2.49035e-008,0.2166
2.49459e-008,0.2166
2.49883e-008,0.2166
2.50308e-008,0.2166
2.50732e-008,0.2166
2.51156e-008,0.2166
2.51580e-008,0.2166
2.52004e-008,0.2166
2.52429e-008,0.2166
2.52853e-008,0.2166
2.53277e-008,0.2166
2.53702e-008,0.2166
2.54126e-008,0.2166
2.54550e-008,0.2166
2.54974e-008,0.2166
2.55398e-008,0.2166
2.55823e-008,0.2166
2.56247e-008,0.2166
2.56671e-008,0.2166
2.57096e-008,0.2166
2.57520e-008,0.2166
2.57944e-008,0.2166
2.58368e-008,0.2166
2.58793e-008,0.2166
2.59217e-008,0.2166
2.59641e-008,0.2167
2.60065e-008,0.2167
2.60489e-008,0.2167
2.60914e-008,0.2167
2.61338e-008,0.2167
2.61762e-008,0.2167
2.62187e-008,0.2167
2.62611e-008,0.2167
2.63035e-008,0.2167
2.63459e-008,0.2167
2.63883e-008,0.2167
2.64308e-008,0.2167
2.64732e-008,0.2167
2.65156e-008,0.2167
2.65580e-008,0.2167
2.66005e-008,0.2167
2.66429e-008,0.2186
2.66853e-008,0.3387
2.67278e-008,0.5195
2.67702e-008,0.7158
2.68126e-008,0.9055
2.68550e-008,1.0326
2.68974e-008,1.1035
2.69399e-008,1.1473
2.69823e-008,1.1690
2.70247e-008,1.1970
2.70672e-008,1.2170
2.71096e-008,1.2331
2.71520e-008,1.2350
2.71944e-008,1.2216
2.72368e-008,1.1962
2.72793e-008,1.1651
2.73217e-008,1.1549
2.73641e-008,1.1690
2.74065e-008,1.1964
2.74490e-008,1.2344
2.74914e-008,1.2589
2.75338e-008,1.2619
2.75763e-008,1.2582
2.76187e-008,1.2517
2.76611e-008,1.2497
2.77035e-008,1.2544
2.77459e-008,1.2589
2.77884e-008,1.2616
2.78308e-008,1.2610
2.78732e-008,1.2575
2.79157e-008,1.2548
2.79581e-008,1.2544
2.80005e-008,1.2572
2.80429e-008,1.2624
2.80854e-008,1.2684
2.81278e-008,1.2716
2.81702e-008,1.2699
2.82126e-008,1.2659
2.82550e-008,1.2614
2.82975e-008,1.2582
2.83399e-008,1.2589
2.83823e-008,1.2611
2.84248e-008,1.2627
2.84672e-008,1.2633
2.85096e-008,1.2535
2.85520e-008,1.1204
2.85944e-008,0.8879
2.86369e-008,0.7101
2.86793e-008,0.5312
2.87217e-008,0.4000
2.87642e-008,0.3396
2.88066e-008,0.3035
2.88490e-008,0.2866
2.88914e-008,0.2656
2.89339e-008,0.2464
2.89763e-008,0.2332
2.90187e-008,0.2366
2.90611e-008,0.2553
2.91035e-008,0.2848
2.91460e-008,0.3175
2.91884e-008,0.3276
2.92308e-008,0.3033
2.92733e-008,0.2731
2.93157e-008,0.2362
2.93581e-008,0.2080
2.94005e-008,0.2087
2.94429e-008,0.2156
2.94854e-008,0.3132
2.95278e-008,0.5153
2.95702e-008,0.6955
2.96127e-008,0.8934
2.96551e-008,1.0232
2.96975e-008,1.0953
2.97399e-008,1.1465
2.97824e-008,1.1737
2.98248e-008,1.2010
2.98672e-008,1.2192
2.99096e-008,1.2311
2.99521e-008,1.2288
2.99945e-008,1.2135
3.00369e-008,1.1910
3.00793e-008,1.1637
3.01218e-008,1.1516
3.01642e-008,1.1704
3.02066e-008,1.1967
3.02490e-008,1.2308
3.02914e-008,1.2586
3.03339e-008,1.2614
3.03763e-008,1.2569
3.04187e-008,1.2527
3.04612e-008,1.2502
3.05036e-008,1.2543
3.05460e-008,1.2585
3.05884e-008,1.2599
3.06309e-008,1.2597
3.06733e-008,1.2567
3.07157e-008,1.2546
3.07581e-008,1.2549
3.08005e-008,1.2581
3.08430e-008,1.2629
3.08854e-008,1.2680
3.09278e-008,1.2715
3.09702e-008,1.2697
3.10127e-008,1.2654
3.10551e-008,1.2616
3.10975e-008,1.2585
3.11400e-008,1.2586
3.11824e-008,1.2611
3.12248e-008,1.2625
3.12672e-008,1.2629
3.13096e-008,1.2623
3.13521e-008,1.2612
3.13945e-008,1.2611
3.14369e-008,1.2616
3.14793e-008,1.2624
3.15218e-008,1.2632
3.15642e-008,1.2634
3.16066e-008,1.2630
3.16491e-008,1.2622
3.16915e-008,1.2614
3.17339e-008,1.2608
3.17763e-008,1.2610
3.18188e-008,1.2618
3.18612e-008,1.2624
3.19036e-008,1.2627
3.19460e-008,1.2626
3.19884e-008,1.2622
3.20309e-008,1.2618
3.20733e-008,1.2618
3.21157e-008,1.2620
3.21582e-008,1.2623
3.22006e-008,1.2623
3.22430e-008,1.2613
3.22854e-008,1.1995
3.23279e-008,0.9737
3.23703e-008,0.7834
3.24127e-008,0.5944
3.24551e-008,0.4432
3.24975e-008,0.3560
3.25400e-008,0.3156
3.25824e-008,0.2905
3.26248e-008,0.2752
3.26672e-008,0.2544
3.27097e-008,0.2378
3.27521e-008,0.2334
3.27945e-008,0.2460
3.28370e-008,0.2720
3.28794e-008,0.3043
3.29218e-008,0.3284
3.29642e-008,0.3146
3.30066e-008,0.2854
3.30491e-008,0.2515
3.30915e-008,0.2155
3.31339e-008,0.2055
3.31763e-008,0.2133
3.32188e-008,0.2473
3.32612e-008,0.4359
3.33036e-008,0.6212
3.33461e-008,0.8267
3.33885e-008,0.9778
3.34309e-008,1.0719
3.34733e-008,1.1283
3.35158e-008,1.1661
3.35582e-008,1.1891
3.36006e-008,1.2131
3.36430e-008,1.2277
3.36854e-008,1.2319
3.37279e-008,1.2208
3.37703e-008,1.1998
3.38127e-008,1.1746
3.38552e-008,1.1518
3.38976e-008,1.1610
3.39400e-008,1.1856
3.39824e-008,1.2164
3.40249e-008,1.2504
3.40673e-008,1.2624
3.41097e-008,1.2583
3.41521e-008,1.2045
3.41945e-008,0.9644
3.42370e-008,0.7550
3.42794e-008,0.5801
3.43218e-008,0.4381
3.43643e-008,0.3515
3.44067e-008,0.3118
3.44491e-008,0.2828
3.44915e-008,0.2683
3.45340e-008,0.2479
3.45764e-008,0.2361
3.46188e-008,0.2362
3.46612e-008,0.2544
3.47036e-008,0.2818
3.47461e-008,0.3105
3.47885e-008,0.3321
3.48309e-008,0.3144
3.48733e-008,0.2792
3.49158e-008,0.2472
3.49582e-008,0.2139
3.50006e-008,0.2045
3.50431e-008,0.2151
3.50855e-008,0.2280
3.51279e-008,0.3921
3.51703e-008,0.5841
3.52128e-008,0.7818
3.52552e-008,0.9501
3.52976e-008,1.0590
3.53400e-008,1.1202
3.53824e-008,1.1619
3.54249e-008,1.1827
3.54673e-008,1.2078
3.55097e-008,1.2222
3.55522e-008,1.2300
3.55946e-008,1.2229
3.56370e-008,1.2052
3.56794e-008,1.1824
3.57219e-008,1.1564
3.57643e-008,1.1579
3.58067e-008,1.1800
3.58491e-008,1.2083
3.58915e-008,1.2438
3.59340e-008,1.2620
3.59764e-008,1.2596
3.60188e-008,1.2558
3.60613e-008,1.2511
3.61037e-008,1.2508
3.61461e-008,1.2559
3.61885e-008,1.2588
3.62310e-008,1.2600
3.62734e-008,1.2589
3.63158e-008,1.2559
3.63582e-008,1.2547
3.64006e-008,1.2559
3.64431e-008,1.2597
3.64855e-008,1.2646
3.65279e-008,1.2695
3.65703e-008,1.2712
3.66128e-008,1.2680
3.66552e-008,1.2639
3.66976e-008,1.2602
3.67401e-008,1.2579
3.67825e-008,1.2594
3.68249e-008,1.2617
3.68673e-008,1.2626
3.69097e-008,1.2628
3.69522e-008,1.2495
3.69946e-008,1.0933
3.70370e-008,0.8658
3.70794e-008,0.6867
3.71219e-008,0.5129
3.71643e-008,0.3887
3.72067e-008,0.3336
3.72492e-008,0.2996
3.72916e-008,0.2845
3.73340e-008,0.2628
3.73764e-008,0.2443
3.74189e-008,0.2326
3.74613e-008,0.2382
3.75037e-008,0.2584
