.HEADER
..NAMES
Time,V U1.P26
.DATA
3.19460e-008,0.2891
3.19884e-008,0.4781
3.20309e-008,0.6626
3.20733e-008,0.8062
3.21157e-008,0.8888
3.21582e-008,0.9264
3.22006e-008,0.9171
3.22430e-008,0.8966
3.22854e-008,0.8850
3.23279e-008,0.8930
3.23703e-008,0.9065
3.24127e-008,0.9197
3.24551e-008,0.9125
3.24975e-008,0.8980
3.25400e-008,0.9090
3.25824e-008,0.9743
3.26248e-008,1.0992
3.26672e-008,1.2609
3.27097e-008,1.4193
3.27521e-008,1.4729
3.27945e-008,1.2597
3.28370e-008,1.0045
3.28794e-008,0.8001
3.29218e-008,0.6411
3.29642e-008,0.5662
3.30066e-008,0.5407
3.30491e-008,0.5752
3.30915e-008,0.6584
3.31339e-008,0.7339
3.31763e-008,0.7449
3.32188e-008,0.7448
3.32612e-008,0.7235
3.33036e-008,0.6827
3.33461e-008,0.6720
3.33885e-008,0.7005
3.34309e-008,0.6324
3.34733e-008,0.4468
3.35158e-008,0.2121
3.35582e-008,-0.0142
3.36006e-008,-0.1834
3.36430e-008,-0.2306
3.36854e-008,-0.1901
3.37279e-008,0.0512
3.37703e-008,0.3143
3.38127e-008,0.4718
3.38552e-008,0.5855
3.38976e-008,0.6243
3.39400e-008,0.6103
3.39824e-008,0.5633
3.40249e-008,0.5396
3.40673e-008,0.5405
3.41097e-008,0.6003
3.41521e-008,0.6694
3.41945e-008,0.7262
3.42370e-008,0.7505
3.42794e-008,0.7592
3.43218e-008,0.7486
3.43643e-008,0.8226
3.44067e-008,0.9945
3.44491e-008,1.1903
3.44915e-008,1.3535
3.45340e-008,1.4656
3.45764e-008,1.4931
3.46188e-008,1.4138
3.46612e-008,1.1657
3.47036e-008,0.9010
3.47461e-008,0.7689
3.47885e-008,0.6865
3.48309e-008,0.6621
3.48733e-008,0.6751
3.49158e-008,0.7086
3.49582e-008,0.7244
3.50006e-008,0.7078
3.50431e-008,0.6466
3.50855e-008,0.6075
3.51279e-008,0.5957
3.51703e-008,0.6016
3.52128e-008,0.6161
3.52552e-008,0.6362
3.52976e-008,0.5557
3.53400e-008,0.3656
3.53824e-008,0.1594
3.54249e-008,-0.0095
3.54673e-008,-0.1269
3.55097e-008,-0.1650
3.55522e-008,-0.1339
3.55946e-008,-0.0960
3.56370e-008,-0.0654
3.56794e-008,-0.0642
3.57219e-008,-0.0802
3.57643e-008,-0.0927
3.58067e-008,-0.1146
3.58491e-008,-0.1431
3.58915e-008,-0.1344
3.59340e-008,-0.1007
3.59764e-008,-0.0752
3.60188e-008,-0.0591
3.60613e-008,-0.0504
3.61037e-008,-0.0632
3.61461e-008,-0.0732
3.61885e-008,-0.0510
3.62310e-008,-0.0033
3.62734e-008,0.0492
3.63158e-008,0.0867
3.63582e-008,0.1012
3.64006e-008,0.0967
3.64431e-008,0.0801
3.64855e-008,0.0494
3.65279e-008,0.0239
3.65703e-008,0.0187
3.66128e-008,0.0222
3.66552e-008,0.0304
3.66976e-008,0.0513
3.67401e-008,0.0696
3.67825e-008,0.0702
3.68249e-008,0.0576
3.68673e-008,0.0396
3.69097e-008,0.0241
3.69522e-008,0.0192
3.69946e-008,0.0219
3.70370e-008,0.0238
3.70794e-008,0.0195
3.71219e-008,0.0032
3.71643e-008,-0.0189
3.72067e-008,-0.0336
3.72492e-008,-0.0393
3.72916e-008,-0.0408
3.73340e-008,-0.0344
3.73764e-008,-0.0204
3.74189e-008,-0.0082
3.74613e-008,-0.0022
3.75037e-008,-0.0020
3.75461e-008,-0.0090
3.75885e-008,-0.0207
3.76310e-008,-0.0312
3.76734e-008,-0.0355
3.77158e-008,-0.0303
3.77583e-008,-0.0191
3.78007e-008,-0.0103
3.78431e-008,-0.0059
3.78855e-008,-0.0044
3.79280e-008,-0.0055
3.79704e-008,-0.0051
3.80128e-008,0.0002
3.80552e-008,0.0073
3.80976e-008,0.0122
3.81401e-008,0.0155
3.81825e-008,0.0168
3.82249e-008,0.0149
3.82673e-008,0.0101
3.83098e-008,0.0040
3.83522e-008,-0.0005
3.83946e-008,-0.0007
3.84371e-008,0.0029
3.84795e-008,0.0086
