.HEADER
..NAMES
Time,V U1.T24
.DATA
2.26974e-008,1.2623
2.27398e-008,1.2635
2.27822e-008,1.2642
2.28247e-008,1.2641
2.28671e-008,1.2630
2.29095e-008,1.2620
2.29519e-008,1.2617
2.29943e-008,1.2623
2.30368e-008,1.2632
2.30792e-008,1.2637
2.31216e-008,1.2634
2.31641e-008,1.2628
2.32065e-008,1.2625
2.32489e-008,1.2625
2.32913e-008,1.2629
2.33338e-008,1.2632
2.33762e-008,1.2631
2.34186e-008,1.2628
2.34610e-008,1.2626
2.35034e-008,1.2626
2.35459e-008,1.2628
2.35883e-008,1.2630
2.36307e-008,1.2631
2.36732e-008,1.2630
2.37156e-008,1.2628
2.37580e-008,1.2626
2.38004e-008,1.2626
2.38428e-008,1.2627
2.38853e-008,1.2629
2.39277e-008,1.2631
2.39701e-008,1.2630
2.40126e-008,1.2628
2.40550e-008,1.2627
2.40974e-008,1.2627
2.41398e-008,1.2628
2.41823e-008,1.2629
2.42247e-008,1.2629
2.42671e-008,1.2628
2.43095e-008,1.2627
2.43519e-008,1.2627
2.43944e-008,1.2628
2.44368e-008,1.2629
2.44792e-008,1.2629
2.45217e-008,1.2628
2.45641e-008,1.2628
2.46065e-008,1.2627
2.46489e-008,1.2628
2.46913e-008,1.2628
2.47338e-008,1.2628
2.47762e-008,1.2353
2.48186e-008,1.0280
2.48611e-008,0.8097
2.49035e-008,0.6061
2.49459e-008,0.4330
2.49883e-008,0.3302
2.50308e-008,0.2871
2.50732e-008,0.2609
2.51156e-008,0.2689
2.51580e-008,0.2635
2.52004e-008,0.2705
2.52429e-008,0.2940
2.52853e-008,0.2995
2.53277e-008,0.2960
2.53702e-008,0.2894
2.54126e-008,0.2615
2.54550e-008,0.2377
2.54974e-008,0.2439
2.55398e-008,0.2651
2.55823e-008,0.2888
2.56247e-008,0.3009
2.56671e-008,0.2887
2.57096e-008,0.2550
2.57520e-008,0.2235
2.57944e-008,0.2062
2.58368e-008,0.2073
2.58793e-008,0.2164
2.59217e-008,0.2208
2.59641e-008,0.2244
2.60065e-008,0.2245
2.60489e-008,0.2197
2.60914e-008,0.2203
2.61338e-008,0.2221
2.61762e-008,0.2185
2.62187e-008,0.2156
2.62611e-008,0.2121
2.63035e-008,0.2081
2.63459e-008,0.2094
2.63883e-008,0.2138
2.64308e-008,0.2189
2.64732e-008,0.2220
2.65156e-008,0.2192
2.65580e-008,0.2146
2.66005e-008,0.2112
2.66429e-008,0.2110
2.66853e-008,0.3342
2.67278e-008,0.5259
2.67702e-008,0.7355
2.68126e-008,0.9398
2.68550e-008,1.0699
2.68974e-008,1.1398
2.69399e-008,1.1817
2.69823e-008,1.1904
2.70247e-008,1.2067
2.70672e-008,1.2066
2.71096e-008,1.1925
2.71520e-008,1.1820
2.71944e-008,1.1787
2.72368e-008,1.1804
2.72793e-008,1.2021
2.73217e-008,1.2262
2.73641e-008,1.2337
2.74065e-008,1.2233
2.74490e-008,1.1995
2.74914e-008,1.1793
2.75338e-008,1.1785
2.75763e-008,1.1849
2.76187e-008,1.0457
2.76611e-008,0.8162
2.77035e-008,0.6191
2.77459e-008,0.4269
2.77884e-008,0.3168
2.78308e-008,0.2770
2.78732e-008,0.2519
2.79157e-008,0.2630
2.79581e-008,0.2611
2.80005e-008,0.2624
2.80429e-008,0.2866
2.80854e-008,0.3020
2.81278e-008,0.2994
2.81702e-008,0.2991
2.82126e-008,0.2726
2.82550e-008,0.2409
2.82975e-008,0.2370
2.83399e-008,0.2560
2.83823e-008,0.2842
2.84248e-008,0.3039
2.84672e-008,0.2984
2.85096e-008,0.2655
2.85520e-008,0.2278
2.85944e-008,0.2036
2.86369e-008,0.2020
2.86793e-008,0.2139
2.87217e-008,0.2216
2.87642e-008,0.2252
2.88066e-008,0.2258
2.88490e-008,0.2202
2.88914e-008,0.2188
2.89339e-008,0.2220
2.89763e-008,0.2199
2.90187e-008,0.2168
2.90611e-008,0.2133
2.91035e-008,0.2082
2.91460e-008,0.2078
2.91884e-008,0.2119
2.92308e-008,0.2177
2.92733e-008,0.2227
