.HEADER
..NAMES
Time,V U1.P24
.DATA
2.10004e-008,0.2169
2.10428e-008,0.2848
2.10852e-008,0.4649
2.11277e-008,0.6533
2.11701e-008,0.8856
2.12125e-008,1.0367
2.12549e-008,1.1198
2.12973e-008,1.1675
2.13398e-008,1.1793
2.13822e-008,1.1974
2.14246e-008,1.2060
2.14671e-008,1.2117
2.15095e-008,1.2192
2.15519e-008,1.2309
2.15943e-008,1.2399
2.16367e-008,1.2461
2.16792e-008,1.2379
2.17216e-008,1.2205
2.17640e-008,1.1960
2.18064e-008,1.1733
2.18489e-008,1.1724
2.18913e-008,1.1856
2.19337e-008,1.2098
2.19762e-008,1.1376
2.20186e-008,0.8891
2.20610e-008,0.6792
2.21034e-008,0.4645
2.21458e-008,0.3330
2.21883e-008,0.2863
2.22307e-008,0.2648
2.22731e-008,0.2698
2.23156e-008,0.2702
2.23580e-008,0.2641
2.24004e-008,0.2619
2.24428e-008,0.2551
2.24852e-008,0.2368
2.25277e-008,0.2271
2.25701e-008,0.2238
2.26125e-008,0.2406
2.26549e-008,0.2666
2.26974e-008,0.2967
2.27398e-008,0.3222
2.27822e-008,0.3147
2.28247e-008,0.2873
2.28671e-008,0.2502
2.29095e-008,0.2630
2.29519e-008,0.4529
2.29943e-008,0.6667
2.30368e-008,0.9215
2.30792e-008,1.0806
2.31216e-008,1.1521
2.31641e-008,1.1829
2.32065e-008,1.1872
2.32489e-008,1.1943
2.32913e-008,1.2053
2.33338e-008,1.2118
2.33762e-008,1.2177
2.34186e-008,1.2331
2.34610e-008,1.2442
2.35034e-008,1.2544
2.35459e-008,1.2437
2.35883e-008,1.2204
2.36307e-008,1.1905
2.36732e-008,1.1616
2.37156e-008,1.1595
2.37580e-008,1.1789
2.38004e-008,1.2130
2.38428e-008,1.1862
2.38853e-008,0.9466
2.39277e-008,0.7189
2.39701e-008,0.4937
2.40126e-008,0.3452
2.40550e-008,0.2863
2.40974e-008,0.2679
2.41398e-008,0.2682
2.41823e-008,0.2745
2.42247e-008,0.2663
2.42671e-008,0.2623
2.43095e-008,0.2579
2.43519e-008,0.2388
2.43944e-008,0.2280
2.44368e-008,0.2212
2.44792e-008,0.2354
2.45217e-008,0.2616
2.45641e-008,0.2923
2.46065e-008,0.3216
2.46489e-008,0.3204
2.46913e-008,0.2937
2.47338e-008,0.2567
2.47762e-008,0.2384
2.48186e-008,0.4073
2.48611e-008,0.6252
2.49035e-008,0.8782
2.49459e-008,1.0572
2.49883e-008,1.1446
2.50308e-008,1.1789
2.50732e-008,1.1886
2.51156e-008,1.1899
2.51580e-008,1.2037
2.52004e-008,1.2108
2.52429e-008,1.2156
2.52853e-008,1.2306
2.53277e-008,1.2415
2.53702e-008,1.2544
2.54126e-008,1.2470
2.54550e-008,1.2256
