.HEADER
..NAMES
Time,V U1.W26
.DATA
4.18735e-008,1.1981
4.19159e-008,1.1850
4.19583e-008,1.1782
4.20007e-008,1.1810
4.20432e-008,1.2071
4.20856e-008,1.2520
4.21280e-008,1.2556
4.21704e-008,1.0825
4.22129e-008,0.8452
4.22553e-008,0.6538
4.22977e-008,0.4862
4.23402e-008,0.3441
4.23826e-008,0.2678
4.24250e-008,0.2110
4.24674e-008,0.1791
4.25098e-008,0.1813
4.25523e-008,0.2264
4.25947e-008,0.2624
4.26371e-008,0.2890
4.26795e-008,0.2905
4.27220e-008,0.2650
4.27644e-008,0.2579
4.28068e-008,0.2874
4.28493e-008,0.3025
4.28917e-008,0.3000
4.29341e-008,0.2916
4.29765e-008,0.2638
4.30190e-008,0.2126
4.30614e-008,0.1883
4.31038e-008,0.3100
4.31462e-008,0.5121
4.31886e-008,0.7096
4.32311e-008,0.9026
4.32735e-008,1.0558
4.33159e-008,1.1497
4.33584e-008,1.2272
4.34008e-008,1.2737
4.34432e-008,1.2879
4.34856e-008,1.2557
4.35281e-008,1.2220
4.35705e-008,1.1921
4.36129e-008,1.1867
4.36553e-008,1.2080
4.36977e-008,1.2203
4.37402e-008,1.2015
4.37826e-008,1.1851
4.38250e-008,1.1764
4.38675e-008,1.1786
4.39099e-008,1.2018
4.39523e-008,1.2468
4.39947e-008,1.2739
4.40372e-008,1.2747
4.40796e-008,1.2743
4.41220e-008,1.2710
4.41644e-008,1.2649
4.42068e-008,1.2618
4.42493e-008,1.2600
4.42917e-008,1.2528
4.43341e-008,1.2435
4.43765e-008,1.2461
4.44190e-008,1.2553
4.44614e-008,1.2652
4.45038e-008,1.2732
4.45463e-008,1.2708
4.45887e-008,1.2630
4.46311e-008,1.2604
4.46735e-008,1.2625
4.47160e-008,1.2650
4.47584e-008,1.2682
4.48008e-008,1.2703
4.48432e-008,1.2652
4.48856e-008,1.2591
4.49281e-008,1.2596
4.49705e-008,1.2617
4.50129e-008,1.2621
4.50554e-008,1.2624
4.50978e-008,1.2626
4.51402e-008,1.2611
4.51826e-008,1.2606
4.52251e-008,1.2638
4.52675e-008,1.2660
4.53099e-008,1.2656
4.53523e-008,1.2639
