.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
2.89359e-008,0.3360
2.89784e-008,0.3254
2.90208e-008,0.3054
2.90632e-008,0.2960
2.91056e-008,0.2989
2.91480e-008,0.3004
2.91905e-008,0.2976
2.92329e-008,0.2761
2.92753e-008,0.2467
2.93178e-008,0.2289
2.93602e-008,0.2202
2.94026e-008,0.2196
2.94450e-008,0.2280
2.94875e-008,0.3466
2.95299e-008,0.5094
2.95723e-008,0.6953
2.96147e-008,0.8733
2.96571e-008,1.0088
2.96996e-008,1.0846
2.97420e-008,1.1242
2.97844e-008,1.1504
2.98269e-008,1.1501
2.98693e-008,1.1398
2.99117e-008,1.1431
2.99541e-008,1.1530
2.99965e-008,1.1670
3.00390e-008,1.1759
3.00814e-008,1.1816
3.01238e-008,1.1833
3.01663e-008,1.1944
3.02087e-008,1.2134
3.02511e-008,1.2293
3.02935e-008,1.2451
3.03360e-008,1.2492
3.03784e-008,1.2309
3.04208e-008,1.0907
3.04632e-008,0.8848
3.05056e-008,0.6976
3.05481e-008,0.5310
3.05905e-008,0.3971
3.06329e-008,0.3215
3.06753e-008,0.2987
3.07178e-008,0.2942
3.07602e-008,0.3107
3.08026e-008,0.3345
3.08451e-008,0.3292
3.08875e-008,0.3090
3.09299e-008,0.2965
3.09723e-008,0.2981
3.10147e-008,0.3005
3.10572e-008,0.2990
3.10996e-008,0.2820
3.11420e-008,0.2516
3.11844e-008,0.2316
3.12269e-008,0.2211
3.12693e-008,0.2192
3.13117e-008,0.2250
3.13542e-008,0.3184
3.13966e-008,0.4784
3.14390e-008,0.6533
3.14814e-008,0.8423
3.15239e-008,0.9870
3.15663e-008,1.0733
3.16087e-008,1.1172
3.16511e-008,1.1470
3.16935e-008,1.1521
3.17360e-008,1.1410
3.17784e-008,1.1417
3.18208e-008,1.1506
3.18633e-008,1.1645
3.19057e-008,1.1745
3.19481e-008,1.1807
3.19905e-008,1.1829
3.20330e-008,1.1909
3.20754e-008,1.2101
3.21178e-008,1.2260
3.21602e-008,1.2427
3.22026e-008,1.2493
3.22451e-008,1.2383
3.22875e-008,1.1264
3.23299e-008,0.9216
3.23723e-008,0.7368
3.24148e-008,0.5606
3.24572e-008,0.4193
3.24996e-008,0.3318
3.25421e-008,0.3018
3.25845e-008,0.2935
3.26269e-008,0.3059
3.26693e-008,0.3314
3.27117e-008,0.3325
3.27542e-008,0.3128
3.27966e-008,0.2977
3.28390e-008,0.2972
3.28814e-008,0.3004
3.29239e-008,0.2998
3.29663e-008,0.2873
3.30087e-008,0.2570
3.30512e-008,0.2346
3.30936e-008,0.2225
3.31360e-008,0.2191
3.31784e-008,0.2235
3.32209e-008,0.2929
3.32633e-008,0.4468
3.33057e-008,0.6117
3.33481e-008,0.8102
3.33905e-008,0.9627
3.34330e-008,1.0610
3.34754e-008,1.1094
3.35178e-008,1.1426
3.35603e-008,1.1532
3.36027e-008,1.1429
3.36451e-008,1.1405
3.36875e-008,1.1484
3.37300e-008,1.1618
3.37724e-008,1.1730
3.38148e-008,1.1796
3.38572e-008,1.1828
3.38996e-008,1.1879
3.39421e-008,1.2065
3.39845e-008,1.2228
3.40269e-008,1.2398
3.40694e-008,1.2491
3.41118e-008,1.2447
3.41542e-008,1.1610
3.41966e-008,0.9611
3.42391e-008,0.7759
3.42815e-008,0.5905
3.43239e-008,0.4439
3.43663e-008,0.3433
3.44087e-008,0.3054
3.44512e-008,0.2938
3.44936e-008,0.3019
3.45360e-008,0.3270
3.45784e-008,0.3348
3.46209e-008,0.3169
3.46633e-008,0.2995
3.47057e-008,0.2964
3.47482e-008,0.3001
3.47906e-008,0.3002
3.48330e-008,0.2916
3.48754e-008,0.2630
3.49178e-008,0.2380
3.49603e-008,0.2241
3.50027e-008,0.2191
3.50451e-008,0.2216
3.50875e-008,0.2669
3.51300e-008,0.4148
3.51724e-008,0.5758
3.52148e-008,0.7768
3.52573e-008,0.9355
3.52997e-008,1.0475
3.53421e-008,1.1017
3.53845e-008,1.1372
3.54270e-008,1.1534
3.54694e-008,1.1451
3.55118e-008,1.1398
3.55542e-008,1.1464
3.55966e-008,1.1590
3.56391e-008,1.1713
3.56815e-008,1.1785
3.57239e-008,1.1826
3.57664e-008,1.1856
3.58088e-008,1.2027
3.58512e-008,1.2198
3.58936e-008,1.2365
3.59361e-008,1.2484
3.59785e-008,1.2479
3.60209e-008,1.1950
3.60633e-008,1.0023
3.61057e-008,0.8120
3.61482e-008,0.6219
3.61906e-008,0.4709
3.62330e-008,0.3571
3.62754e-008,0.3088
3.63179e-008,0.2950
3.63603e-008,0.2986
3.64027e-008,0.3220
3.64452e-008,0.3360
3.64876e-008,0.3210
3.65300e-008,0.3020
3.65724e-008,0.2960
3.66148e-008,0.2997
3.66573e-008,0.3003
3.66997e-008,0.2950
3.67421e-008,0.2692
3.67845e-008,0.2418
3.68270e-008,0.2262
3.68694e-008,0.2194
3.69118e-008,0.2202
3.69543e-008,0.2430
3.69967e-008,0.3822
3.70391e-008,0.5441
3.70815e-008,0.7398
3.71240e-008,0.9063
3.71664e-008,1.0309
3.72088e-008,1.0943
3.72512e-008,1.1311
3.72936e-008,1.1527
3.73361e-008,1.1474
3.73785e-008,1.1395
3.74209e-008,1.1447
3.74634e-008,1.1561
3.75058e-008,1.1694
3.75482e-008,1.1773
3.75906e-008,1.1823
3.76331e-008,1.1841
3.76755e-008,1.1987
3.77179e-008,1.2168
3.77603e-008,1.2331
3.78027e-008,1.2471
3.78452e-008,1.2486
3.78876e-008,1.2180
3.79300e-008,1.0457
3.79725e-008,0.8464
3.80149e-008,0.6565
3.80573e-008,0.4990
3.80997e-008,0.3746
3.81422e-008,0.3130
3.81846e-008,0.2965
3.82270e-008,0.2960
3.82694e-008,0.3167
3.83118e-008,0.3361
3.83543e-008,0.3250
3.83967e-008,0.3050
3.84391e-008,0.2959
3.84815e-008,0.2990
3.85240e-008,0.3004
3.85664e-008,0.2974
3.86088e-008,0.2754
3.86513e-008,0.2461
3.86937e-008,0.2286
3.87361e-008,0.2200
3.87785e-008,0.2196
3.88210e-008,0.2282
3.88634e-008,0.3496
3.89058e-008,0.5125
3.89482e-008,0.6996
3.89906e-008,0.8766
3.90331e-008,1.0110
3.90755e-008,1.0857
3.91179e-008,1.1248
3.91604e-008,1.1507
3.92028e-008,1.1499
3.92452e-008,1.1397
3.92876e-008,1.1432
3.93301e-008,1.1533
3.93725e-008,1.1672
3.94149e-008,1.1760
3.94573e-008,1.1817
3.94997e-008,1.1833
3.95422e-008,1.1948
3.95846e-008,1.2137
3.96270e-008,1.2297
3.96695e-008,1.2453
3.97119e-008,1.2491
3.97543e-008,1.2301
3.97967e-008,1.0864
3.98392e-008,0.8807
3.98816e-008,0.6933
3.99240e-008,0.5277
3.99664e-008,0.3947
4.00088e-008,0.3204
4.00513e-008,0.2983
4.00937e-008,0.2943
4.01361e-008,0.3113
4.01785e-008,0.3348
4.02210e-008,0.3288
4.02634e-008,0.3085
4.03058e-008,0.2964
4.03483e-008,0.2982
4.03907e-008,0.3005
4.04331e-008,0.2989
4.04755e-008,0.2813
4.05179e-008,0.2509
4.05604e-008,0.2313
4.06028e-008,0.2210
4.06452e-008,0.2192
4.06876e-008,0.2251
4.07301e-008,0.3209
4.07725e-008,0.4816
4.08149e-008,0.6577
4.08574e-008,0.8456
4.08998e-008,0.9894
4.09422e-008,1.0746
4.09846e-008,1.1179
4.10271e-008,1.1474
4.10695e-008,1.1519
4.11119e-008,1.1408
4.11543e-008,1.1418
4.11967e-008,1.1508
4.12392e-008,1.1648
4.12816e-008,1.1747
4.13240e-008,1.1808
4.13665e-008,1.1829
4.14089e-008,1.1912
4.14513e-008,1.2105
4.14937e-008,1.2263
4.15362e-008,1.2429
4.15786e-008,1.2493
4.16210e-008,1.2376
