.HEADER
..NAMES
Time,V U1.Y23
.DATA
4.01384e-008,0.2039
4.01844e-008,0.1771
4.02303e-008,0.1693
4.02762e-008,0.1691
4.03221e-008,0.1791
4.03681e-008,0.1932
4.04140e-008,0.2033
4.04599e-008,0.2092
4.05058e-008,0.2134
4.05518e-008,0.2126
4.05977e-008,0.2134
4.06436e-008,0.2284
4.06895e-008,0.2502
4.07355e-008,0.2697
4.07814e-008,0.2805
4.08273e-008,0.2832
4.08732e-008,0.2773
4.09192e-008,0.2618
4.09651e-008,0.2466
4.10110e-008,0.2403
4.10569e-008,0.2444
4.11029e-008,0.2517
4.11488e-008,0.2551
4.11947e-008,0.2538
4.12407e-008,0.2472
4.12866e-008,0.2332
4.13325e-008,0.2161
4.13784e-008,0.2105
4.14244e-008,0.2201
4.14703e-008,0.2352
4.15162e-008,0.2480
4.15621e-008,0.2551
4.16081e-008,0.2570
4.16540e-008,0.2539
4.16999e-008,0.2477
4.17458e-008,0.2422
4.17918e-008,0.2389
4.18377e-008,0.2371
4.18836e-008,0.2362
4.19295e-008,0.2364
4.19755e-008,0.2377
4.20214e-008,0.2399
4.20673e-008,0.2419
4.21132e-008,0.2443
4.21592e-008,0.2459
4.22051e-008,0.2450
4.22510e-008,0.2418
4.22969e-008,0.2376
4.23429e-008,0.2347
4.23888e-008,0.2346
4.24347e-008,0.2382
4.24806e-008,0.2443
4.25266e-008,0.2488
4.25725e-008,0.2487
4.26184e-008,0.2446
4.26643e-008,0.2400
4.27103e-008,0.2374
4.27562e-008,0.2374
4.28021e-008,0.2391
4.28480e-008,0.2420
4.28940e-008,0.2447
4.29399e-008,0.2454
4.29858e-008,0.2440
4.30317e-008,0.2417
4.30777e-008,0.2400
4.31236e-008,0.2396
4.31695e-008,0.2404
4.32154e-008,0.2419
4.32613e-008,0.2432
4.33073e-008,0.2434
4.33532e-008,0.2425
4.33991e-008,0.2416
4.34450e-008,0.2416
4.34910e-008,0.2425
4.35369e-008,0.2434
4.35828e-008,0.2434
4.36287e-008,0.2424
4.36747e-008,0.2410
4.37206e-008,0.2404
4.37665e-008,0.2411
4.38124e-008,0.2424
4.38584e-008,0.2436
4.39043e-008,0.2442
4.39502e-008,0.2438
4.39961e-008,0.2428
4.40421e-008,0.2415
4.40880e-008,0.2407
4.41339e-008,0.2409
4.41798e-008,0.2420
4.42258e-008,0.2433
4.42717e-008,0.2441
4.43176e-008,0.2440
4.43635e-008,0.2431
4.44095e-008,0.2420
4.44554e-008,0.2413
4.45013e-008,0.2416
4.45472e-008,0.2426
4.45932e-008,0.2434
4.46391e-008,0.2435
4.46850e-008,0.2430
4.47309e-008,0.2425
4.47769e-008,0.2423
4.48228e-008,0.2424
4.48687e-008,0.2428
4.49146e-008,0.2430
4.49606e-008,0.2431
4.50065e-008,0.2430
4.50524e-008,0.2427
4.50983e-008,0.2424
4.51443e-008,0.2424
4.51902e-008,0.2427
4.52361e-008,0.2432
4.52821e-008,0.2435
4.53280e-008,0.2434
4.53739e-008,0.2430
4.54198e-008,0.2425
4.54658e-008,0.2422
4.55117e-008,0.2425
4.55576e-008,0.2430
4.56035e-008,0.2435
4.56495e-008,0.2436
4.56954e-008,0.2433
4.57413e-008,0.2429
4.57872e-008,0.2426
4.58332e-008,0.2426
4.58791e-008,0.2428
4.59250e-008,0.2431
4.59709e-008,0.2433
4.60169e-008,0.2434
4.60628e-008,0.2432
4.61087e-008,0.2430
4.61546e-008,0.2428
4.62006e-008,0.2428
4.62465e-008,0.2430
4.62924e-008,0.2433
4.63383e-008,0.2434
4.63843e-008,0.2433
4.64302e-008,0.2431
4.64761e-008,0.2429
4.65220e-008,0.2429
4.65680e-008,0.2431
4.66139e-008,0.2433
4.66598e-008,0.2434
4.67057e-008,0.2433
4.67517e-008,0.2432
4.67976e-008,0.2430
4.68435e-008,0.2430
4.68894e-008,0.2431
4.69354e-008,0.2433
4.69813e-008,0.2434
4.70272e-008,0.2434
4.70731e-008,0.2433
4.71190e-008,0.2432
4.71650e-008,0.2431
4.72109e-008,0.2431
4.72568e-008,0.2432
4.73027e-008,0.2747
4.73487e-008,0.4291
4.73946e-008,0.5874
4.74405e-008,0.7796
4.74864e-008,0.9688
4.75324e-008,1.1214
4.75783e-008,1.2249
4.76242e-008,1.2721
4.76701e-008,1.2912
4.77161e-008,1.3016
4.77620e-008,1.3027
4.78079e-008,1.2968
4.78538e-008,1.2872
4.78998e-008,1.2730
4.79457e-008,1.2637
4.79916e-008,1.2553
4.80375e-008,1.2579
4.80835e-008,1.2665
4.81294e-008,1.2629
4.81753e-008,1.2411
4.82212e-008,1.2124
4.82672e-008,1.1867
4.83131e-008,1.1774
4.83590e-008,1.1866
4.84049e-008,1.2123
4.84509e-008,1.2383
4.84968e-008,1.2474
4.85427e-008,1.2367
4.85886e-008,1.2167
4.86346e-008,1.2035
4.86805e-008,1.2045
4.87264e-008,1.2180
4.87723e-008,1.2397
4.88183e-008,1.2623
4.88642e-008,1.2709
4.89101e-008,1.2583
4.89560e-008,1.2362
4.90020e-008,1.2164
4.90479e-008,1.2066
