.HEADER
..NAMES
Time,V U1.J20
.DATA
2.95757e-008,1.2293
2.96216e-008,1.2293
2.96676e-008,1.2293
2.97135e-008,1.2293
2.97594e-008,1.2293
2.98053e-008,1.2293
2.98513e-008,1.2293
2.98972e-008,1.2293
2.99431e-008,1.2293
2.99890e-008,1.2293
3.00350e-008,1.2293
3.00809e-008,1.2293
3.01268e-008,1.2293
3.01727e-008,1.2293
3.02187e-008,1.2293
3.02646e-008,1.2293
3.03105e-008,1.2293
3.03564e-008,1.2291
3.04024e-008,1.1780
3.04483e-008,1.0411
3.04942e-008,0.9019
3.05401e-008,0.7473
3.05861e-008,0.5818
3.06320e-008,0.4246
3.06779e-008,0.3208
3.07238e-008,0.2531
3.07698e-008,0.2187
3.08157e-008,0.2034
3.08616e-008,0.2024
3.09075e-008,0.1968
3.09535e-008,0.1945
3.09994e-008,0.1920
3.10453e-008,0.1932
3.10912e-008,0.1975
3.11372e-008,0.2133
3.11831e-008,0.2391
3.12290e-008,0.2740
3.12749e-008,0.3084
3.13209e-008,0.3353
3.13668e-008,0.3452
3.14127e-008,0.3384
3.14586e-008,0.3202
3.15045e-008,0.3016
3.15505e-008,0.2899
3.15964e-008,0.2896
3.16423e-008,0.2977
3.16882e-008,0.3063
3.17342e-008,0.3058
3.17801e-008,0.2923
3.18260e-008,0.2691
3.18719e-008,0.2447
3.19179e-008,0.2283
3.19638e-008,0.2252
3.20097e-008,0.2335
3.20556e-008,0.2477
3.21016e-008,0.2619
3.21475e-008,0.2708
3.21934e-008,0.2719
3.22393e-008,0.2666
3.22853e-008,0.3222
3.23312e-008,0.4666
3.23771e-008,0.6243
3.24230e-008,0.8079
3.24690e-008,0.9957
3.25149e-008,1.1335
3.25608e-008,1.2044
3.26067e-008,1.2469
3.26527e-008,1.2632
3.26986e-008,1.2641
3.27445e-008,1.2611
3.27904e-008,1.2653
3.28364e-008,1.2668
3.28823e-008,1.2719
3.29282e-008,1.2771
3.29741e-008,1.2773
3.30201e-008,1.2627
3.30660e-008,1.2335
3.31119e-008,1.1899
3.31578e-008,1.1459
3.32038e-008,1.1142
3.32497e-008,1.1089
3.32956e-008,1.1288
3.33415e-008,1.1618
3.33875e-008,1.1890
3.34334e-008,1.1976
3.34793e-008,1.1843
3.35253e-008,1.1603
3.35712e-008,1.1425
3.36171e-008,1.1452
3.36630e-008,1.1703
3.37090e-008,1.2079
3.37549e-008,1.2416
3.38008e-008,1.2574
3.38467e-008,1.2509
3.38927e-008,1.2302
3.39386e-008,1.2073
3.39845e-008,1.1923
3.40304e-008,1.1902
3.40764e-008,1.1989
3.41223e-008,1.2120
3.41682e-008,1.2248
3.42141e-008,1.2352
3.42601e-008,1.2417
3.43060e-008,1.2438
3.43519e-008,1.2411
3.43978e-008,1.2340
3.44438e-008,1.2249
3.44897e-008,1.2183
3.45356e-008,1.2182
3.45815e-008,1.2255
3.46275e-008,1.2368
3.46734e-008,1.2461
3.47193e-008,1.2480
3.47652e-008,1.2412
3.48112e-008,1.2293
3.48571e-008,1.2187
3.49030e-008,1.2148
3.49489e-008,1.2191
3.49949e-008,1.2285
3.50408e-008,1.2374
3.50867e-008,1.2414
3.51326e-008,1.2392
3.51786e-008,1.2328
3.52245e-008,1.2264
3.52704e-008,1.2230
3.53163e-008,1.2236
3.53622e-008,1.2270
3.54082e-008,1.2309
3.54541e-008,1.2335
3.55000e-008,1.2341
3.55459e-008,1.2333
3.55919e-008,1.2316
3.56378e-008,1.2298
3.56837e-008,1.2278
3.57296e-008,1.2262
3.57756e-008,1.2254
3.58215e-008,1.2261
3.58674e-008,1.2283
