.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
3.15642e-008,0.7423
3.16066e-008,0.8142
3.16491e-008,0.8507
3.16915e-008,0.8410
3.17339e-008,0.8072
3.17763e-008,0.8124
3.18188e-008,0.8421
3.18612e-008,0.8733
3.19036e-008,0.8834
3.19460e-008,0.8834
3.19884e-008,0.8843
3.20309e-008,0.9035
3.20733e-008,0.9516
3.21157e-008,0.9890
3.21582e-008,1.0192
3.22006e-008,1.0306
3.22430e-008,1.0182
3.22854e-008,0.8407
3.23279e-008,0.4803
3.23703e-008,0.1268
3.24127e-008,-0.2498
3.24551e-008,-0.5428
3.24975e-008,-0.7287
3.25400e-008,-0.8073
3.25824e-008,-0.8484
3.26248e-008,-0.8443
3.26672e-008,-0.8087
3.27097e-008,-0.8073
3.27521e-008,-0.8363
3.27945e-008,-0.8701
3.28370e-008,-0.8828
3.28794e-008,-0.8829
3.29218e-008,-0.8834
3.29642e-008,-0.8986
3.30066e-008,-0.9469
3.30491e-008,-0.9861
3.30915e-008,-1.0166
3.31339e-008,-1.0293
3.31763e-008,-1.0209
3.32188e-008,-0.8697
3.32612e-008,-0.5160
3.33036e-008,-0.1661
3.33461e-008,0.2191
3.33885e-008,0.5192
3.34309e-008,0.7186
3.34733e-008,0.8031
3.35158e-008,0.8463
3.35582e-008,0.8466
3.36006e-008,0.8122
3.36430e-008,0.8083
3.36854e-008,0.8355
3.37279e-008,0.8683
3.37703e-008,0.8831
3.38127e-008,0.8831
3.38552e-008,0.8842
3.38976e-008,0.8962
3.39400e-008,0.9424
3.39824e-008,0.9824
3.40249e-008,1.0143
3.40673e-008,1.0300
3.41097e-008,1.0255
3.41521e-008,0.9012
3.41945e-008,0.5526
3.42370e-008,0.2030
3.42794e-008,-0.1868
3.43218e-008,-0.4911
3.43643e-008,-0.7039
3.44067e-008,-0.7963
3.44491e-008,-0.8427
3.44915e-008,-0.8491
3.45340e-008,-0.8148
3.45764e-008,-0.8041
3.46188e-008,-0.8295
3.46612e-008,-0.8645
3.47036e-008,-0.8822
3.47461e-008,-0.8827
3.47885e-008,-0.8836
3.48309e-008,-0.8922
3.48733e-008,-0.9373
3.49158e-008,-0.9794
3.49582e-008,-1.0116
3.50006e-008,-1.0285
3.50431e-008,-1.0265
3.50855e-008,-0.9311
3.51279e-008,-0.5891
3.51703e-008,-0.2380
3.52128e-008,0.1538
3.52552e-008,0.4649
3.52976e-008,0.6914
3.53400e-008,0.7925
3.53824e-008,0.8399
3.54249e-008,0.8507
3.54673e-008,0.8184
3.55097e-008,0.8055
3.55522e-008,0.8292
3.55946e-008,0.8626
3.56370e-008,0.8822
3.56794e-008,0.8830
3.57219e-008,0.8843
3.57643e-008,0.8908
3.58067e-008,0.9327
3.58491e-008,0.9756
3.58915e-008,1.0087
3.59340e-008,1.0286
3.59764e-008,1.0292
3.60188e-008,0.9589
3.60613e-008,0.6270
3.61037e-008,0.2710
3.61461e-008,-0.1184
3.61885e-008,-0.4349
3.62310e-008,-0.6732
3.62734e-008,-0.7857
3.63158e-008,-0.8355
3.63582e-008,-0.8524
3.64006e-008,-0.8217
3.64431e-008,-0.8023
3.64855e-008,-0.8233
3.65279e-008,-0.8581
3.65703e-008,-0.8809
3.66128e-008,-0.8827
3.66552e-008,-0.8838
3.66976e-008,-0.8877
3.67401e-008,-0.9272
3.67825e-008,-0.9724
3.68249e-008,-1.0059
3.68673e-008,-1.0270
3.69097e-008,-1.0284
3.69522e-008,-0.9765
3.69946e-008,-0.6636
3.70370e-008,-0.3033
3.70794e-008,0.0824
3.71219e-008,0.4082
3.71643e-008,0.6573
3.72067e-008,0.7815
3.72492e-008,0.8326
3.72916e-008,0.8529
3.73340e-008,0.8253
3.73764e-008,0.8042
3.74189e-008,0.8238
3.74613e-008,0.8562
3.75037e-008,0.8803
3.75461e-008,0.8830
3.75885e-008,0.8842
3.76310e-008,0.8874
3.76734e-008,0.9230
3.77158e-008,0.9685
3.77583e-008,1.0026
3.78007e-008,1.0265
3.78431e-008,1.0300
3.78855e-008,0.9929
3.79280e-008,0.7019
3.79704e-008,0.3362
3.80128e-008,-0.0439
3.80552e-008,-0.3778
3.80976e-008,-0.6357
3.81401e-008,-0.7726
3.81825e-008,-0.8280
3.82249e-008,-0.8534
3.82673e-008,-0.8292
3.83098e-008,-0.8022
3.83522e-008,-0.8179
3.83946e-008,-0.8513
3.84371e-008,-0.8785
3.84795e-008,-0.8828
3.85219e-008,-0.8837
3.85643e-008,-0.8852
3.86067e-008,-0.9174
3.86492e-008,-0.9650
3.86916e-008,-0.9997
3.87340e-008,-1.0246
3.87764e-008,-1.0291
3.88189e-008,-1.0003
3.88613e-008,-0.7370
3.89037e-008,-0.3692
3.89462e-008,0.0048
3.89886e-008,0.3493
3.90310e-008,0.6171
3.90734e-008,0.7659
3.91159e-008,0.8249
3.91583e-008,0.8531
3.92007e-008,0.8329
3.92431e-008,0.8043
3.92855e-008,0.8182
3.93280e-008,0.8496
3.93704e-008,0.8776
3.94128e-008,0.8832
3.94553e-008,0.8839
3.94977e-008,0.8853
3.95401e-008,0.9133
3.95825e-008,0.9609
3.96250e-008,0.9962
3.96674e-008,1.0235
3.97098e-008,1.0305
3.97522e-008,1.0091
3.97946e-008,0.7712
3.98371e-008,0.4023
3.98795e-008,0.0351
3.99219e-008,-0.3184
3.99644e-008,-0.5941
4.00068e-008,-0.7538
4.00492e-008,-0.8193
4.00916e-008,-0.8523
4.01341e-008,-0.8369
4.01765e-008,-0.8040
4.02189e-008,-0.8126
4.02613e-008,-0.8442
4.03037e-008,-0.8751
4.03462e-008,-0.8829
4.03886e-008,-0.8834
4.04310e-008,-0.8839
4.04734e-008,-0.9080
4.05159e-008,-0.9569
4.05583e-008,-0.9934
4.06007e-008,-1.0213
4.06432e-008,-1.0295
4.06856e-008,-1.0121
4.07280e-008,-0.8017
4.07704e-008,-0.4364
4.08128e-008,-0.0760
4.08553e-008,0.2885
4.08977e-008,0.5735
4.09401e-008,0.7447
4.09825e-008,0.8154
4.10250e-008,0.8510
4.10674e-008,0.8400
4.11098e-008,0.8068
4.11523e-008,0.8131
4.11947e-008,0.8429
4.12371e-008,0.8737
4.12795e-008,0.8833
4.13220e-008,0.8835
4.13644e-008,0.8844
4.14068e-008,0.9046
4.14492e-008,0.9526
4.14916e-008,0.9897
4.15341e-008,1.0196
4.15765e-008,1.0305
4.16189e-008,1.0173
4.16614e-008,0.8327
4.17038e-008,0.4713
4.17462e-008,0.1170
4.17886e-008,-0.2571
4.18311e-008,-0.5485
4.18735e-008,-0.7313
4.19159e-008,-0.8087
4.19583e-008,-0.8489
4.20007e-008,-0.8435
4.20432e-008,-0.8082
4.20856e-008,-0.8080
4.21280e-008,-0.8372
4.21704e-008,-0.8706
4.22129e-008,-0.8828
4.22553e-008,-0.8830
4.22977e-008,-0.8836
4.23402e-008,-0.8998
4.23826e-008,-0.9481
4.24250e-008,-0.9869
4.24674e-008,-1.0171
4.25098e-008,-1.0294
4.25523e-008,-1.0202
4.25947e-008,-0.8617
4.26371e-008,-0.5069
4.26795e-008,-0.1569
4.27220e-008,0.2264
4.27644e-008,0.5251
4.28068e-008,0.7213
4.28493e-008,0.8043
4.28917e-008,0.8469
4.29341e-008,0.8458
4.29765e-008,0.8115
4.30190e-008,0.8088
4.30614e-008,0.8363
4.31038e-008,0.8689
4.31462e-008,0.8831
4.31886e-008,0.8831
4.32311e-008,0.8842
4.32735e-008,0.8972
4.33159e-008,0.9436
4.33584e-008,0.9831
4.34008e-008,1.0148
4.34432e-008,1.0300
4.34856e-008,1.0248
4.35281e-008,0.8929
4.35705e-008,0.5433
4.36129e-008,0.1941
