.HEADER
..NAMES
Time,V U1.R21&P21
.DATA
1.88020e-008,0.1556
1.88360e-008,0.1353
1.88700e-008,0.1020
1.89040e-008,0.0709
1.89380e-008,0.0548
1.89720e-008,0.0544
1.90060e-008,0.0660
1.90400e-008,0.0903
1.90740e-008,0.1366
1.91080e-008,0.2046
1.91420e-008,0.2723
1.91760e-008,0.3424
1.92100e-008,0.4068
1.92440e-008,0.4697
1.92780e-008,0.5598
1.93120e-008,0.6590
1.93460e-008,0.7763
1.93800e-008,0.9005
1.94140e-008,1.0143
1.94480e-008,1.1046
1.94820e-008,1.1751
1.95160e-008,1.2261
1.95500e-008,1.2542
1.95840e-008,1.2606
1.96180e-008,1.2512
1.96520e-008,1.2368
1.96860e-008,1.2261
1.97200e-008,1.2160
1.97540e-008,1.2102
1.97880e-008,1.2110
1.98220e-008,1.2159
1.98560e-008,1.2295
1.98900e-008,1.2531
1.99240e-008,1.2748
1.99580e-008,1.2938
1.99920e-008,1.3100
2.00260e-008,1.3187
2.00600e-008,1.3219
2.00940e-008,1.2907
2.01280e-008,1.1545
2.01620e-008,0.9770
2.01960e-008,0.8100
2.02300e-008,0.6510
2.02640e-008,0.5092
2.02980e-008,0.3782
2.03320e-008,0.2723
2.03660e-008,0.2162
2.04000e-008,0.2043
2.04340e-008,0.1928
2.04680e-008,0.1852
2.05020e-008,0.1800
2.05360e-008,0.1906
2.05700e-008,0.1927
2.06040e-008,0.1808
2.06380e-008,0.1632
2.06720e-008,0.1567
2.07060e-008,0.1395
2.07400e-008,0.1071
2.07740e-008,0.0749
2.08080e-008,0.0560
2.08420e-008,0.0538
2.08760e-008,0.0635
2.09100e-008,0.0859
2.09440e-008,0.1281
2.09780e-008,0.1943
2.10120e-008,0.2637
2.10460e-008,0.3330
2.10800e-008,0.3971
2.11140e-008,0.4601
2.11480e-008,0.5451
2.11820e-008,0.6436
2.12160e-008,0.7589
2.12500e-008,0.8826
2.12840e-008,0.9999
2.13180e-008,1.0932
2.13520e-008,1.1653
2.13860e-008,1.2204
2.14200e-008,1.2512
2.14540e-008,1.2611
2.14880e-008,1.2534
2.15220e-008,1.2387
2.15560e-008,1.2278
2.15900e-008,1.2175
2.16240e-008,1.2105
2.16580e-008,1.2107
2.16920e-008,1.2149
2.17260e-008,1.2268
2.17600e-008,1.2495
2.17940e-008,1.2720
2.18280e-008,1.2911
2.18620e-008,1.3083
2.18960e-008,1.3179
2.19300e-008,1.3222
2.19640e-008,1.2999
2.19980e-008,1.1776
2.20320e-008,1.0030
2.20660e-008,0.8362
2.21000e-008,0.6722
2.21340e-008,0.5302
2.21680e-008,0.3962
2.22020e-008,0.2860
2.22360e-008,0.2206
2.22700e-008,0.2054
2.23040e-008,0.1944
2.23380e-008,0.1866
2.23720e-008,0.1795
2.24060e-008,0.1890
2.24400e-008,0.1935
2.24740e-008,0.1833
2.25080e-008,0.1655
2.25420e-008,0.1575
2.25760e-008,0.1435
2.26100e-008,0.1123
2.26440e-008,0.0791
2.26780e-008,0.0576
2.27120e-008,0.0534
2.27460e-008,0.0613
2.27800e-008,0.0818
2.28140e-008,0.1201
2.28480e-008,0.1838
2.28820e-008,0.2544
2.29160e-008,0.3221
2.29500e-008,0.3871
2.29840e-008,0.4507
2.30180e-008,0.5298
2.30520e-008,0.6287
2.30860e-008,0.7415
2.31200e-008,0.8641
2.31540e-008,0.9846
2.31880e-008,1.0811
2.32220e-008,1.1553
2.32560e-008,1.2143
2.32900e-008,1.2479
2.33240e-008,1.2612
