.HEADER
..NAMES
Time,V U1.J23
.DATA
3.65279e-008,1.2389
3.65703e-008,1.2383
3.66128e-008,1.2319
3.66552e-008,1.2192
3.66976e-008,1.2062
3.67401e-008,1.1854
3.67825e-008,1.1756
3.68249e-008,1.1799
3.68673e-008,1.1961
3.69097e-008,1.2273
3.69522e-008,1.2196
3.69946e-008,1.0021
3.70370e-008,0.7576
3.70794e-008,0.5657
3.71219e-008,0.4368
3.71643e-008,0.3841
3.72067e-008,0.3509
3.72492e-008,0.3247
3.72916e-008,0.2905
3.73340e-008,0.2518
3.73764e-008,0.2421
3.74189e-008,0.2322
3.74613e-008,0.2272
3.75037e-008,0.2324
3.75461e-008,0.2432
3.75885e-008,0.2583
3.76310e-008,0.2731
3.76734e-008,0.2962
3.77158e-008,0.3068
3.77583e-008,0.2959
3.78007e-008,0.2739
3.78431e-008,0.2395
3.78855e-008,0.2146
3.79280e-008,0.2126
3.79704e-008,0.2206
3.80128e-008,0.2276
3.80552e-008,0.2243
3.80976e-008,0.2153
3.81401e-008,0.2086
3.81825e-008,0.2075
3.82249e-008,0.2136
3.82673e-008,0.2192
3.83098e-008,0.2202
3.83522e-008,0.2197
3.83946e-008,0.2195
3.84371e-008,0.2189
3.84795e-008,0.2170
3.85219e-008,0.2149
3.85643e-008,0.2122
3.86067e-008,0.2099
3.86492e-008,0.2101
3.86916e-008,0.2117
3.87340e-008,0.2139
3.87764e-008,0.2163
3.88189e-008,0.2186
3.88613e-008,0.3253
3.89037e-008,0.5087
3.89462e-008,0.7008
3.89886e-008,0.8929
3.90310e-008,1.0040
3.90734e-008,1.0723
3.91159e-008,1.1136
3.91583e-008,1.1428
3.92007e-008,1.1842
3.92431e-008,1.2053
3.92855e-008,1.2237
3.93280e-008,1.2331
3.93704e-008,1.2346
3.94128e-008,1.2338
3.94553e-008,1.2253
3.94977e-008,1.2164
3.95401e-008,1.2002
3.95825e-008,1.1857
3.96250e-008,1.1831
3.96674e-008,1.1896
3.97098e-008,1.2117
3.97522e-008,1.2373
3.97946e-008,1.2521
3.98371e-008,1.2562
3.98795e-008,1.2513
3.99219e-008,1.2487
3.99644e-008,1.2526
4.00068e-008,1.2595
4.00492e-008,1.2657
4.00916e-008,1.2657
4.01341e-008,1.2622
4.01765e-008,1.2595
4.02189e-008,1.2586
4.02613e-008,1.2591
4.03037e-008,1.2599
4.03462e-008,1.2609
4.03886e-008,1.2622
4.04310e-008,1.2642
4.04734e-008,1.2666
4.05159e-008,1.2676
4.05583e-008,1.2673
4.06007e-008,1.2660
4.06432e-008,1.2639
4.06856e-008,1.2556
4.07280e-008,1.1384
4.07704e-008,0.8992
4.08128e-008,0.7197
4.08553e-008,0.5454
4.08977e-008,0.4329
4.09401e-008,0.3738
4.09825e-008,0.3308
4.10250e-008,0.3103
4.10674e-008,0.2756
4.11098e-008,0.2567
4.11523e-008,0.2461
4.11947e-008,0.2332
4.12371e-008,0.2328
4.12795e-008,0.2394
4.13220e-008,0.2506
4.13644e-008,0.2614
4.14068e-008,0.2777
4.14492e-008,0.2964
4.14916e-008,0.2965
4.15341e-008,0.2848
4.15765e-008,0.2611
4.16189e-008,0.2313
4.16614e-008,0.2974
4.17038e-008,0.5043
4.17462e-008,0.7026
4.17886e-008,0.9134
4.18311e-008,1.0203
4.18735e-008,1.0710
4.19159e-008,1.1090
4.19583e-008,1.1358
4.20007e-008,1.1859
4.20432e-008,1.2123
4.20856e-008,1.2264
4.21280e-008,1.2376
4.21704e-008,1.2386
4.22129e-008,1.2368
4.22553e-008,1.2265
4.22977e-008,1.2145
4.23402e-008,1.1977
4.23826e-008,1.1790
4.24250e-008,1.1764
4.24674e-008,1.1847
4.25098e-008,1.2083
4.25523e-008,1.2394
4.25947e-008,1.2561
4.26371e-008,1.2581
4.26795e-008,1.2506
4.27220e-008,1.2462
4.27644e-008,1.2516
4.28068e-008,1.2607
4.28493e-008,1.2680
4.28917e-008,1.2675
4.29341e-008,1.2617
4.29765e-008,1.2580
4.30190e-008,1.2576
4.30614e-008,1.2587
4.31038e-008,1.2596
4.31462e-008,1.2606
4.31886e-008,1.2620
4.32311e-008,1.2641
4.32735e-008,1.2670
4.33159e-008,1.2684
4.33584e-008,1.2677
4.34008e-008,1.2661
4.34432e-008,1.2637
4.34856e-008,1.2620
4.35281e-008,1.2615
4.35705e-008,1.2624
4.36129e-008,1.2637
4.36553e-008,1.2642
