.HEADER
..NAMES
Time,V U1.K23
.DATA
4.38675e-008,0.2158
4.39099e-008,0.2157
4.39523e-008,0.2145
4.39947e-008,0.2145
4.40372e-008,0.2150
4.40796e-008,0.2154
4.41220e-008,0.2155
4.41644e-008,0.2147
4.42068e-008,0.2139
4.42493e-008,0.2139
4.42917e-008,0.2149
4.43341e-008,0.2161
4.43765e-008,0.2162
4.44190e-008,0.2152
4.44614e-008,0.2142
4.45038e-008,0.2143
4.45463e-008,0.2150
4.45887e-008,0.2153
4.46311e-008,0.2149
4.46735e-008,0.2147
4.47160e-008,0.2149
4.47584e-008,0.2151
4.48008e-008,0.2151
4.48432e-008,0.2149
4.48856e-008,0.2147
4.49281e-008,0.2616
4.49705e-008,0.4339
4.50129e-008,0.6115
4.50554e-008,0.8175
4.50978e-008,0.9546
4.51402e-008,1.0450
4.51826e-008,1.1055
4.52251e-008,1.1548
4.52675e-008,1.1826
4.53099e-008,1.1961
4.53523e-008,1.1982
