.HEADER
..NAMES
Time,V U1.T22
.DATA
2.22736e-008,0.2586
2.23196e-008,0.2664
2.23655e-008,0.2759
2.24114e-008,0.2747
2.24573e-008,0.2672
2.25033e-008,0.2545
2.25492e-008,0.2412
2.25951e-008,0.2342
2.26410e-008,0.2295
2.26869e-008,0.2266
2.27329e-008,0.2279
2.27788e-008,0.2317
2.28247e-008,0.2391
2.28706e-008,0.2490
2.29166e-008,0.3120
2.29625e-008,0.4829
2.30084e-008,0.6119
2.30543e-008,0.7854
2.31003e-008,0.9451
2.31462e-008,1.0544
2.31921e-008,1.1351
2.32380e-008,1.1772
2.32840e-008,1.2093
2.33299e-008,1.2279
2.33758e-008,1.2346
2.34217e-008,1.2320
2.34677e-008,1.2181
2.35136e-008,1.2053
2.35595e-008,1.2116
2.36055e-008,1.2228
2.36514e-008,1.2456
2.36973e-008,1.2730
2.37432e-008,1.2632
2.37892e-008,1.2387
2.38351e-008,1.2044
2.38810e-008,1.1687
2.39269e-008,1.1637
2.39729e-008,1.1831
2.40188e-008,1.2074
2.40647e-008,1.2302
2.41106e-008,1.2286
2.41566e-008,1.2102
2.42025e-008,1.1894
2.42484e-008,1.1762
2.42943e-008,1.1862
2.43403e-008,1.2063
2.43862e-008,1.2287
2.44321e-008,1.2446
2.44780e-008,1.2450
2.45239e-008,1.2413
2.45699e-008,1.2370
2.46158e-008,1.2327
2.46617e-008,1.2318
2.47076e-008,1.2286
2.47536e-008,1.2170
2.47995e-008,1.1245
2.48454e-008,0.9764
2.48913e-008,0.8618
2.49373e-008,0.7213
2.49832e-008,0.5773
2.50291e-008,0.4475
2.50750e-008,0.3521
2.51210e-008,0.2944
2.51669e-008,0.2547
2.52128e-008,0.2342
2.52587e-008,0.2296
2.53047e-008,0.2387
2.53506e-008,0.2591
2.53965e-008,0.2686
2.54424e-008,0.2589
2.54884e-008,0.2406
2.55343e-008,0.2157
2.55802e-008,0.1999
2.56262e-008,0.2164
2.56721e-008,0.2399
2.57180e-008,0.2678
2.57639e-008,0.2893
2.58099e-008,0.2906
2.58558e-008,0.2828
2.59017e-008,0.2702
2.59476e-008,0.2580
2.59936e-008,0.2561
2.60395e-008,0.2604
2.60854e-008,0.2706
2.61313e-008,0.2773
2.61773e-008,0.2734
2.62232e-008,0.2639
2.62691e-008,0.2497
2.63150e-008,0.2380
2.63610e-008,0.2325
2.64069e-008,0.2279
2.64528e-008,0.2269
2.64987e-008,0.2294
2.65446e-008,0.2343
2.65906e-008,0.2430
2.66365e-008,0.2589
2.66824e-008,0.3716
2.67283e-008,0.5322
2.67743e-008,0.6715
2.68202e-008,0.8427
2.68661e-008,0.9923
2.69120e-008,1.0847
2.69580e-008,1.1538
2.70039e-008,1.1888
2.70498e-008,1.2171
2.70957e-008,1.2326
2.71417e-008,1.2341
2.71876e-008,1.2295
2.72335e-008,1.2114
2.72794e-008,1.2062
2.73254e-008,1.2146
2.73713e-008,1.2294
2.74172e-008,1.2564
2.74631e-008,1.2748
2.75091e-008,1.2549
2.75550e-008,1.2288
2.76009e-008,1.1909
2.76469e-008,1.1622
2.76928e-008,1.1699
2.77387e-008,1.1905
2.77846e-008,1.2171
2.78306e-008,1.2330
2.78765e-008,1.2232
2.79224e-008,1.2034
2.79683e-008,1.1829
2.80143e-008,1.1776
2.80602e-008,1.1928
2.81061e-008,1.2142
2.81520e-008,1.2358
2.81980e-008,1.2465
2.82439e-008,1.2436
2.82898e-008,1.2403
2.83357e-008,1.2353
2.83817e-008,1.2323
2.84276e-008,1.2316
2.84735e-008,1.2263
2.85194e-008,1.2194
2.85653e-008,1.2156
2.86113e-008,1.2155
2.86572e-008,1.2241
2.87031e-008,1.2373
2.87490e-008,1.2473
2.87950e-008,1.2504
2.88409e-008,1.2420
2.88868e-008,1.2275
2.89327e-008,1.2153
2.89787e-008,1.2105
2.90246e-008,1.2178
2.90705e-008,1.2309
2.91164e-008,1.2420
2.91624e-008,1.2464
2.92083e-008,1.2412
2.92542e-008,1.2320
2.93001e-008,1.2254
2.93461e-008,1.2231
2.93920e-008,1.2260
2.94379e-008,1.2300
2.94839e-008,1.2316
2.95298e-008,1.2314
2.95757e-008,1.2302
2.96216e-008,1.2301
2.96676e-008,1.2320
2.97135e-008,1.2335
2.97594e-008,1.2336
2.98053e-008,1.2310
2.98513e-008,1.2269
2.98972e-008,1.2242
2.99431e-008,1.2245
2.99890e-008,1.2282
3.00350e-008,1.2336
3.00809e-008,1.2371
3.01268e-008,1.2369
3.01727e-008,1.2329
3.02187e-008,1.2273
3.02646e-008,1.2237
3.03105e-008,1.2238
3.03564e-008,1.2272
3.04024e-008,1.2317
3.04483e-008,1.2344
3.04942e-008,1.2342
3.05401e-008,1.2318
3.05861e-008,1.2290
3.06320e-008,1.2278
3.06779e-008,1.2282
3.07238e-008,1.2293
3.07698e-008,1.2301
3.08157e-008,1.2298
3.08616e-008,1.2291
3.09075e-008,1.2290
3.09535e-008,1.2298
3.09994e-008,1.2312
3.10453e-008,1.2320
3.10912e-008,1.2315
3.11372e-008,1.2298
3.11831e-008,1.2278
3.12290e-008,1.2268
3.12749e-008,1.2275
3.13209e-008,1.2294
3.13668e-008,1.2315
3.14127e-008,1.2325
3.14586e-008,1.2319
3.15045e-008,1.2301
3.15505e-008,1.2282
3.15964e-008,1.2274
3.16423e-008,1.2279
3.16882e-008,1.2292
3.17342e-008,1.2305
3.17801e-008,1.2310
3.18260e-008,1.2305
3.18719e-008,1.2296
3.19179e-008,1.2291
3.19638e-008,1.2291
3.20097e-008,1.2295
3.20556e-008,1.2298
3.21016e-008,1.2296
3.21475e-008,1.2291
3.21934e-008,1.2288
3.22393e-008,1.2290
3.22853e-008,1.2296
3.23312e-008,1.2303
3.23771e-008,1.2305
3.24230e-008,1.2301
3.24690e-008,1.2292
3.25149e-008,1.2285
3.25608e-008,1.2283
3.26067e-008,1.2288
3.26527e-008,1.2296
3.26986e-008,1.2303
3.27445e-008,1.2304
3.27904e-008,1.2300
3.28364e-008,1.2293
3.28823e-008,1.2288
3.29282e-008,1.2287
3.29741e-008,1.2290
3.30201e-008,1.2295
3.30660e-008,1.2297
3.31119e-008,1.2297
3.31578e-008,1.2294
3.32038e-008,1.2292
3.32497e-008,1.2292
3.32956e-008,1.2294
3.33415e-008,1.2295
3.33875e-008,1.2295
3.34334e-008,1.2293
3.34793e-008,1.2290
3.35253e-008,1.2289
3.35712e-008,1.2291
3.36171e-008,1.2295
3.36630e-008,1.2297
3.37090e-008,1.2297
3.37549e-008,1.2294
3.38008e-008,1.2291
3.38467e-008,1.2288
3.38927e-008,1.2289
3.39386e-008,1.2291
3.39845e-008,1.2294
3.40304e-008,1.2296
3.40764e-008,1.2295
3.41223e-008,1.2283
3.41682e-008,1.1550
3.42141e-008,1.0022
3.42601e-008,0.8832
3.43060e-008,0.7296
3.43519e-008,0.5773
3.43978e-008,0.4410
3.44438e-008,0.3436
3.44897e-008,0.2954
3.45356e-008,0.2671
3.45815e-008,0.2541
3.46275e-008,0.2464
3.46734e-008,0.2425
3.47193e-008,0.2492
3.47652e-008,0.2532
3.48112e-008,0.2450
3.48571e-008,0.2355
3.49030e-008,0.2188
3.49489e-008,0.2048
3.49949e-008,0.2190
3.50408e-008,0.2397
3.50867e-008,0.2650
3.51326e-008,0.2870
3.51786e-008,0.2898
3.52245e-008,0.2816
3.52704e-008,0.2685
3.53163e-008,0.2545
3.53622e-008,0.2522
3.54082e-008,0.2581
3.54541e-008,0.2709
3.55000e-008,0.2815
3.55459e-008,0.2784
3.55919e-008,0.2672
3.56378e-008,0.2488
3.56837e-008,0.2324
3.57296e-008,0.2255
3.57756e-008,0.2231
3.58215e-008,0.2262
3.58674e-008,0.2329
3.59133e-008,0.2391
3.59593e-008,0.2459
3.60052e-008,0.2534
3.60511e-008,0.3435
3.60970e-008,0.5079
3.61430e-008,0.6425
3.61889e-008,0.8187
3.62348e-008,0.9749
3.62807e-008,1.0745
3.63267e-008,1.1481
3.63726e-008,1.1843
3.64185e-008,1.2141
3.64644e-008,1.2309
3.65104e-008,1.2341
3.65563e-008,1.2298
3.66022e-008,1.2120
3.66481e-008,1.2028
3.66941e-008,1.2108
3.67400e-008,1.2255
3.67859e-008,1.2529
3.68318e-008,1.2772
3.68778e-008,1.2605
3.69237e-008,1.2338
3.69696e-008,1.1947
3.70155e-008,1.1610
3.70615e-008,1.1638
