.HEADER
..NAMES
Time,V U1.H23
.DATA
4.10250e-008,1.1930
4.10674e-008,1.1809
4.11098e-008,1.1978
4.11523e-008,1.2352
4.11947e-008,1.2591
4.12371e-008,1.2767
4.12795e-008,1.2763
4.13220e-008,1.2658
4.13644e-008,1.2569
4.14068e-008,1.2556
4.14492e-008,1.2568
4.14916e-008,1.2602
4.15341e-008,1.2621
4.15765e-008,1.2612
4.16189e-008,1.2620
4.16614e-008,1.2658
4.17038e-008,1.2683
4.17462e-008,1.2661
4.17886e-008,1.2629
4.18311e-008,1.2601
4.18735e-008,1.2573
4.19159e-008,1.2601
4.19583e-008,1.2673
4.20007e-008,1.2710
4.20432e-008,1.2691
4.20856e-008,1.2664
4.21280e-008,1.2429
4.21704e-008,1.0568
4.22129e-008,0.8420
4.22553e-008,0.6619
4.22977e-008,0.4953
4.23402e-008,0.3777
4.23826e-008,0.3257
4.24250e-008,0.3019
4.24674e-008,0.2843
4.25098e-008,0.2805
4.25523e-008,0.2755
4.25947e-008,0.2709
4.26371e-008,0.2682
4.26795e-008,0.2539
4.27220e-008,0.2271
4.27644e-008,0.2216
4.28068e-008,0.2501
4.28493e-008,0.2669
4.28917e-008,0.2825
4.29341e-008,0.2977
4.29765e-008,0.2789
4.30190e-008,0.2302
4.30614e-008,0.2109
4.31038e-008,0.3363
4.31462e-008,0.5319
4.31886e-008,0.7468
4.32311e-008,0.9462
4.32735e-008,1.0649
4.33159e-008,1.1259
4.33584e-008,1.1553
4.34008e-008,1.1763
4.34432e-008,1.1875
4.34856e-008,1.1972
4.35281e-008,1.1961
4.35705e-008,1.1960
4.36129e-008,1.2115
4.36553e-008,1.2394
4.36977e-008,1.2552
4.37402e-008,1.2441
4.37826e-008,1.2229
4.38250e-008,1.1895
4.38675e-008,1.1685
4.39099e-008,1.1859
4.39523e-008,1.2298
4.39947e-008,1.2620
4.40372e-008,1.2817
4.40796e-008,1.2824
4.41220e-008,1.2672
4.41644e-008,1.2556
4.42068e-008,1.2528
4.42493e-008,1.2560
4.42917e-008,1.2603
4.43341e-008,1.2625
4.43765e-008,1.2600
4.44190e-008,1.2610
4.44614e-008,1.2657
4.45038e-008,1.2694
4.45463e-008,1.2679
4.45887e-008,1.2640
4.46311e-008,1.2593
4.46735e-008,1.2548
4.47160e-008,1.2579
4.47584e-008,1.2672
4.48008e-008,1.2727
4.48432e-008,1.2709
4.48856e-008,1.2672
4.49281e-008,1.2532
4.49705e-008,1.1227
4.50129e-008,0.8938
4.50554e-008,0.7195
4.50978e-008,0.5405
4.51402e-008,0.4059
4.51826e-008,0.3351
4.52251e-008,0.3083
4.52675e-008,0.2869
4.53099e-008,0.2825
4.53523e-008,0.2768
