.HEADER
..NAMES
Time,V U1.G24
.DATA
1.89216e-008,-0.1115
1.89640e-008,-0.1006
1.90064e-008,-0.0941
1.90488e-008,-0.0891
1.90912e-008,-0.0868
1.91337e-008,-0.0914
1.91761e-008,-0.0945
1.92185e-008,-0.0892
1.92610e-008,-0.0924
1.93034e-008,-0.1037
1.93458e-008,-0.1053
1.93882e-008,-0.0978
1.94307e-008,-0.0799
1.94731e-008,-0.0339
1.95155e-008,0.0262
1.95579e-008,0.0726
1.96003e-008,0.1000
1.96428e-008,0.0853
1.96852e-008,0.0607
1.97276e-008,0.1180
1.97701e-008,0.2732
1.98125e-008,0.4380
1.98549e-008,0.5923
1.98973e-008,0.7152
1.99397e-008,0.7972
1.99822e-008,0.8572
2.00246e-008,0.8989
2.00670e-008,0.9242
2.01095e-008,0.9375
2.01519e-008,0.9482
2.01943e-008,0.9530
2.02367e-008,0.9645
2.02792e-008,0.9760
2.03216e-008,0.9586
2.03640e-008,0.9348
2.04064e-008,0.9583
2.04488e-008,1.0396
2.04913e-008,1.1712
2.05337e-008,1.3402
2.05761e-008,1.3776
2.06186e-008,1.1486
2.06610e-008,0.9534
2.07034e-008,0.7906
2.07458e-008,0.6876
2.07882e-008,0.6293
2.08307e-008,0.6160
2.08731e-008,0.6085
2.09155e-008,0.6148
2.09580e-008,0.6317
2.10004e-008,0.6526
2.10428e-008,0.6754
2.10852e-008,0.6884
2.11277e-008,0.6743
2.11701e-008,0.6824
2.12125e-008,0.7114
2.12549e-008,0.6342
2.12973e-008,0.4481
2.13398e-008,0.2270
2.13822e-008,-0.0173
2.14246e-008,-0.2221
2.14671e-008,-0.2634
2.15095e-008,-0.2018
2.15519e-008,-0.1447
2.15943e-008,-0.1057
2.16367e-008,-0.0808
2.16792e-008,-0.0755
2.17216e-008,-0.0786
2.17640e-008,-0.0737
2.18064e-008,-0.0647
2.18489e-008,-0.0572
2.18913e-008,-0.0617
2.19337e-008,-0.0735
2.19762e-008,-0.0729
2.20186e-008,-0.0681
2.20610e-008,-0.0870
2.21034e-008,-0.0970
2.21458e-008,-0.0621
2.21883e-008,-0.0071
2.22307e-008,0.0528
2.22731e-008,0.1247
2.23156e-008,0.1688
2.23580e-008,0.1558
2.24004e-008,0.1148
2.24428e-008,0.0690
2.24852e-008,0.0546
2.25277e-008,0.1420
2.25701e-008,0.3170
2.26125e-008,0.5060
2.26549e-008,0.6585
2.26974e-008,0.7630
2.27398e-008,0.8275
2.27822e-008,0.8787
2.28247e-008,0.9117
2.28671e-008,0.9285
2.29095e-008,0.9395
2.29519e-008,0.9518
2.29943e-008,0.9523
2.30368e-008,0.9472
2.30792e-008,0.9384
2.31216e-008,0.9105
2.31641e-008,0.8906
2.32065e-008,0.9362
2.32489e-008,1.0618
2.32913e-008,1.2336
2.33338e-008,1.4143
2.33762e-008,1.4874
2.34186e-008,1.2597
2.34610e-008,0.9963
2.35034e-008,0.8146
2.35459e-008,0.6955
2.35883e-008,0.6354
2.36307e-008,0.6225
2.36732e-008,0.6218
2.37156e-008,0.6250
2.37580e-008,0.6440
2.38004e-008,0.6620
2.38428e-008,0.6825
2.38853e-008,0.7004
2.39277e-008,0.6942
2.39701e-008,0.6950
2.40126e-008,0.7326
2.40550e-008,0.6831
2.40974e-008,0.4942
2.41398e-008,0.2539
2.41823e-008,-0.0007
2.42247e-008,-0.2245
2.42671e-008,-0.2863
2.43095e-008,-0.2098
2.43519e-008,-0.1362
2.43944e-008,-0.0914
2.44368e-008,-0.0671
2.44792e-008,-0.0641
2.45217e-008,-0.0707
2.45641e-008,-0.0669
2.46065e-008,-0.0604
2.46489e-008,-0.0543
2.46913e-008,-0.0582
2.47338e-008,-0.0725
2.47762e-008,-0.0782
2.48186e-008,-0.0721
2.48611e-008,-0.0872
2.49035e-008,-0.1044
2.49459e-008,-0.0746
2.49883e-008,-0.0118
2.50308e-008,0.0541
2.50732e-008,0.1289
