.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
2.50732e-008,0.3365
2.51156e-008,0.3525
2.51580e-008,0.3425
2.52004e-008,0.3204
2.52429e-008,0.3042
2.52853e-008,0.2850
2.53277e-008,0.2775
2.53702e-008,0.2799
2.54126e-008,0.2903
2.54550e-008,0.3118
2.54974e-008,0.3208
2.55398e-008,0.3166
2.55823e-008,0.2988
2.56247e-008,0.2643
2.56671e-008,0.2322
2.57096e-008,0.2195
2.57520e-008,0.3561
2.57944e-008,0.5469
2.58368e-008,0.7537
2.58793e-008,0.9255
2.59217e-008,1.0204
2.59641e-008,1.0796
2.60065e-008,1.0921
2.60489e-008,1.0945
2.60914e-008,1.1170
2.61338e-008,1.1325
2.61762e-008,1.1456
2.62187e-008,1.1739
2.62611e-008,1.1930
2.63035e-008,1.1948
2.63459e-008,1.1828
2.63883e-008,1.1646
2.64308e-008,1.1632
2.64732e-008,1.1647
2.65156e-008,1.1682
2.65580e-008,1.1951
2.66005e-008,1.2279
2.66429e-008,1.2365
2.66853e-008,1.0794
2.67278e-008,0.8435
2.67702e-008,0.6365
2.68126e-008,0.4826
2.68550e-008,0.3986
2.68974e-008,0.3449
2.69399e-008,0.3323
2.69823e-008,0.3506
2.70247e-008,0.3468
2.70672e-008,0.3239
2.71096e-008,0.3077
2.71520e-008,0.2883
2.71944e-008,0.2777
2.72368e-008,0.2794
2.72793e-008,0.2868
2.73217e-008,0.3080
2.73641e-008,0.3203
2.74065e-008,0.3181
2.74490e-008,0.3039
2.74914e-008,0.2714
2.75338e-008,0.2379
2.75763e-008,0.2185
2.76187e-008,0.3220
2.76611e-008,0.5112
2.77035e-008,0.7102
2.77459e-008,0.8977
2.77884e-008,1.0061
2.78308e-008,1.0698
2.78732e-008,1.0935
2.79157e-008,1.0917
2.79581e-008,1.1123
2.80005e-008,1.1307
2.80429e-008,1.1416
2.80854e-008,1.1683
2.81278e-008,1.1911
2.81702e-008,1.1952
2.82126e-008,1.1865
2.82550e-008,1.1671
2.82975e-008,1.1624
2.83399e-008,1.1650
2.83823e-008,1.1658
2.84248e-008,1.1886
2.84672e-008,1.2219
2.85096e-008,1.2402
2.85520e-008,1.1207
2.85944e-008,0.8855
2.86369e-008,0.6774
2.86793e-008,0.5074
2.87217e-008,0.4105
2.87642e-008,0.3553
2.88066e-008,0.3300
2.88490e-008,0.3482
2.88914e-008,0.3503
2.89339e-008,0.3278
2.89763e-008,0.3110
2.90187e-008,0.2919
2.90611e-008,0.2785
2.91035e-008,0.2789
2.91460e-008,0.2840
2.91884e-008,0.3038
2.92308e-008,0.3193
2.92733e-008,0.3193
2.93157e-008,0.3082
2.93581e-008,0.2785
2.94005e-008,0.2439
2.94429e-008,0.2210
2.94854e-008,0.2927
2.95278e-008,0.4745
2.95702e-008,0.6665
2.96127e-008,0.8676
2.96551e-008,0.9911
2.96975e-008,1.0581
2.97399e-008,1.0929
2.97824e-008,1.0901
2.98248e-008,1.1075
2.98672e-008,1.1285
2.99096e-008,1.1385
2.99521e-008,1.1624
2.99945e-008,1.1882
3.00369e-008,1.1953
3.00793e-008,1.1897
3.01218e-008,1.1704
3.01642e-008,1.1619
3.02066e-008,1.1651
3.02490e-008,1.1644
3.02914e-008,1.1824
3.03339e-008,1.2156
3.03763e-008,1.2409
3.04187e-008,1.1585
3.04612e-008,0.9306
3.05036e-008,0.7207
3.05460e-008,0.5340
3.05884e-008,0.4232
3.06309e-008,0.3654
3.06733e-008,0.3304
3.07157e-008,0.3451
3.07581e-008,0.3526
3.08005e-008,0.3322
3.08430e-008,0.3139
3.08854e-008,0.2958
3.09278e-008,0.2799
3.09702e-008,0.2784
3.10127e-008,0.2820
3.10551e-008,0.2994
3.10975e-008,0.3176
3.11400e-008,0.3202
3.11824e-008,0.3116
3.12248e-008,0.2855
3.12672e-008,0.2501
3.13096e-008,0.2229
3.13521e-008,0.2639
3.13945e-008,0.4367
3.14369e-008,0.6253
3.14793e-008,0.8351
3.15218e-008,0.9739
3.15642e-008,1.0467
3.16066e-008,1.0903
3.16491e-008,1.0896
3.16915e-008,1.1028
3.17339e-008,1.1255
3.17763e-008,1.1361
3.18188e-008,1.1566
3.18612e-008,1.1844
3.19036e-008,1.1950
3.19460e-008,1.1920
3.19884e-008,1.1742
3.20309e-008,1.1620
3.20733e-008,1.1647
3.21157e-008,1.1640
3.21582e-008,1.1768
3.22006e-008,1.2091
3.22430e-008,1.2388
3.22854e-008,1.1936
3.23279e-008,0.9781
3.23703e-008,0.7614
3.24127e-008,0.5627
3.24551e-008,0.4388
3.24975e-008,0.3748
3.25400e-008,0.3327
3.25824e-008,0.3413
3.26248e-008,0.3533
3.26672e-008,0.3370
3.27097e-008,0.3168
3.27521e-008,0.2998
3.27945e-008,0.2819
3.28370e-008,0.2778
3.28794e-008,0.2807
3.29218e-008,0.2949
3.29642e-008,0.3152
3.30066e-008,0.3207
3.30491e-008,0.3143
3.30915e-008,0.2921
3.31339e-008,0.2567
3.31763e-008,0.2263
3.32188e-008,0.2352
3.32612e-008,0.3985
3.33036e-008,0.5873
3.33461e-008,0.7989
3.33885e-008,0.9528
3.34309e-008,1.0350
3.34733e-008,1.0863
3.35158e-008,1.0902
3.35582e-008,1.0986
3.36006e-008,1.1217
3.36430e-008,1.1342
3.36854e-008,1.1510
3.37279e-008,1.1798
3.37703e-008,1.1944
3.38127e-008,1.1937
3.38552e-008,1.1783
3.38976e-008,1.1628
3.39400e-008,1.1640
3.39824e-008,1.1641
3.40249e-008,1.1721
3.40673e-008,1.2024
3.41097e-008,1.2341
3.41521e-008,1.2207
3.41945e-008,1.0271
3.42370e-008,0.7998
3.42794e-008,0.5955
3.43218e-008,0.4579
3.43643e-008,0.3853
3.44067e-008,0.3367
3.44491e-008,0.3369
3.44915e-008,0.3526
3.45340e-008,0.3419
3.45764e-008,0.3200
3.46188e-008,0.3037
3.46612e-008,0.2846
3.47036e-008,0.2775
3.47461e-008,0.2799
3.47885e-008,0.2907
3.48309e-008,0.3121
3.48733e-008,0.3208
3.49158e-008,0.3164
3.49582e-008,0.2981
3.50006e-008,0.2635
3.50431e-008,0.2316
3.50855e-008,0.2198
3.51279e-008,0.3597
3.51703e-008,0.5505
3.52128e-008,0.7581
3.52552e-008,0.9282
3.52976e-008,1.0218
3.53400e-008,1.0803
3.53824e-008,1.0919
3.54249e-008,1.0949
3.54673e-008,1.1174
3.55097e-008,1.1326
3.55522e-008,1.1460
3.55946e-008,1.1745
3.56370e-008,1.1932
3.56794e-008,1.1947
3.57219e-008,1.1824
3.57643e-008,1.1644
3.58067e-008,1.1632
3.58491e-008,1.1646
3.58915e-008,1.1684
3.59340e-008,1.1957
3.59764e-008,1.2285
3.60188e-008,1.2358
3.60613e-008,1.0745
3.61037e-008,0.8391
3.61461e-008,0.6322
3.61885e-008,0.4799
3.62310e-008,0.3972
3.62734e-008,0.3438
3.63158e-008,0.3326
3.63582e-008,0.3508
3.64006e-008,0.3463
3.64431e-008,0.3234
3.64855e-008,0.3073
3.65279e-008,0.2879
3.65703e-008,0.2776
3.66128e-008,0.2794
3.66552e-008,0.2871
3.66976e-008,0.3085
3.67401e-008,0.3204
3.67825e-008,0.3180
3.68249e-008,0.3033
3.68673e-008,0.2706
3.69097e-008,0.2372
3.69522e-008,0.2188
3.69946e-008,0.3268
3.70370e-008,0.5163
3.70794e-008,0.7159
3.71219e-008,0.9012
3.71643e-008,1.0078
3.72067e-008,1.0713
3.72492e-008,1.0933
3.72916e-008,1.0920
3.73340e-008,1.1129
3.73764e-008,1.1310
3.74189e-008,1.1422
3.74613e-008,1.1689
3.75037e-008,1.1912
3.75461e-008,1.1951
3.75885e-008,1.1861
3.76310e-008,1.1667
3.76734e-008,1.1624
3.77158e-008,1.1650
3.77583e-008,1.1661
3.78007e-008,1.1895
3.78431e-008,1.2226
3.78855e-008,1.2400
3.79280e-008,1.1165
3.79704e-008,0.8808
3.80128e-008,0.6728
3.80552e-008,0.5048
3.80976e-008,0.4090
3.81401e-008,0.3543
3.81825e-008,0.3302
3.82249e-008,0.3484
3.82673e-008,0.3498
3.83098e-008,0.3274
3.83522e-008,0.3107
3.83946e-008,0.2914
3.84371e-008,0.2783
3.84795e-008,0.2789
3.85219e-008,0.2844
3.85643e-008,0.3042
3.86067e-008,0.3192
3.86492e-008,0.3192
3.86916e-008,0.3077
3.87340e-008,0.2777
3.87764e-008,0.2431
3.88189e-008,0.2208
3.88613e-008,0.2974
3.89037e-008,0.4799
3.89462e-008,0.6720
3.89886e-008,0.8714
3.90310e-008,0.9929
3.90734e-008,1.0599
3.91159e-008,1.0930
3.91583e-008,1.0901
3.92007e-008,1.1081
3.92431e-008,1.1289
3.92855e-008,1.1389
3.93280e-008,1.1631
3.93704e-008,1.1884
3.94128e-008,1.1952
3.94553e-008,1.1893
3.94977e-008,1.1698
3.95401e-008,1.1619
3.95825e-008,1.1651
3.96250e-008,1.1647
3.96674e-008,1.1832
3.97098e-008,1.2164
3.97522e-008,1.2411
3.97946e-008,1.1545
3.98371e-008,0.9255
3.98795e-008,0.7160
3.99219e-008,0.5312
3.99644e-008,0.4217
4.00068e-008,0.3645
4.00492e-008,0.3303
4.00916e-008,0.3454
4.01341e-008,0.3522
4.01765e-008,0.3317
4.02189e-008,0.3136
4.02613e-008,0.2953
4.03037e-008,0.2797
4.03462e-008,0.2784
4.03886e-008,0.2823
4.04310e-008,0.2998
4.04734e-008,0.3176
4.05159e-008,0.3201
4.05583e-008,0.3113
4.06007e-008,0.2846
4.06432e-008,0.2494
4.06856e-008,0.2226
4.07280e-008,0.2690
4.07704e-008,0.4423
4.08128e-008,0.6305
4.08553e-008,0.8394
4.08977e-008,0.9760
4.09401e-008,1.0484
