.HEADER
..NAMES
Time,V U1.R21&P21
.DATA
3.34900e-008,1.0731
3.35240e-008,1.1469
3.35580e-008,1.2070
3.35920e-008,1.2382
3.36260e-008,1.2518
3.36600e-008,1.2462
3.36940e-008,1.2314
3.37280e-008,1.2194
3.37620e-008,1.2116
3.37960e-008,1.2029
3.38300e-008,1.2046
3.38640e-008,1.2107
3.38980e-008,1.2224
3.39320e-008,1.2431
3.39660e-008,1.2692
3.40000e-008,1.2890
3.40340e-008,1.3073
3.40680e-008,1.3193
3.41020e-008,1.3228
3.41360e-008,1.3115
3.41700e-008,1.2325
3.42040e-008,1.0724
3.42380e-008,0.9004
3.42720e-008,0.7308
3.43060e-008,0.5855
3.43400e-008,0.4460
3.43740e-008,0.3248
3.44080e-008,0.2377
3.44420e-008,0.2104
3.44760e-008,0.2021
3.45100e-008,0.1935
3.45440e-008,0.1854
3.45780e-008,0.1908
3.46120e-008,0.2044
3.46460e-008,0.2057
3.46800e-008,0.1884
3.47140e-008,0.1734
3.47480e-008,0.1666
3.47820e-008,0.1406
3.48160e-008,0.1042
3.48500e-008,0.0723
3.48840e-008,0.0571
3.49180e-008,0.0580
3.49520e-008,0.0737
3.49860e-008,0.1015
3.50200e-008,0.1546
3.50540e-008,0.2233
3.50880e-008,0.2881
3.51220e-008,0.3626
3.51560e-008,0.4329
3.51900e-008,0.5000
3.52240e-008,0.6039
3.52580e-008,0.7123
3.52920e-008,0.8325
3.53260e-008,0.9566
3.53600e-008,1.0597
3.53940e-008,1.1372
3.54280e-008,1.1999
3.54620e-008,1.2346
3.54960e-008,1.2514
3.55300e-008,1.2475
3.55640e-008,1.2338
3.55980e-008,1.2206
3.56320e-008,1.2127
3.56660e-008,1.2039
3.57000e-008,1.2038
3.57340e-008,1.2095
3.57680e-008,1.2202
3.58020e-008,1.2394
3.58360e-008,1.2656
3.58700e-008,1.2864
3.59040e-008,1.3046
3.59380e-008,1.3183
3.59720e-008,1.3226
3.60060e-008,1.3163
3.60400e-008,1.2537
3.60740e-008,1.0992
3.61080e-008,0.9239
3.61420e-008,0.7548
3.61760e-008,0.6061
3.62100e-008,0.4655
3.62440e-008,0.3412
3.62780e-008,0.2465
3.63120e-008,0.2120
