.HEADER
..NAMES
Time,V U1.V26
.DATA
3.48733e-008,1.5015
3.49158e-008,1.5059
3.49582e-008,1.5133
3.50006e-008,1.5201
3.50431e-008,1.5225
3.50855e-008,1.5191
3.51279e-008,1.5126
3.51703e-008,1.5079
3.52128e-008,1.5072
3.52552e-008,1.5086
3.52976e-008,1.5089
3.53400e-008,1.5060
3.53824e-008,1.4998
3.54249e-008,1.4922
3.54673e-008,1.4865
3.55097e-008,1.4844
3.55522e-008,1.4990
3.55946e-008,1.4936
3.56370e-008,1.3750
3.56794e-008,1.2406
3.57219e-008,1.0927
3.57643e-008,0.9152
3.58067e-008,0.7652
3.58491e-008,0.6551
3.58915e-008,0.5789
3.59340e-008,0.5252
3.59764e-008,0.5178
3.60188e-008,0.5292
3.60613e-008,0.5440
3.61037e-008,0.5620
3.61461e-008,0.5631
3.61885e-008,0.5520
3.62310e-008,0.5605
3.62734e-008,0.5475
3.63158e-008,0.4819
3.63582e-008,0.3818
3.64006e-008,0.2517
3.64431e-008,0.0871
3.64855e-008,-0.0511
3.65279e-008,-0.0035
3.65703e-008,0.2130
3.66128e-008,0.4069
3.66552e-008,0.5905
3.66976e-008,0.7408
3.67401e-008,0.8208
3.67825e-008,0.8659
3.68249e-008,0.8671
3.68673e-008,0.8336
3.69097e-008,0.7534
3.69522e-008,0.6987
3.69946e-008,0.6676
3.70370e-008,0.6691
3.70794e-008,0.7011
3.71219e-008,0.7105
3.71643e-008,0.7057
3.72067e-008,0.7898
3.72492e-008,0.9689
3.72916e-008,1.1865
3.73340e-008,1.4123
3.73764e-008,1.5927
3.74189e-008,1.6305
3.74613e-008,1.4039
3.75037e-008,1.0728
3.75461e-008,0.8775
3.75885e-008,0.7332
3.76310e-008,0.6151
3.76734e-008,0.5754
3.77158e-008,0.5853
3.77583e-008,0.6371
3.78007e-008,0.7138
3.78431e-008,0.7881
3.78855e-008,0.7956
3.79280e-008,0.7578
3.79704e-008,0.7054
3.80128e-008,0.6650
3.80552e-008,0.6688
3.80976e-008,0.6489
3.81401e-008,0.4910
3.81825e-008,0.2445
3.82249e-008,0.0088
3.82673e-008,-0.1797
3.83098e-008,-0.2708
3.83522e-008,-0.2218
3.83946e-008,-0.0626
3.84371e-008,0.1838
3.84795e-008,0.3490
3.85219e-008,0.4854
3.85643e-008,0.5757
3.86067e-008,0.6087
3.86492e-008,0.6208
3.86916e-008,0.6121
3.87340e-008,0.6085
3.87764e-008,0.6118
3.88189e-008,0.6582
3.88613e-008,0.7093
3.89037e-008,0.7376
3.89462e-008,0.7449
3.89886e-008,0.7449
3.90310e-008,0.7653
3.90734e-008,0.8793
3.91159e-008,1.0579
3.91583e-008,1.2377
3.92007e-008,1.3755
3.92431e-008,1.4523
3.92855e-008,1.4547
3.93280e-008,1.4283
3.93704e-008,1.4281
3.94128e-008,1.4397
3.94553e-008,1.4649
3.94977e-008,1.5071
3.95401e-008,1.5592
3.95825e-008,1.6064
3.96250e-008,1.6359
3.96674e-008,1.6394
3.97098e-008,1.6082
3.97522e-008,1.5660
3.97946e-008,1.5383
3.98371e-008,1.5324
3.98795e-008,1.5474
3.99219e-008,1.5577
3.99644e-008,1.5363
4.00068e-008,1.4908
4.00492e-008,1.4489
4.00916e-008,1.4240
4.01341e-008,1.4220
4.01765e-008,1.4470
4.02189e-008,1.4796
4.02613e-008,1.5332
4.03037e-008,1.4639
4.03462e-008,1.3154
4.03886e-008,1.1517
4.04310e-008,0.9601
4.04734e-008,0.7612
4.05159e-008,0.6239
4.05583e-008,0.5393
4.06007e-008,0.4962
4.06432e-008,0.4930
4.06856e-008,0.5175
4.07280e-008,0.5276
4.07704e-008,0.5300
4.08128e-008,0.5307
4.08553e-008,0.5199
4.08977e-008,0.5362
4.09401e-008,0.5607
4.09825e-008,0.5337
4.10250e-008,0.4455
4.10674e-008,0.3180
4.11098e-008,0.1493
4.11523e-008,-0.0234
4.11947e-008,-0.1269
4.12371e-008,-0.1674
4.12795e-008,-0.1766
4.13220e-008,-0.1555
4.13644e-008,-0.1179
4.14068e-008,-0.0898
4.14492e-008,-0.0802
4.14916e-008,-0.0800
4.15341e-008,-0.0937
4.15765e-008,-0.1158
4.16189e-008,-0.1272
4.16614e-008,-0.1268
4.17038e-008,-0.1161
4.17462e-008,-0.1025
4.17886e-008,-0.1008
4.18311e-008,-0.1074
4.18735e-008,-0.1026
4.19159e-008,-0.0799
4.19583e-008,-0.0448
4.20007e-008,0.0048
4.20432e-008,0.0563
4.20856e-008,0.0881
4.21280e-008,0.0950
4.21704e-008,0.0621
4.22129e-008,0.0904
4.22553e-008,0.2000
4.22977e-008,0.3482
4.23402e-008,0.5041
4.23826e-008,0.6500
4.24250e-008,0.7870
4.24674e-008,0.8948
4.25098e-008,0.9720
4.25523e-008,1.0064
4.25947e-008,1.0040
4.26371e-008,0.9811
4.26795e-008,0.9642
4.27220e-008,0.9595
4.27644e-008,0.9684
4.28068e-008,0.9681
4.28493e-008,0.9473
4.28917e-008,0.9460
4.29341e-008,1.0022
4.29765e-008,1.1102
4.30190e-008,1.2540
4.30614e-008,1.4085
4.31038e-008,1.5229
4.31462e-008,1.5767
4.31886e-008,1.5916
4.32311e-008,1.5908
4.32735e-008,1.5782
4.33159e-008,1.5611
4.33584e-008,1.5501
4.34008e-008,1.5503
4.34432e-008,1.5647
4.34856e-008,1.5904
4.35281e-008,1.6152
4.35705e-008,1.6263
4.36129e-008,1.6194
4.36553e-008,1.6018
4.36977e-008,1.5912
4.37402e-008,1.5946
4.37826e-008,1.5962
4.38250e-008,1.5798
4.38675e-008,1.5460
4.39099e-008,1.5011
4.39523e-008,1.4555
4.39947e-008,1.4563
4.40372e-008,1.4760
4.40796e-008,1.3891
4.41220e-008,1.2706
4.41644e-008,1.1351
4.42068e-008,0.9596
4.42493e-008,0.8038
4.42917e-008,0.6800
4.43341e-008,0.5791
4.43765e-008,0.4928
4.44190e-008,0.4556
4.44614e-008,0.4524
4.45038e-008,0.4700
4.45463e-008,0.5044
4.45887e-008,0.5183
4.46311e-008,0.5089
4.46735e-008,0.5223
4.47160e-008,0.5302
4.47584e-008,0.4949
4.48008e-008,0.4262
