.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
2.69823e-008,0.2976
2.70247e-008,0.3202
2.70672e-008,0.3362
2.71096e-008,0.3225
2.71520e-008,0.3030
2.71944e-008,0.2959
2.72368e-008,0.2995
2.72793e-008,0.3004
2.73217e-008,0.2960
2.73641e-008,0.2714
2.74065e-008,0.2433
2.74490e-008,0.2270
2.74914e-008,0.2196
2.75338e-008,0.2200
2.75763e-008,0.2355
2.76187e-008,0.3696
2.76611e-008,0.5324
2.77035e-008,0.7254
2.77459e-008,0.8955
2.77884e-008,1.0240
2.78308e-008,1.0914
2.78732e-008,1.1289
2.79157e-008,1.1522
2.79581e-008,1.1484
2.80005e-008,1.1395
2.80429e-008,1.1441
2.80854e-008,1.1550
2.81278e-008,1.1687
2.81702e-008,1.1769
2.82126e-008,1.1821
2.82550e-008,1.1837
2.82975e-008,1.1972
2.83399e-008,1.2157
2.83823e-008,1.2319
2.84248e-008,1.2465
2.84672e-008,1.2488
2.85096e-008,1.2232
2.85520e-008,1.0608
2.85944e-008,0.8586
2.86369e-008,0.6696
2.86793e-008,0.5092
2.87217e-008,0.3816
2.87642e-008,0.3152
2.88066e-008,0.2971
2.88490e-008,0.2953
2.88914e-008,0.3148
2.89339e-008,0.3358
2.89763e-008,0.3264
2.90187e-008,0.3062
2.90611e-008,0.2960
2.91035e-008,0.2988
2.91460e-008,0.3005
2.91884e-008,0.2981
2.92308e-008,0.2776
2.92733e-008,0.2478
2.93157e-008,0.2295
2.93581e-008,0.2204
2.94005e-008,0.2195
2.94429e-008,0.2259
2.94854e-008,0.3383
2.95278e-008,0.5010
2.95702e-008,0.6844
2.96127e-008,0.8654
2.96551e-008,1.0033
2.96975e-008,1.0820
2.97399e-008,1.1225
2.97824e-008,1.1497
2.98248e-008,1.1508
2.98672e-008,1.1400
2.99096e-008,1.1426
2.99521e-008,1.1523
2.99945e-008,1.1664
3.00369e-008,1.1756
3.00793e-008,1.1814
3.01218e-008,1.1831
3.01642e-008,1.1933
3.02066e-008,1.2126
3.02490e-008,1.2285
3.02914e-008,1.2445
3.03339e-008,1.2492
3.03763e-008,1.2326
3.04187e-008,1.0999
3.04612e-008,0.8936
3.05036e-008,0.7070
3.05460e-008,0.5383
3.05884e-008,0.4023
3.06309e-008,0.3239
3.06733e-008,0.2993
3.07157e-008,0.2940
3.07581e-008,0.3095
3.08005e-008,0.3339
3.08430e-008,0.3301
3.08854e-008,0.3099
3.09278e-008,0.2967
3.09702e-008,0.2979
3.10127e-008,0.3005
3.10551e-008,0.2993
3.10975e-008,0.2834
3.11400e-008,0.2528
3.11824e-008,0.2323
3.12248e-008,0.2214
3.12672e-008,0.2192
3.13096e-008,0.2246
3.13521e-008,0.3111
3.13945e-008,0.4697
3.14369e-008,0.6420
3.14793e-008,0.8340
3.15218e-008,0.9809
3.15642e-008,1.0702
3.16066e-008,1.1153
3.16491e-008,1.1460
3.16915e-008,1.1526
3.17339e-008,1.1414
